House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Leichhardt																							
				EAST			ENTSCH			TREZISE			METCALFE			PUGH			SALIER				
				Thomas James			Warren			Matt			Jonathan			Rata Hami			Harold				
				HAN			LP			ALP			GRN			IND			DEM				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Alexandra Bay                                                  																							
	FIRST			32	12.08		109	41.13		64	24.15		42	15.85		1	0.38		17	6.42		265	
	SECOND			0	0.00		0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		32	12.08		109	41.13		65	24.53		42	15.85					17	6.42		265	
	THIRD			1	5.88		0	0.00		1	5.88		15	88.24						Excluded		17	
		TOTAL		33	12.45		109	41.13		66	24.91		57	21.51								265	
	FOURTH			5	8.77		6	10.53		46	80.70			Excluded								57	
		TOTAL		38	14.34		115	43.40		112	42.26											265	
	FIFTH				Excluded		18	47.37		20	52.63											38	
		TOTAL					133	50.19		132	49.81											265	
							Elected																
																							
Aurukun                                                        																							
	FIRST			55	10.93		86	17.10		329	65.41		11	2.19		4	0.80		18	3.58		503	
	SECOND			0	0.00		0	0.00		2	50.00		0	0.00			Excluded		2	50.00		4	
		TOTAL		55	10.93		86	17.10		331	65.81		11	2.19					20	3.98		503	
	THIRD			1	5.00		1	5.00		6	30.00		12	60.00						Excluded		20	
		TOTAL		56	11.13		87	17.30		337	67.00		23	4.57								503	
	FOURTH			2	8.70		6	26.09		15	65.22			Excluded								23	
		TOTAL		58	11.53		93	18.49		352	69.98											503	
	FIFTH				Excluded		53	91.38		5	8.62											58	
		TOTAL					146	29.03		357	70.97											503	
							Elected																
																							
Balaclava                                                      																							
	FIRST			223	9.49		1128	47.98		820	34.88		94	4.00		17	0.72		69	2.93		2351	
	SECOND			3	17.65		4	23.53		0	0.00		6	35.29			Excluded		4	23.53		17	
		TOTAL		226	9.61		1132	48.15		820	34.88		100	4.25					73	3.11		2351	
	THIRD			9	12.33		18	24.66		19	26.03		27	36.99						Excluded		73	
		TOTAL		235	10.00		1150	48.92		839	35.69		127	5.40								2351	
	FOURTH			19	14.96		31	24.41		77	60.63			Excluded								127	
		TOTAL		254	10.80		1181	50.23		916	38.96											2351	
	FIFTH				Excluded		115	45.28		139	54.72											254	
		TOTAL					1296	55.13		1055	44.87											2351	
							Elected																
																							
Bamaga                                                         																							
	FIRST			17	4.42		101	26.23		247	64.16		11	2.86		2	0.52		7	1.82		385	
	SECOND			0	0.00		0	0.00		0	0.00		1	50.00			Excluded		1	50.00		2	
		TOTAL		17	4.42		101	26.23		247	64.16		12	3.12					8	2.08		385	
	THIRD			0	0.00		2	25.00		4	50.00		2	25.00						Excluded		8	
		TOTAL		17	4.42		103	26.75		251	65.19		14	3.64								385	
	FOURTH			1	7.14		2	14.29		11	78.57			Excluded								14	
		TOTAL		18	4.68		105	27.27		262	68.05											385	
	FIFTH				Excluded		11	61.11		7	38.89											18	
		TOTAL					116	30.13		269	69.87											385	
							Elected																
																							
Bloomfield                                                     																							
	FIRST			20	9.66		65	31.40		100	48.31		12	5.80		2	0.97		8	3.86		207	
	SECOND			0	0.00		0	0.00		2	100.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		20	9.66		65	31.40		102	49.28		12	5.80					8	3.86		207	
	THIRD			2	25.00		0	0.00		3	37.50		3	37.50						Excluded		8	
		TOTAL		22	10.63		65	31.40		105	50.72		15	7.25								207	
	FOURTH			5	33.33		1	6.67		9	60.00			Excluded								15	
		TOTAL		27	13.04		66	31.88		114	55.07											207	
	FIFTH				Excluded		19	70.37		8	29.63											27	
		TOTAL					85	41.06		122	58.94											207	
							Elected																
																							
Brinsmead                                                      																							
	FIRST			96	7.12		827	61.30		316	23.42		56	4.15		12	0.89		42	3.11		1349	
	SECOND			2	16.67		5	41.67		2	16.67		1	8.33			Excluded		2	16.67		12	
		TOTAL		98	7.26		832	61.68		318	23.57		57	4.23					44	3.26		1349	
	THIRD			3	6.82		15	34.09		8	18.18		18	40.91						Excluded		44	
		TOTAL		101	7.49		847	62.79		326	24.17		75	5.56								1349	
