House of Representatives - 2001 Election: Queensland																				
Distribution of Preferences																				
By Polling Place																				
Lilley																				
				MCDONOUGH			ROSS			BOCQUEE			MEEHAN			SWAN				
				Rod			David			Pierre			Sue			Wayne				
				DEM			LP			HAN			GRN			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Ascot                                                          																				
	FIRST			110	4.39		1794	71.56		22	0.88		79	3.15		502	20.02		2507	
	SECOND			2	9.09		13	59.09			Excluded		4	18.18		3	13.64		22	
		TOTAL		112	4.47		1807	72.08					83	3.31		505	20.14		2507	
	THIRD			34	40.96		19	22.89						Excluded		30	36.14		83	
		TOTAL		146	5.82		1826	72.84								535	21.34		2507	
	FOURTH				Excluded		59	40.41								87	59.59		146	
		TOTAL					1885	75.19								622	24.81		2507	
																Elected				
																				
Aspley (Lilley)                                                																				
	FIRST			82	5.95		568	41.25		58	4.21		53	3.85		616	44.73		1377	
	SECOND			8	13.79		28	48.28			Excluded		8	13.79		14	24.14		58	
		TOTAL		90	6.54		596	43.28					61	4.43		630	45.75		1377	
	THIRD			26	42.62		10	16.39						Excluded		25	40.98		61	
		TOTAL		116	8.42		606	44.01								655	47.57		1377	
	FOURTH				Excluded		50	43.10								66	56.90		116	
		TOTAL					656	47.64								721	52.36		1377	
																Elected				
																				
Aspley East                                                    																				
	FIRST			100	5.27		955	50.34		73	3.85		44	2.32		725	38.22		1897	
	SECOND			7	9.59		42	57.53			Excluded		5	6.85		19	26.03		73	
		TOTAL		107	5.64		997	52.56					49	2.58		744	39.22		1897	
	THIRD			23	46.94		7	14.29						Excluded		19	38.78		49	
		TOTAL		130	6.85		1004	52.93								763	40.22		1897	
	FOURTH				Excluded		50	38.46								80	61.54		130	
		TOTAL					1054	55.56								843	44.44		1897	
																Elected				
																				
Banyo                                                          																				
	FIRST			35	2.13		432	26.25		63	3.83		40	2.43		1076	65.37		1646	
	SECOND			6	9.52		20	31.75			Excluded		12	19.05		25	39.68		63	
		TOTAL		41	2.49		452	27.46					52	3.16		1101	66.89		1646	
	THIRD			31	59.62		5	9.62						Excluded		16	30.77		52	
