House of Representatives - 2001 Election: Queensland																																
Distribution of Preferences																																
By Polling Place																																
Moncrieff																																
				TOBIAS			CARROLL			CIOBO			DOUGLAS			CHATTERJEE			ALECKSON			MILLAR			DERRICK			HEPBURN				
				Josephine			Maurie			Steven			Susie			Victoria			Maxwell A			Lesley			Kari			Dean				
				IND			IND			LP			NP			ALP			IND			HAN			DEM			GRN				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Aquinas                                                        																																
	FIRST			12	3.23		2	0.54		167	44.89		52	13.98		83	22.31		3	0.81		18	4.84		20	5.38		15	4.03		372	
	SECOND			2	100.00			Excluded		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	
		TOTAL		14	3.76					167	44.89		52	13.98		83	22.31		3	0.81		18	4.84		20	5.38		15	4.03		372	
	THIRD			0	0.00					0	0.00		0	0.00		1	33.33			Excluded		1	33.33		0	0.00		1	33.33		3	
		TOTAL		14	3.76					167	44.89		52	13.98		84	22.58					19	5.11		20	5.38		16	4.30		372	
	FOURTH				Excluded					4	28.57		4	28.57		0	0.00					1	7.14		4	28.57		1	7.14		14	
		TOTAL								171	45.97		56	15.05		84	22.58					20	5.38		24	6.45		17	4.57		372	
	FIFTH									5	29.41		0	0.00		2	11.76					3	17.65		7	41.18			Excluded		17	
		TOTAL								176	47.31		56	15.05		86	23.12					23	6.18		31	8.33					372	
	SIXTH									8	34.78		5	21.74		4	17.39						Excluded		6	26.09					23	
		TOTAL								184	49.46		61	16.40		90	24.19								37	9.95					372	
	SEVENTH									52	85.25			Excluded		3	4.92								6	9.84					61	
		TOTAL								236	63.44					93	25.00								43	11.56					372	
	EIGHTH									12	27.91					31	72.09									Excluded					43	
		TOTAL								248	66.67					124	33.33														372	
										Elected																						
																																
Arundel                                                        																																
	FIRST			149	2.82		26	0.49		2958	55.99		238	4.51		1205	22.81		32	0.61		288	5.45		276	5.22		111	2.10		5283	
	SECOND			13	50.00			Excluded		3	11.54		4	15.38		0	0.00		2	7.69		2	7.69		1	3.85		1	3.85		26	
		TOTAL		162	3.07					2961	56.05		242	4.58		1205	22.81		34	0.64		290	5.49		277	5.24		112	2.12		5283	
	THIRD			7	20.59					9	26.47		2	5.88		3	8.82			Excluded		10	29.41		1	2.94		2	5.88		34	
		TOTAL		169	3.20					2970	56.22		244	4.62		1208	22.87					300	5.68		278	5.26		114	2.16		5283	
	FOURTH				Excluded					73	43.20		20	11.83		11	6.51					7	4.14		38	22.49		20	11.83		169	
		TOTAL								3043	57.60		264	5.00		1219	23.07					307	5.81		316	5.98		134	2.54		5283	
	FIFTH									23	17.16		10	7.46		12	8.96					28	20.90		61	45.52			Excluded		134	
		TOTAL								3066	58.04		274	5.19		1231	23.30					335	6.34		377	7.14					5283	
	SIXTH									95	28.36		38	11.34		42	12.54						Excluded		160	47.76					335	
		TOTAL								3161	59.83		312	5.91		1273	24.10								537	10.16					5283	
