House of Representatives - 2001 Election: Queensland																							
Distribution of Preferences																							
By Polling Place																							
Petrie																							
				GRIFFITHS			PANTANO			BLACK			HUME			EATON			GAMBARO				
				Owen			Kim			Bill			Rosemary			Ron			Teresa				
				DEM			GRN			HAN			ALP			IND			LP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Aspley (Petrie)                                                																							
	FIRST			29	3.42		21	2.48		47	5.54		250	29.48		11	1.30		490	57.78		848	
	SECOND			5	45.45		2	18.18		3	27.27		0	0.00			Excluded		1	9.09		11	
		TOTAL		34	4.01		23	2.71		50	5.90		250	29.48					491	57.90		848	
	THIRD			7	30.43			Excluded		2	8.70		8	34.78					6	26.09		23	
		TOTAL		41	4.83					52	6.13		258	30.42					497	58.61		848	
	FOURTH			22	42.31						Excluded		12	23.08					18	34.62		52	
		TOTAL		63	7.43								270	31.84					515	60.73		848	
	FIFTH				Excluded								39	61.90					24	38.10		63	
		TOTAL											309	36.44					539	63.56		848	
																			Elected				
																							
Aspley West                                                    																							
	FIRST			192	5.33		92	2.56		75	2.08		999	27.76		32	0.89		2209	61.38		3599	
	SECOND			4	12.50		7	21.88		2	6.25		5	15.63			Excluded		14	43.75		32	
		TOTAL		196	5.45		99	2.75		77	2.14		1004	27.90					2223	61.77		3599	
	THIRD			51	51.52			Excluded		6	6.06		20	20.20					22	22.22		99	
		TOTAL		247	6.86					83	2.31		1024	28.45					2245	62.38		3599	
	FOURTH			37	44.58						Excluded		17	20.48					29	34.94		83	
		TOTAL		284	7.89								1041	28.92					2274	63.18		3599	
	FIFTH				Excluded								199	70.07					85	29.93		284	
		TOTAL											1240	34.45					2359	65.55		3599	
																			Elected				
																							
Bald Hills                                                     																							
	FIRST			155	6.60		59	2.51		123	5.24		1071	45.61		50	2.13		890	37.90		2348	
	SECOND			16	32.00		3	6.00		9	18.00		8	16.00			Excluded		14	28.00		50	
		TOTAL		171	7.28		62	2.64		132	5.62		1079	45.95					904	38.50		2348	
	THIRD			24	38.71			Excluded		11	17.74		19	30.65					8	12.90		62	
		TOTAL		195	8.30					143	6.09		1098	46.76					912	38.84		2348	
	FOURTH			40	27.97						Excluded		45	31.47					58	40.56		143	
		TOTAL		235	10.01								1143	48.68					970	41.31		2348	
	FIFTH				Excluded								156	66.38					79	33.62		235	
		TOTAL											1299	55.32					1049	44.68		2348	
																			Elected				
																							
Bald Hills North                                               																							
	FIRST			35	5.74		17	2.79		28	4.59		240	39.34		14	2.30		276	45.25		610	
	SECOND			1	7.14		3	21.43		4	28.57		4	28.57			Excluded		2	14.29		14	
