Senate - 2001 Election: Queensland																																																	
First Preference Votes by Group																																																	
By Polling Place																																																	
Blair (76853)																																																	
		   	Group Total 			Group Total ALP			Group Total CEC			Group Total NP			Group Total CTA			Group Total GRN			Group Total HMP			Group Total RPA			Group Total HAN			Group Total LP			Group Total NGST			Group Total DEM			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
	Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
	Amberley		1	0.18		125	22.12		1	0.18		28	4.96		5	0.88		5	0.88		8	1.42		3	0.53		116	20.53		220	38.94		6	1.06		46	8.14		1	0.18		565	97.75		13	2.25		578	0.78
	Blackbutt		4	0.38		300	28.71		3	0.29		95	9.09		3	0.29		31	2.97		9	0.86		1	0.10		262	25.07		294	28.13		17	1.63		23	2.20		3	0.29		1045	97.03		32	2.97		1077	1.46
	Blair School		5	0.29		639	37.13		1	0.06		58	3.37		18	1.05		58	3.37		24	1.39		2	0.12		249	14.47		511	29.69		20	1.16		135	7.84		1	0.06		1721	97.45		45	2.55		1766	2.40
	Blenheim		0	0.00		61	20.82		0	0.00		32	10.92		2	0.68		3	1.02		6	2.05		0	0.00		87	29.69		89	30.38		3	1.02		10	3.41		0	0.00		293	97.02		9	2.98		302	0.41
	Brassall		10	0.64		547	34.84		2	0.13		62	3.95		14	0.89		29	1.85		11	0.70		0	0.00		289	18.41		505	32.17		8	0.51		92	5.86		1	0.06		1570	97.45		41	2.55		1611	2.19
	Brassall School		5	0.21		877	36.00		2	0.08		95	3.90		13	0.53		57	2.34		36	1.48		3	0.12		371	15.23		783	32.14		42	1.72		150	6.16		2	0.08		2436	96.94		77	3.06		2513	3.41
	Brisbane City (Blair)		0	0.00		20	28.17		0	0.00		5	7.04		0	0.00		9	12.68		1	1.41		0	0.00		3	4.23		21	29.58		0	0.00		12	16.90		0	0.00		71	97.26		2	2.74		73	0.10
	Brooklands		1	0.60		27	16.07		1	0.60		32	19.05		3	1.79		1	0.60		0	0.00		0	0.00		72	42.86		22	13.10		1	0.60		8	4.76		0	0.00		168	99.41		1	0.59		169	0.23
	Churchill (Blair)		8	0.62		484	37.26		1	0.08		44	3.39		15	1.15		30	2.31		15	1.15		1	0.08		253	19.48		355	27.33		18	1.39		74	5.70		1	0.08		1299	96.08		53	3.92		1352	1.84
	Coolabunia		1	0.29		38	10.92		0	0.00		98	28.16		2	0.57		6	1.72		2	0.57		0	0.00		92	26.44		102	29.31		0	0.00		6	1.72		1	0.29		348	97.48		9	2.52		357	0.48
	Coominya		1	0.13		210	26.42		1	0.13		78	9.81		5	0.63		22	2.77		11	1.38		2	0.25		204	25.66		223	28.05		23	2.89		15	1.89		0	0.00		795	98.15		15	1.85		810	1.10
	Cooyar		0	0.00		37	19.79		0	0.00		62	33.16		5	2.67		7	3.74		3	1.60		0	0.00		34	18.18		35	18.72		0	0.00		4	2.14		0	0.00		187	97.40		5	2.60		192	0.26
	Crows Nest		4	0.32		197	15.70		1	0.08		142	11.31		14	1.12		34	2.71		10	0.80		2	0.16		270	21.51		500	39.84		24	1.91		56	4.46		1	0.08		1255	95.95		53	4.05		1308	1.78
	Esk		4	0.38		296	28.33		2	0.19		122	11.67		7	0.67		30	2.87		6	0.57		2	0.19		247	23.64		287	27.46		8	0.77		33	3.16		1	0.10		1045	97.03		32	2.97		1077	1.46
	Fernvale		1	0.08		297	24.53		0	0.00		91	7.51		6	0.50		50	4.13		25	2.06		0	0.00		247	20.40		438	36.17		9	0.74		46	3.80		1	0.08		1211	97.04		37	2.96		1248	1.69
	Flagstone Creek		1	0.78		9	7.03		0	0.00		26	20.31		8	6.25		3	2.34		1	0.78		0	0.00		33	25.78		41	32.03		1	0.78		4	3.13		1	0.78		128	100.00		0	0.00		128	0.17
	Forest Hill		3	0.49		123	19.94		0	0.00		113	18.31		5	0.81		19	3.08		2	0.32		4	0.65		150	24.31		157	25.45		9	1.46		32	5.19		0	0.00		617	95.36		30	4.64		647	0.88
	Gatton		8	0.51		341	21.76		1	0.06		167	10.66		12	0.77		38	2.43		11	0.70		0	0.00		320	20.42		614	39.18		12	0.77		42	2.68		1	0.06		1567	95.96		66	4.04		1633	2.22
	Gatton South		4	0.18		462	20.72		3	0.13		257	11.52		29	1.30		53	2.38		29	1.30		2	0.09		381	17.09		898	40.27		33	1.48		78	3.50		1	0.04		2230	96.12		90	3.88		2320	3.15
	Glamorgan Vale		1	0.30		71	21.45		2	0.60		39	11.78		0	0.00		8	2.42		2	0.60		0	0.00		75	22.66		111	33.53		3	0.91		19	5.74		0	0.00		331	96.78		11	3.22		342	0.46
	Glenore Grove		5	0.36		417	30.31		1	0.07		114	8.28		10	0.73		31	2.25		20	1.45		3	0.22		312	22.67		398	28.92		13	0.94		51	3.71		1	0.07		1376	96.90		44	3.10		1420	1.93
	Grandchester		1	0.38		69	26.44		0	0.00		43	16.48		0	0.00		9	3.45		1	0.38		1	0.38		65	24.90		60	22.99		2	0.77		10	3.83		0	0.00		261	98.12		5	1.88		266	0.36
	Grantham		2	0.34		103	17.55		0	0.00		62	10.56		6	1.02		10	1.70		12	2.04		1	0.17		133	22.66		227	38.67		7	1.19		24	4.09		0	0.00		587	97.51		15	2.49		602	0.82
	Haden		0	0.00		6	4.92		0	0.00		24	19.67		1	0.82		1	0.82		2	1.64		0	0.00		40	32.79		45	36.89		0	0.00		3	2.46		0	0.00		122	95.31		6	4.69		128	0.17
	Haigslea		1	0.33		73	23.78		1	0.33		30	9.77		0	0.00		7	2.28		3	0.98		0	0.00		57	18.57		120	39.09		5	1.63		10	3.26		0	0.00		307	96.24		12	3.76		319	0.43
	Hatton Vale		2	0.20		328	32.70		0	0.00		57	5.68		13	1.30		31	3.09		9	0.90		1	0.10		176	17.55		329	32.80		18	1.79		39	3.89		0	0.00		1003	96.07		41	3.93		1044	1.42
	Helidon		0	0.00		160	23.49		0	0.00		64	9.40		10	1.47		14	2.06		7	1.03		3	0.44		151	22.17		234	34.36		4	0.59		29	4.26		5	0.73		681	96.05		28	3.95		709	0.96
	Inverlaw		0	0.00		19	9.18		0	0.00		56	27.05		2	0.97		3	1.45		0	0.00		0	0.00		43	20.77		76	36.71		2	0.97		3	1.45		3	1.45		207	96.28		8	3.72		215	0.29
	Jimna		0	0.00		21	28.77		2	2.74		12	16.44		0	0.00		0	0.00		0	0.00		0	0.00		19	26.03		17	23.29		1	1.37		1	1.37		0	0.00		73	100.00		0	0.00		73	0.10
	Karalee		0	0.00		551	23.84		1	0.04		72	3.12		23	1.00		62	2.68		20	0.87		3	0.13		346	14.97		986	42.67		22	0.95		222	9.61		3	0.13		2311	97.06		70	2.94		2381	3.23
	Karana Downs		5	0.19		501	19.33		1	0.04		144	5.56		28	1.08		114	4.40		30	1.16		2	0.08		250	9.65		1208	46.60		22	0.85		280	10.80		7	0.27		2592	98.44		41	1.56		2633	3.58
	Kentville		0	0.00		63	29.30		0	0.00		31	14.42		2	0.93		5	2.33		2	0.93		0	0.00		55	25.58		41	19.07		3	1.40		13	6.05		0	0.00		215	95.56		10	4.44		225	0.31
	Kilcoy		3	0.22		351	25.79		3	0.22		162	11.90		5	0.37		17	1.25		11	0.81		4	0.29		301	22.12		436	32.04		21	1.54		47	3.45		0	0.00		1361	97.14		40	2.86		1401	1.90
	Kingaroy		17	0.61		533	19.17		4	0.14		434	15.61		48	1.73		57	2.05		29	1.04		5	0.18		504	18.12		960	34.52		43	1.55		138	4.96		9	0.32		2781	97.17		81	2.83		2862	3.89
	Kumbia		0	0.00		49	11.89		2	0.49		113	27.43		5	1.21		9	2.18		2	0.49		0	0.00		112	27.18		105	25.49		3	0.73		12	2.91		0	0.00		412	98.10		8	1.90		420	0.57
	Laidley		5	0.23		602	27.15		5	0.23		174	7.85		21	0.95		41	1.85		27	1.22		3	0.14		485	21.88		743	33.51		46	2.07		65	2.93		0	0.00		2217	97.24		63	2.76		2280	3.10
	Lake Clarendon		0	0.00		65	25.19		0	0.00		19	7.36		0	0.00		2	0.78		1	0.39		0	0.00		83	32.17		79	30.62		2	0.78		7	2.71		0	0.00		258	98.85		3	1.15		261	0.35
	Lawes		0	0.00		10	17.86		0	0.00		5	8.93		4	7.14		2	3.57		0	0.00		0	0.00		3	5.36		27	48.21		1	1.79		3	5.36		1	1.79		56	98.25		1	1.75		57	0.08
	Leichhardt		6	0.59		416	40.74		0	0.00		32	3.13		9	0.88		30	2.94		20	1.96		0	0.00		177	17.34		233	22.82		16	1.57		81	7.93		1	0.10		1021	94.45		60	5.55		1081	1.47
	Leichhardt School		9	0.61		660	44.50		0	0.00		31	2.09		18	1.21		30	2.02		23	1.55		3	0.20		269	18.14		345	23.26		30	2.02		64	4.32		1	0.07		1483	96.99		46	3.01		1529	2.08
	Lowood		5	0.39		346	27.22		1	0.08		130	10.23		7	0.55		31	2.44		20	1.57		0	0.00		279	21.95		385	30.29		19	1.49		47	3.70		1	0.08		1271	94.57		73	5.43		1344	1.82
	Maidenwell		0	0.00		33	16.10		0	0.00		40	19.51		1	0.49		3	1.46		2	0.98		0	0.00		70	34.15		45	21.95		2	0.98		9	4.39		0	0.00		205	94.47		12	5.53		217	0.29
	Ma Ma Creek		0	0.00		26	12.44		0	0.00		54	25.84		1	0.48		7	3.35		0	0.00		0	0.00		46	22.01		70	33.49		0	0.00		5	2.39		0	0.00		209	97.21		6	2.79		215	0.29
	Marburg		2	0.41		110	22.54		1	0.20		77	15.78		2	0.41		13	2.66		7	1.43		0	0.00		91	18.65		148	30.33		7	1.43		30	6.15		0	0.00		488	96.44		18	3.56		506	0.69
	Memerambi		0	0.00		52	11.98		2	0.46		97	22.35		4	0.92		6	1.38		2	0.46		1	0.23		122	28.11		126	29.03		3	0.69		16	3.69		3	0.69		434	96.02		18	3.98		452	0.61
	Minden		3	0.48		188	30.32		0	0.00		46	7.42		6	0.97		29	4.68		11	1.77		0	0.00		132	21.29		165	26.61		11	1.77		28	4.52		1	0.16		620	96.88		20	3.13		640	0.87
	Moore		2	0.57		77	21.88		2	0.57		64	18.18		3	0.85		9	2.56		4	1.14		3	0.85		70	19.89		101	28.69		8	2.27		9	2.56		0	0.00		352	95.39		17	4.61		369	0.50
	Mount Kilcoy		2	0.71		64	22.70		2	0.71		57	20.21		0	0.00		7	2.48		2	0.71		0	0.00		46	16.31		89	31.56		5	1.77		8	2.84		0	0.00		282	96.25		11	3.75		293	0.40
	Mount Sylvia		0	0.00		21	9.81		1	0.47		54	25.23		3	1.40		7	3.27		6	2.80		0	0.00		40	18.69		72	33.64		5	2.34		5	2.34		0	0.00		214	97.72		5	2.28		219	0.30
	Mount Tarampa		3	1.12		80	29.74		1	0.37		30	11.15		2	0.74		6	2.23		3	1.12		0	0.00		54	20.07		73	27.14		7	2.60		10	3.72		0	0.00		269	98.18		5	1.82		274	0.37
	Murphys Creek		1	0.24		102	24.46		1	0.24		22	5.28		5	1.20		18	4.32		7	1.68		0	0.00		82	19.66		165	39.57		1	0.24		13	3.12		0	0.00		417	98.58		6	1.42		423	0.57
	Mutdapilly		0	0.00		67	22.48		0	0.00		46	15.44		3	1.01		8	2.68		2	0.67		0	0.00		58	19.46		98	32.89		4	1.34		12	4.03		0	0.00		298	97.07		9	2.93		307	0.42
	Nanango		15	0.60		722	28.86		2	0.08		255	10.19		27	1.08		47	1.88		25	1.00		4	0.16		562	22.46		736	29.42		28	1.12		73	2.92		6	0.24		2502	95.39		121	4.61		2623	3.56
	North Ipswich		8	0.63		537	41.95		3	0.23		32	2.50		10	0.78		38	2.97		15	1.17		1	0.08		206	16.09		319	24.92		19	1.48		91	7.11		1	0.08		1280	96.17		51	3.83		1331	1.81
	Perseverance		1	0.49		30	14.56		0	0.00		20	9.71		2	0.97		25	12.14		1	0.49		0	0.00		57	27.67		55	26.70		1	0.49		13	6.31		1	0.49		206	97.63		5	2.37		211	0.29
	Pine Mountain		0	0.00		92	21.90		0	0.00		11	2.62		5	1.19		12	2.86		6	1.43		0	0.00		89	21.19		175	41.67		4	0.95		26	6.19		0	0.00		420	97.67		10	2.33		430	0.58
	Rosevale		0	0.00		19	12.67		0	0.00		43	28.67		2	1.33		0	0.00		0	0.00		0	0.00		43	28.67		40	26.67		0	0.00		3	2.00		0	0.00		150	95.54		7	4.46		157	0.21
	Rosewood		8	0.40		604	30.11		1	0.05		251	12.51		13	0.65		58	2.89		20	1.00		1	0.05		415	20.69		501	24.98		35	1.74		98	4.89		1	0.05		2006	96.40		75	3.60		2081	2.83
	St Josephs		6	0.40		588	39.28		0	0.00		29	1.94		9	0.60		44	2.94		19	1.27		1	0.07		233	15.56		427	28.52		16	1.07		123	8.22		2	0.13		1497	96.71		51	3.29		1548	2.10
	Somerset Dam		0	0.00		23	29.11		0	0.00		17	21.52		0	0.00		1	1.27		0	0.00		0	0.00		8	10.13		28	35.44		1	1.27		1	1.27		0	0.00		79	97.53		2	2.47		81	0.11
	Stockyard Creek		1	0.50		40	20.10		0	0.00		32	16.08		1	0.50		11	5.53		3	1.51		0	0.00		27	13.57		72	36.18		2	1.01		10	5.03		0	0.00		199	98.03		4	1.97		203	0.28
	Taabinga		7	0.34		353	17.14		4	0.19		406	19.72		21	1.02		34	1.65		23	1.12		0	0.00		388	18.84		724	35.16		42	2.04		57	2.77		0	0.00		2059	98.00		42	2.00		2101	2.85
	Tarampa		1	0.22		100	22.42		0	0.00		40	8.97		3	0.67		8	1.79		3	0.67		0	0.00		114	25.56		159	35.65		5	1.12		13	2.91		0	0.00		446	94.89		24	5.11		470	0.64
	Thornton		0	0.00		22	13.58		2	1.23		29	17.90		0	0.00		2	1.23		0	0.00		0	0.00		47	29.01		53	32.72		3	1.85		4	2.47		0	0.00		162	98.18		3	1.82		165	0.22
	Tivoli		7	0.52		410	30.37		0	0.00		29	2.15		11	0.81		45	3.33		23	1.70		0	0.00		224	16.59		485	35.93		15	1.11		101	7.48		0	0.00		1350	97.26		38	2.74		1388	1.88
	Toogoolawah		7	0.63		257	23.24		1	0.09		138	12.48		5	0.45		19	1.72		7	0.63		2	0.18		251	22.69		356	32.19		19	1.72		42	3.80		2	0.18		1106	95.84		48	4.16		1154	1.57
	Upper Tenthill		1	0.38		23	8.81		0	0.00		57	21.84		1	0.38		6	2.30		0	0.00		0	0.00		57	21.84		109	41.76		4	1.53		3	1.15		0	0.00		261	97.39		7	2.61		268	0.36
	Walloon		4	0.28		430	30.54		1	0.07		33	2.34		11	0.78		21	1.49		16	1.14		0	0.00		312	22.16		491	34.87		26	1.85		61	4.33		2	0.14		1408	96.90		45	3.10		1453	1.97
	Warrill View		0	0.00		21	15.22		0	0.00		30	21.74		1	0.72		1	0.72		1	0.72		0	0.00		25	18.12		57	41.30		0	0.00		2	1.45		0	0.00		138	92.62		11	7.38		149	0.20
	Withcott		2	0.18		221	19.66		0	0.00		126	11.21		17	1.51		29	2.58		7	0.62		2	0.18		220	19.57		432	38.43		5	0.44		62	5.52		1	0.09		1124	97.91		24	2.09		1148	1.56
	Yarraman		6	0.95		121	19.15		1	0.16		98	15.51		6	0.95		9	1.42		4	0.63		1	0.16		151	23.89		209	33.07		6	0.95		19	3.01		1	0.16		632	96.05		26	3.95		658	0.89
	Special Hospitals		3	0.76		95	23.93		2	0.50		117	29.47		2	0.50		3	0.76		1	0.25		0	0.00		30	7.56		134	33.75		3	0.76		7	1.76		0	0.00		397	94.30		24	5.70		421	0.57
	Total Ordinary		213	0.35		16032	26.42		69	0.11		5835	9.61		555	0.91		1525	2.51		671	1.11		67	0.11		11885	19.58		19974	32.91		804	1.32		2988	4.92		69	0.11		60687	96.78		2021	3.22		62708	85.14
	ABSENT		13	0.26		1347	26.58		8	0.16		447	8.82		63	1.24		221	4.36		114	2.25		9	0.18		802	15.82		1561	30.80		107	2.11		371	7.32		5	0.10		5068	98.16		95	1.84		5163	7.01
	POSTAL		10	0.31		893	27.24		2	0.06		356	10.86		44	1.34		48	1.46		18	0.55		2	0.06		732	22.33		1002	30.57		40	1.22		123	3.75		8	0.24		3278	98.20		60	1.80		3338	4.53
	PRE_POLL		10	0.52		520	27.06		1	0.05		141	7.34		18	0.94		62	3.23		15	0.78		6	0.31		353	18.37		651	33.87		24	1.25		120	6.24		1	0.05		1922	98.11		37	1.89		1959	2.66
	PROVISIONAL		0	0.00		170	36.25		0	0.00		16	3.41		0	0.00		22	4.69		26	5.54		0	0.00		81	17.27		118	25.16		18	3.84		18	3.84		0	0.00		469	97.51		12	2.49		481	0.65
	Division Summary		246	0.34		18962	26.55		80	0.11		6795	9.51		680	0.95		1878	2.63		844	1.18		84	0.12		13853	19.4		23306	32.63		993	1.39		3620	5.07		83	0.12		71424	96.98		2225	3.02		73649	95.83
