Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Bowman (87122)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alexandra Hills		9	0.32		1250	44.85		2	0.07		86	3.09		30	1.08		61	2.19		35	1.26		3	0.11		166	5.96		908	32.58		17	0.61		218	7.82		2	0.07		2787	96.80		92	3.20		2879	3.46
Alexandra Park		12	0.47		999	39.13		1	0.04		70	2.74		28	1.10		65	2.55		35	1.37		3	0.12		174	6.82		905	35.45		21	0.82		237	9.28		3	0.12		2553	97.00		79	3.00		2632	3.17
Amity Point		2	0.76		117	44.49		0	0.00		7	2.66		2	0.76		12	4.56		1	0.38		1	0.38		23	8.75		82	31.18		2	0.76		14	5.32		0	0.00		263	95.29		13	4.71		276	0.33
Birkdale		11	0.27		1444	34.90		2	0.05		147	3.55		31	0.75		96	2.32		50	1.21		5	0.12		349	8.44		1609	38.89		44	1.06		347	8.39		2	0.05		4137	96.01		172	3.99		4309	5.18
Birkdale South		10	0.27		1401	38.24		0	0.00		163	4.45		51	1.39		81	2.21		49	1.34		6	0.16		273	7.45		1272	34.72		44	1.20		314	8.57		0	0.00		3664	96.57		130	3.43		3794	4.56
Brisbane City (Bowman)		1	0.67		47	31.54		0	0.00		4	2.68		3	2.01		9	6.04		5	3.36		0	0.00		8	5.37		46	30.87		3	2.01		23	15.44		0	0.00		149	96.13		6	3.87		155	0.19
Capalaba		9	0.40		896	39.33		0	0.00		93	4.08		15	0.66		51	2.24		31	1.36		4	0.18		211	9.26		734	32.22		30	1.32		204	8.96		0	0.00		2278	95.51		107	4.49		2385	2.87
Capalaba School (Bowman)		18	0.61		1313	44.16		1	0.03		98	3.30		30	1.01		45	1.51		26	0.87		5	0.17		220	7.40		977	32.86		33	1.11		205	6.90		2	0.07		2973	96.59		105	3.41		3078	3.70
