Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Brisbane (95781)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alderley		16	0.83		704	36.51		1	0.05		95	4.93		6	0.31		86	4.46		14	0.73		3	0.16		102	5.29		659	34.18		7	0.36		233	12.09		2	0.10		1928	95.63		88	4.37		2016	2.25
Ashgrove		19	0.60		882	27.73		2	0.06		160	5.03		13	0.41		217	6.82		42	1.32		3	0.09		80	2.51		1280	40.24		16	0.50		467	14.68		0	0.00		3181	97.76		73	2.24		3254	3.64
Ashgrove West		14	0.65		574	26.61		1	0.05		122	5.66		5	0.23		162	7.51		21	0.97		3	0.14		59	2.74		926	42.93		6	0.28		264	12.24		0	0.00		2157	98.09		42	1.91		2199	2.46
Auchenflower		16	0.98		425	26.14		1	0.06		124	7.63		6	0.37		121	7.44		20	1.23		3	0.18		35	2.15		621	38.19		3	0.18		251	15.44		0	0.00		1626	97.37		44	2.63		1670	1.87
Ballymore		0	0.00		183	34.08		0	0.00		22	4.10		4	0.74		36	6.70		5	0.93		0	0.00		19	3.54		194	36.13		3	0.56		71	13.22		0	0.00		537	94.88		29	5.12		566	0.63
Bardon		3	0.23		364	27.60		1	0.08		78	5.91		5	0.38		116	8.79		17	1.29		1	0.08		38	2.88		504	38.21		6	0.45		186	14.10		0	0.00		1319	97.56		33	2.44		1352	1.51
Brisbane City (Brisbane)		23	1.05		645	29.55		1	0.05		87	3.99		14	0.64		180	8.25		49	2.24		4	0.18		50	2.29		761	34.86		14	0.64		354	16.22		1	0.05		2183	97.11		65	2.89		2248	2.51
Buranda		5	0.81		244	39.61		1	0.16		24	3.90		3	0.49		50	8.12		17	2.76		0	0.00		47	7.63		151	24.51		0	0.00		73	11.85		1	0.16		616	95.95		26	4.05		642	0.72
