Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Capricornia (81499)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Allenstown		14	0.62		937	41.44		4	0.18		260	11.50		17	0.75		50	2.21		41	1.81		3	0.13		235	10.39		521	23.04		33	1.46		146	6.46		0	0.00		2261	98.13		43	1.87		2304	2.97
Alpha		1	0.30		90	27.11		2	0.60		132	39.76		0	0.00		1	0.30		4	1.20		0	0.00		55	16.57		42	12.65		3	0.90		1	0.30		1	0.30		332	96.51		12	3.49		344	0.44
Alton Downs		1	0.20		147	29.88		0	0.00		132	26.83		6	1.22		8	1.63		1	0.20		0	0.00		72	14.63		104	21.14		8	1.63		12	2.44		1	0.20		492	98.60		7	1.40		499	0.64
Applegarth		3	1.75		66	38.60		0	0.00		29	16.96		1	0.58		6	3.51		1	0.58		0	0.00		25	14.62		29	16.96		0	0.00		11	6.43		0	0.00		171	96.61		6	3.39		177	0.23
Aramac		0	0.00		87	33.98		0	0.00		64	25.00		1	0.39		5	1.95		3	1.17		0	0.00		41	16.02		47	18.36		5	1.95		3	1.17		0	0.00		256	97.71		6	2.29		262	0.34
Archer Park		5	0.74		313	46.37		1	0.15		69	10.22		4	0.59		10	1.48		4	0.59		0	0.00		100	14.81		133	19.70		15	2.22		21	3.11		0	0.00		675	97.97		14	2.03		689	0.89
Barcaldine		4	0.50		408	50.87		1	0.12		142	17.71		4	0.50		9	1.12		3	0.37		0	0.00		71	8.85		142	17.71		6	0.75		12	1.50		0	0.00		802	96.16		32	3.84		834	1.07
Berserker		10	0.44		1162	51.48		2	0.09		209	9.26		34	1.51		59	2.61		28	1.24		2	0.09		240	10.63		382	16.93		36	1.60		92	4.08		1	0.04		2257	97.62		55	2.38		2312	2.98
