Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Dawson (87405)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Airlie Beach		1	0.18		161	29.70		0	0.00		141	26.01		6	1.11		21	3.87		11	2.03		1	0.18		25	4.61		126	23.25		2	0.37		46	8.49		1	0.18		542	98.37		9	1.63		551	0.66
Airville		0	0.00		60	15.38		0	0.00		132	33.85		5	1.28		5	1.28		1	0.26		0	0.00		57	14.62		118	30.26		4	1.03		8	2.05		0	0.00		390	94.20		24	5.80		414	0.50
Alligator Creek		4	0.36		437	39.62		2	0.18		244	22.12		9	0.82		33	2.99		13	1.18		3	0.27		185	16.77		123	11.15		15	1.36		34	3.08		1	0.09		1103	96.58		39	3.42		1142	1.37
Andergrove		10	0.37		1121	41.00		6	0.22		627	22.93		35	1.28		53	1.94		42	1.54		4	0.15		315	11.52		339	12.40		35	1.28		145	5.30		2	0.07		2734	97.23		78	2.77		2812	3.38
Ayr		10	0.42		750	31.51		8	0.34		419	17.61		27	1.13		29	1.22		24	1.01		4	0.17		285	11.97		716	30.08		37	1.55		71	2.98		0	0.00		2380	95.58		110	4.42		2490	2.99
Ayr North		0	0.00		115	41.22		0	0.00		44	15.77		0	0.00		2	0.72		2	0.72		0	0.00		32	11.47		71	25.45		4	1.43		9	3.23		0	0.00		279	96.21		11	3.79		290	0.35
Beaconsfield		1	0.13		333	44.11		1	0.13		188	24.90		6	0.79		13	1.72		11	1.46		2	0.26		46	6.09		80	10.60		12	1.59		60	7.95		2	0.26		755	98.18		14	1.82		769	0.92
Bloomsbury		0	0.00		84	22.16		0	0.00		176	46.44		2	0.53		3	0.79		6	1.58		0	0.00		62	16.36		28	7.39		6	1.58		12	3.17		0	0.00		379	96.93		12	3.07		391	0.47
