Senate - 2001 Election: Queensland																																																
First Preference Votes by Group																																																
By Polling Place																																																
Fadden (86004)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alberton		1	0.21		116	24.47		0	0.00		60	12.66		3	0.63		7	1.48		5	1.05		1	0.21		70	14.77		186	39.24		6	1.27		19	4.01		0	0.00		474	95.37		23	4.63		497	0.61
Biggera Waters		6	0.21		784	27.35		1	0.03		127	4.43		14	0.49		71	2.48		33	1.15		2	0.07		357	12.45		1313	45.80		26	0.91		130	4.53		3	0.10		2867	95.63		131	4.37		2998	3.67
Brisbane City (Fadden)		0	0.00		33	32.04		0	0.00		3	2.91		2	1.94		4	3.88		6	5.83		0	0.00		3	2.91		40	38.83		2	1.94		10	9.71		0	0.00		103	98.10		2	1.90		105	0.13
Canowindra (Fadden)		1	0.12		213	25.45		0	0.00		41	4.90		12	1.43		30	3.58		11	1.31		2	0.24		101	12.07		357	42.65		16	1.91		52	6.21		1	0.12		837	96.88		27	3.13		864	1.06
Capalaba School (Fadden)		0	0.00		149	26.33		2	0.35		33	5.83		9	1.59		19	3.36		3	0.53		0	0.00		40	7.07		258	45.58		5	0.88		46	8.13		2	0.35		566	97.75		13	2.25		579	0.71
Carbrook		7	0.82		234	27.40		0	0.00		47	5.50		17	1.99		20	2.34		8	0.94		0	0.00		100	11.71		369	43.21		6	0.70		45	5.27		1	0.12		854	96.83		28	3.17		882	1.08
Chatswood Hills		7	0.33		631	29.75		1	0.05		83	3.91		19	0.90		51	2.40		31	1.46		4	0.19		136	6.41		1004	47.34		19	0.90		134	6.32		1	0.05		2121	96.54		76	3.46		2197	2.69
Coochiemudlo Island		4	1.36		91	30.95		1	0.34		8	2.72		1	0.34		14	4.76		3	1.02		0	0.00		19	6.46		112	38.10		2	0.68		39	13.27		0	0.00		294	97.67		7	2.33		301	0.37
