Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Fairfax (84217)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Amamoor		1	0.24		76	17.88		2	0.47		100	23.53		11	2.59		10	2.35		4	0.94		1	0.24		98	23.06		97	22.82		6	1.41		18	4.24		1	0.24		425	98.15		8	1.85		433	0.54
Bli Bli		6	0.22		683	24.49		5	0.18		201	7.21		36	1.29		90	3.23		42	1.51		3	0.11		287	10.29		1209	43.35		31	1.11		194	6.96		2	0.07		2789	96.31		107	3.69		2896	3.63
Boreen Point		3	0.90		94	28.06		0	0.00		16	4.78		0	0.00		41	12.24		9	2.69		0	0.00		51	15.22		88	26.27		4	1.19		28	8.36		1	0.30		335	96.82		11	3.18		346	0.43
Brisbane City (Fairfax)		0	0.00		11	12.36		0	0.00		3	3.37		2	2.25		6	6.74		1	1.12		0	0.00		8	8.99		49	55.06		1	1.12		8	8.99		0	0.00		89	100.00		0	0.00		89	0.11
Burnside		10	0.48		504	23.98		2	0.10		179	8.52		46	2.19		97	4.61		31	1.47		0	0.00		233	11.08		803	38.20		27	1.28		170	8.09		0	0.00		2102	97.09		63	2.91		2165	2.72
Chatsworth		0	0.00		79	16.32		1	0.21		71	14.67		11	2.27		15	3.10		4	0.83		1	0.21		110	22.73		160	33.06		11	2.27		19	3.93		2	0.41		484	97.19		14	2.81		498	0.62
Coolum Beach		12	0.31		1170	30.24		2	0.05		74	1.91		41	1.06		321	8.30		83	2.15		2	0.05		272	7.03		1452	37.53		41	1.06		397	10.26		2	0.05		3869	96.94		122	3.06		3991	5.01
Coolum Beach North		3	0.66		151	33.41		1	0.22		10	2.21		1	0.22		31	6.86		5	1.11		1	0.22		28	6.19		181	40.04		3	0.66		37	8.19		0	0.00		452	98.47		7	1.53		459	0.58
