Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Fisher (85315)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alexandra Headland		1	0.17		122	20.17		0	0.00		45	7.44		7	1.16		44	7.27		8	1.32		1	0.17		50	8.26		271	44.79		2	0.33		54	8.93		0	0.00		605	98.69		8	1.31		613	0.76
Aroona		6	0.44		314	22.84		1	0.07		56	4.07		31	2.25		51	3.71		18	1.31		2	0.15		171	12.44		619	45.02		12	0.87		93	6.76		1	0.07		1375	97.38		37	2.62		1412	1.74
Arthur Street		0	0.00		120	28.57		0	0.00		15	3.57		1	0.24		22	5.24		5	1.19		0	0.00		47	11.19		189	45.00		2	0.48		19	4.52		0	0.00		420	98.82		5	1.18		425	0.53
Brisbane City (Fisher)		1	0.99		16	15.84		0	0.00		3	2.97		0	0.00		8	7.92		3	2.97		0	0.00		6	5.94		43	42.57		1	0.99		19	18.81		1	0.99		101	100.00		0	0.00		101	0.12
Buddina		16	0.40		1116	27.59		1	0.02		218	5.39		28	0.69		162	4.00		64	1.58		0	0.00		460	11.37		1701	42.05		31	0.77		242	5.98		6	0.15		4045	96.49		147	3.51		4192	5.18
Buderim		4	0.09		819	18.81		0	0.00		165	3.79		51	1.17		256	5.88		43	0.99		3	0.07		326	7.49		2274	52.24		27	0.62		381	8.75		4	0.09		4353	96.88		140	3.12		4493	5.55
Buderim Central		1	0.15		108	15.93		0	0.00		57	8.41		3	0.44		20	2.95		1	0.15		0	0.00		64	9.44		368	54.28		3	0.44		51	7.52		2	0.29		678	97.13		20	2.87		698	0.86
Buderim Garden Village		4	0.32		244	19.71		1	0.08		100	8.08		17	1.37		42	3.39		13	1.05		1	0.08		75	6.06		664	53.63		5	0.40		72	5.82		0	0.00		1238	95.01		65	4.99		1303	1.61
