Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Forde (86672)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aratula		2	0.46		61	13.93		0	0.00		68	15.53		4	0.91		5	1.14		3	0.68		2	0.46		110	25.11		167	38.13		1	0.23		15	3.42		0	0.00		438	97.77		10	2.23		448	0.55
Beaudesert		25	0.74		886	26.20		3	0.09		359	10.62		28	0.83		62	1.83		36	1.06		4	0.12		469	13.87		1269	37.52		49	1.45		191	5.65		1	0.03		3382	96.00		141	4.00		3523	4.29
Beechmont		0	0.00		91	23.45		0	0.00		47	12.11		2	0.52		45	11.60		8	2.06		0	0.00		26	6.70		123	31.70		3	0.77		43	11.08		0	0.00		388	97.73		9	2.27		397	0.48
Beenleigh		11	0.33		1234	37.50		3	0.09		96	2.92		48	1.46		91	2.77		59	1.79		3	0.09		352	10.70		1153	35.03		42	1.28		198	6.02		1	0.03		3291	96.28		127	3.72		3418	4.16
Beenleigh Central		7	0.73		384	40.25		1	0.10		41	4.30		8	0.84		14	1.47		24	2.52		0	0.00		107	11.22		318	33.33		18	1.89		32	3.35		0	0.00		954	96.46		35	3.54		989	1.20
Bethania		11	0.50		817	37.22		6	0.27		69	3.14		27	1.23		40	1.82		23	1.05		4	0.18		248	11.30		836	38.09		28	1.28		86	3.92		0	0.00		2195	95.89		94	4.11		2289	2.79
Boonah		6	0.30		385	19.51		0	0.00		256	12.98		19	0.96		48	2.43		21	1.06		2	0.10		330	16.73		790	40.04		24	1.22		92	4.66		0	0.00		1973	96.76		66	3.24		2039	2.48
Brisbane City (Forde)		1	1.19		21	25.00		0	0.00		4	4.76		1	1.19		2	2.38		0	0.00		0	0.00		3	3.57		42	50.00		0	0.00		10	11.90		0	0.00		84	93.33		6	6.67		90	0.11
