Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Groom (84838)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Acland		0	0.00		29	15.18		0	0.00		36	18.85		5	2.62		3	1.57		0	0.00		0	0.00		54	28.27		56	29.32		2	1.05		5	2.62		1	0.52		191	96.95		6	3.05		197	0.24
Baker Street		2	0.42		107	22.72		0	0.00		32	6.79		20	4.25		26	5.52		6	1.27		1	0.21		24	5.10		198	42.04		2	0.42		53	11.25		0	0.00		471	97.11		14	2.89		485	0.60
Biddeston		0	0.00		41	11.29		1	0.28		100	27.55		2	0.55		5	1.38		0	0.00		0	0.00		71	19.56		128	35.26		3	0.83		12	3.31		0	0.00		363	98.37		6	1.63		369	0.46
Bongeen		0	0.00		4	3.33		1	0.83		57	47.50		6	5.00		0	0.00		0	0.00		0	0.00		20	16.67		29	24.17		1	0.83		1	0.83		1	0.83		120	99.17		1	0.83		121	0.15
Bowenville		0	0.00		13	7.03		0	0.00		63	34.05		6	3.24		4	2.16		0	0.00		0	0.00		40	21.62		53	28.65		2	1.08		4	2.16		0	0.00		185	99.46		1	0.54		186	0.23
Brisbane City (Groom)		0	0.00		16	19.28		0	0.00		7	8.43		2	2.41		4	4.82		1	1.20		0	0.00		7	8.43		29	34.94		0	0.00		17	20.48		0	0.00		83	97.65		2	2.35		85	0.11
Brookstead		0	0.00		11	7.28		1	0.66		67	44.37		0	0.00		0	0.00		4	2.65		0	0.00		28	18.54		40	26.49		0	0.00		0	0.00		0	0.00		151	96.79		5	3.21		156	0.19
Cambooya		0	0.00		112	16.28		0	0.00		106	15.41		9	1.31		10	1.45		8	1.16		1	0.15		156	22.67		253	36.77		6	0.87		24	3.49		3	0.44		688	97.31		19	2.69		707	0.88
