Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Leichhardt (85689)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alexandra Bay		1	0.36		56	20.14		0	0.00		15	5.40		1	0.36		39	14.03		10	3.60		0	0.00		48	17.27		74	26.62		3	1.08		31	11.15		0	0.00		278	97.20		8	2.80		286	0.36
Aurukun		11	2.25		341	69.73		4	0.82		19	3.89		7	1.43		7	1.43		8	1.64		5	1.02		11	2.25		66	13.50		3	0.61		7	1.43		0	0.00		489	87.95		67	12.05		556	0.70
Balaclava		13	0.53		847	34.61		1	0.04		93	3.80		22	0.90		77	3.15		48	1.96		1	0.04		270	11.03		934	38.17		33	1.35		107	4.37		1	0.04		2447	96.53		88	3.47		2535	3.21
Bamaga		1	0.27		261	69.23		4	1.06		6	1.59		5	1.33		4	1.06		0	0.00		1	0.27		9	2.39		54	14.32		21	5.57		11	2.92		0	0.00		377	95.44		18	4.56		395	0.50
Bloomfield		6	2.79		141	65.58		2	0.93		9	4.19		3	1.40		4	1.86		3	1.40		0	0.00		10	4.65		25	11.63		3	1.40		9	4.19		0	0.00		215	93.07		16	6.93		231	0.29
Brinsmead		5	0.36		305	21.69		0	0.00		35	2.49		76	5.41		50	3.56		15	1.07		2	0.14		147	10.46		692	49.22		4	0.28		75	5.33		0	0.00		1406	98.32		24	1.68		1430	1.81
Brisbane City (Leichhardt)		0	0.00		18	28.13		1	1.56		6	9.38		0	0.00		6	9.38		2	3.13		0	0.00		2	3.13		20	31.25		0	0.00		9	14.06		0	0.00		64	100.00		0	0.00		64	0.08
Cairns		5	0.64		212	27.32		0	0.00		35	4.51		6	0.77		67	8.63		21	2.71		1	0.13		58	7.47		304	39.18		7	0.90		60	7.73		0	0.00		776	96.40		29	3.60		805	1.02
