Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Lilley (87642)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Ascot		4	0.16		351	13.88		1	0.04		249	9.85		7	0.28		76	3.01		31	1.23		5	0.20		62	2.45		1557	61.59		9	0.36		176	6.96		0	0.00		2528	98.56		37	1.44		2565	3.08
Aspley (Lilley)		5	0.36		540	38.65		0	0.00		46	3.29		9	0.64		43	3.08		23	1.65		1	0.07		93	6.66		529	37.87		8	0.57		99	7.09		1	0.07		1397	97.28		39	2.72		1436	1.73
Aspley East		5	0.27		569	30.38		0	0.00		68	3.63		20	1.07		36	1.92		21	1.12		3	0.16		124	6.62		857	45.76		9	0.48		161	8.60		0	0.00		1873	95.95		79	4.05		1952	2.34
Banyo		6	0.37		894	55.29		4	0.25		51	3.15		14	0.87		37	2.29		16	0.99		2	0.12		103	6.37		385	23.81		12	0.74		93	5.75		0	0.00		1617	94.73		90	5.27		1707	2.05
Banyo East		12	0.67		845	47.18		2	0.11		55	3.07		13	0.73		42	2.35		31	1.73		4	0.22		155	8.65		508	28.36		13	0.73		109	6.09		2	0.11		1791	95.98		75	4.02		1866	2.24
Boondall		8	0.19		1740	40.60		3	0.07		179	4.18		23	0.54		117	2.73		47	1.10		5	0.12		332	7.75		1475	34.41		39	0.91		318	7.42		0	0.00		4286	95.48		203	4.52		4489	5.39
Brighton		7	0.37		871	46.21		1	0.05		44	2.33		20	1.06		55	2.92		18	0.95		2	0.11		186	9.87		480	25.46		15	0.80		185	9.81		1	0.05		1885	96.12		76	3.88		1961	2.36
Brighton South		9	0.48		870	45.93		0	0.00		36	1.90		15	0.79		68	3.59		37	1.95		0	0.00		182	9.61		495	26.14		17	0.90		164	8.66		1	0.05		1894	96.44		70	3.56		1964	2.36
