Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Maranoa (84022)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Allora		7	0.65		192	17.84		2	0.19		427	39.68		1	0.09		40	3.72		7	0.65		3	0.28		192	17.84		164	15.24		10	0.93		31	2.88		0	0.00		1076	96.76		36	3.24		1112	1.40
Amby		0	0.00		6	8.45		0	0.00		35	49.30		0	0.00		0	0.00		0	0.00		0	0.00		20	28.17		8	11.27		0	0.00		2	2.82		0	0.00		71	95.95		3	4.05		74	0.09
Amiens		1	0.39		51	20.00		0	0.00		88	34.51		6	2.35		6	2.35		1	0.39		0	0.00		54	21.18		39	15.29		5	1.96		4	1.57		0	0.00		255	97.70		6	2.30		261	0.33
Anakie		1	1.16		19	22.09		0	0.00		35	40.70		1	1.16		2	2.33		0	0.00		0	0.00		17	19.77		6	6.98		0	0.00		5	5.81		0	0.00		86	91.49		8	8.51		94	0.12
Applethorpe		3	0.87		75	21.80		0	0.00		112	32.56		0	0.00		12	3.49		3	0.87		0	0.00		69	20.06		50	14.53		6	1.74		14	4.07		0	0.00		344	97.45		9	2.55		353	0.44
Augathella		4	1.39		120	41.67		0	0.00		88	30.56		2	0.69		0	0.00		0	0.00		1	0.35		19	6.60		48	16.67		3	1.04		3	1.04		0	0.00		288	97.63		7	2.37		295	0.37
Ballandean		4	1.32		50	16.56		0	0.00		107	35.43		1	0.33		23	7.62		3	0.99		0	0.00		46	15.23		37	12.25		3	0.99		28	9.27		0	0.00		302	98.69		4	1.31		306	0.39
Bauhinia Downs		0	0.00		4	3.77		1	0.94		65	61.32		2	1.89		0	0.00		0	0.00		0	0.00		23	21.70		9	8.49		1	0.94		1	0.94		0	0.00		106	96.36		4	3.64		110	0.14
