Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Oxley (84787)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Acacia Ridge		7	0.55		622	48.75		1	0.08		42	3.29		9	0.71		27	2.12		27	2.12		1	0.08		130	10.19		336	26.33		23	1.80		50	3.92		1	0.08		1276	96.89		41	3.11		1317	1.63
Acacia Ridge South		8	0.36		1158	52.64		1	0.05		65	2.95		25	1.14		49	2.23		32	1.45		4	0.18		221	10.05		491	22.32		32	1.45		112	5.09		2	0.09		2200	96.96		69	3.04		2269	2.81
Blackstone		2	0.36		229	41.11		0	0.00		10	1.80		11	1.97		23	4.13		11	1.97		0	0.00		98	17.59		123	22.08		8	1.44		42	7.54		0	0.00		557	98.58		8	1.42		565	0.70
Brisbane City (Oxley)		0	0.00		42	31.34		0	0.00		5	3.73		8	5.97		7	5.22		6	4.48		0	0.00		8	5.97		40	29.85		2	1.49		16	11.94		0	0.00		134	97.81		3	2.19		137	0.17
Bundamba		6	0.40		575	38.59		1	0.07		35	2.35		17	1.14		42	2.82		24	1.61		3	0.20		298	20.00		400	26.85		13	0.87		76	5.10		0	0.00		1490	96.13		60	3.87		1550	1.92
Bundamba School		16	0.77		912	43.80		1	0.05		38	1.83		26	1.25		50	2.40		40	1.92		3	0.14		331	15.90		481	23.10		45	2.16		139	6.68		0	0.00		2082	95.68		94	4.32		2176	2.70
Calamvale (Oxley)		0	0.00		158	23.65		0	0.00		23	3.44		5	0.75		16	2.40		3	0.45		3	0.45		43	6.44		361	54.04		2	0.30		54	8.08		0	0.00		668	96.81		22	3.19		690	0.85
Camira		8	0.26		1171	37.48		1	0.03		206	6.59		39	1.25		118	3.78		47	1.50		5	0.16		378	12.10		860	27.53		25	0.80		264	8.45		2	0.06		3124	96.36		118	3.64		3242	4.02
