Senate - 2001 Election: Queensland																																																
First Preference Votes by Group 																																																
By Polling Place																																																
Wide Bay (81391)																																																
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Group J Total			Group K Total			Group L Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		Unendorsed			ALP			CEC			NP			CTA			GRN			HMP			RPA			HAN			LP			NGST			DEM			Independent										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Baddow		8	0.39		640	30.83		6	0.29		514	24.76		27	1.30		59	2.84		18	0.87		4	0.19		427	20.57		249	11.99		52	2.50		70	3.37		2	0.10		2076	97.24		59	2.76		2135	2.76
Banana		1	0.60		18	10.84		3	1.81		84	50.60		3	1.81		0	0.00		1	0.60		0	0.00		40	24.10		13	7.83		0	0.00		3	1.81		0	0.00		166	97.08		5	2.92		171	0.22
Bancroft		1	0.97		6	5.83		0	0.00		54	52.43		0	0.00		3	2.91		0	0.00		0	0.00		36	34.95		1	0.97		2	1.94		0	0.00		0	0.00		103	99.04		1	0.96		104	0.13
Baralaba		2	0.73		44	16.00		16	5.82		138	50.18		2	0.73		0	0.00		1	0.36		0	0.00		51	18.55		19	6.91		0	0.00		2	0.73		0	0.00		275	96.83		9	3.17		284	0.37
Bauple		1	0.31		93	28.97		0	0.00		84	26.17		4	1.25		12	3.74		10	3.12		0	0.00		63	19.63		30	9.35		5	1.56		17	5.30		2	0.62		321	95.82		14	4.18		335	0.43
Bell Hilltop		6	0.39		521	34.19		3	0.20		393	25.79		12	0.79		22	1.44		18	1.18		1	0.07		236	15.49		202	13.25		36	2.36		73	4.79		1	0.07		1524	97.50		39	2.50		1563	2.02
Biggenden		4	0.53		136	18.16		3	0.40		296	39.52		5	0.67		13	1.74		12	1.60		0	0.00		174	23.23		72	9.61		10	1.34		22	2.94		2	0.27		749	95.17		38	4.83		787	1.02
Biloela		8	0.24		1050	32.14		13	0.40		1071	32.78		39	1.19		58	1.78		46	1.41		6	0.18		457	13.99		343	10.50		60	1.84		114	3.49		2	0.06		3267	96.23		128	3.77		3395	4.38
