Senate - 2001 Election															
First Preference Votes by Candidate															
By Vote Type by Division															
															

South Australia															

Adelaide (86538)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	21321	32.22	1698	28.74	296	36.14	737	23.40	1052	28.53	25104	31.48
		"WONG, Penny"	ALP	990	1.50	76	1.29	17	2.08	58	1.84	50	1.36	1191	1.49
		"KIRK, Linda"	ALP	169	0.26	16	0.27	5	0.61	12	0.38	10	0.27	212	0.27
		"SCHACHT, Chris"	ALP	528	0.80	40	0.68	2	0.24	29	0.92	33	0.90	632	0.79
		Group Total	ALP	23008	34.77	1830	30.97	320	39.07	836	26.54	1145	31.06	27139	34.03
B		TICKET VOTES	GRN	2243	3.39	272	4.60	41	5.01	128	4.06	70	1.90	2754	3.45
		"FAEHRMANN, Cate"	GRN	1293	1.95	119	2.01	8	0.98	65	2.06	47	1.27	1532	1.92
		"DOUGLAS, Jim"	GRN	75	0.11	5	0.08	2	0.24	5	0.16	4	0.11	91	0.11
		Group Total	GRN	3611	5.46	396	6.70	51	6.23	198	6.29	121	3.28	4377	5.49
C		TICKET VOTES	HAN	1245	1.88	107	1.81	15	1.83	45	1.43	88	2.39	1500	1.88
		"RUSSELL-TAYLOR, Neil"	HAN	291	0.44	22	0.37	1	0.12	10	0.32	22	0.60	346	0.43
		"GIBSON, Colin"	HAN	16	0.02	2	0.03	0	0.00	1	0.03	1	0.03	20	0.03
		Group Total	HAN	1552	2.35	131	2.22	16	1.95	56	1.78	111	3.01	1866	2.34
D		TICKET VOTES		63	0.10	5	0.08	2	0.24	2	0.06	2	0.05	74	0.09
		"NEWNAM, Kathy"		53	0.08	5	0.08	0	0.00	0	0.00	1	0.03	59	0.07
		"LINES, Lisa"		13	0.02	0	0.00	0	0.00	0	0.00	0	0.00	13	0.02
		Group Total		129	0.19	10	0.17	2	0.24	2	0.06	3	0.08	146	0.18
E		TICKET VOTES	LP	26531	40.09	2353	39.83	282	34.43	1404	44.57	1821	49.39	32391	40.62
		"HILL, Robert"	LP	1068	1.61	81	1.37	6	0.73	55	1.75	86	2.33	1296	1.63
		"FERRIS, Jeannie"	LP	42	0.06	9	0.15	0	0.00	4	0.13	5	0.14	60	0.08
		"CHAPMAN, Grant"	LP	86	0.13	6	0.10	0	0.00	11	0.35	5	0.14	108	0.14
		"LENSINK, Michelle"	LP	56	0.08	4	0.07	0	0.00	10	0.32	4	0.11	74	0.09
		Group Total	LP	27783	41.98	2453	41.52	288	35.16	1484	47.11	1921	52.10	33929	42.55
F		TICKET VOTES		31	0.05	2	0.03	0	0.00	0	0.00	1	0.03	34	0.04
		"ALDRIDGE, Mark"		15	0.02	0	0.00	0	0.00	2	0.06	0	0.00	17	0.02
		"ALDRIDGE, Helen"		3	0.00	1	0.02	0	0.00	1	0.03	0	0.00	5	0.01
		Group Total		49	0.07	3	0.05	0	0.00	3	0.10	1	0.03	56	0.07
G		TICKET VOTES		15	0.02	4	0.07	0	0.00	1	0.03	0	0.00	20	0.03
		"HARTE, Kerry"		5	0.01	1	0.02	0	0.00	0	0.00	0	0.00	6	0.01
		"PHILLIPS, Colin"		6	0.01	0	0.00	0	0.00	0	0.00	0	0.00	6	0.01
		Group Total		26	0.04	5	0.08	0	0.00	1	0.03	0	0.00	32	0.04
H		TICKET VOTES	RPA	96	0.15	12	0.20	1	0.12	2	0.06	8	0.22	119	0.15
		"CROZIER, Patrick"	RPA	25	0.04	1	0.02	0	0.00	5	0.16	1	0.03	32	0.04
		"EASSON, Robert"	RPA	3	0.00	0	0.00	0	0.00	0	0.00	0	0.00	3	0.00
		Group Total	RPA	124	0.19	13	0.22	1	0.12	7	0.22	9	0.24	154	0.19
I		TICKET VOTES	DEM	7264	10.98	829	14.03	119	14.53	434	13.78	254	6.89	8900	11.16
		"STOTT DESPOJA, Natasha"	DEM	2460	3.72	227	3.84	20	2.44	116	3.68	109	2.96	2932	3.68
		"HEATH, Jeff"	DEM	52	0.08	3	0.05	0	0.00	5	0.16	4	0.11	64	0.08
		"PILLING, Michael"	DEM	24	0.04	0	0.00	1	0.12	1	0.03	2	0.05	28	0.04
		"HASSAN, Haroon"	DEM	29	0.04	4	0.07	0	0.00	5	0.16	1	0.03	39	0.05
		Group Total	DEM	9829	14.85	1063	17.99	140	17.09	561	17.81	370	10.04	11963	15.00
UNGROUPED															
		"FISHLOCK, Kym"	IND	41	0.06	4	0.07	0	0.00	2	0.06	4	0.11	51	0.06
		"BEHN, Ervyn C"	CEC	2	0.00	0	0.00	0	0.00	0	0.00	0	0.00	2	0.00
		"McSHANE, Nicholas"	IND	23	0.03	0	0.00	1	0.12	0	0.00	2	0.05	26	0.03
		Ungrouped Total		66	0.10	4	0.07	1	0.12	2	0.06	6	0.16	79	0.10
			FORMAL	66177	96.55	5908	98.14	819	97.38	3150	98.84	3687	98.79	79741	96.86
			INFORMAL	2366	3.45	112	1.86	22	2.62	37	1.16	45	1.21	2582	3.14
			TOTAL	68543	83.26	6020	7.31	841	1.02	3187	3.87	3732	4.53	82323	95.13



Barker (87836)															

				Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates			Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
A		TICKET VOTES	ALP	16979	23.83	846	19.94	275	32.54	743	26.27	475	15.66	19318	23.50
		"WONG, Penny"	ALP	555	0.78	40	0.94	7	0.83	22	0.78	21	0.69	645	0.78
		"KIRK, Linda"	ALP	64	0.09	10	0.24	2	0.24	4	0.14	8	0.26	88	0.11
		"SCHACHT, Chris"	ALP	307	0.43	22	0.52	1	0.12	8	0.28	14	0.46	352	0.43
