General Information - 2001 Election: South Australia				
Polling Places				
				
Adelaide				
Polling Place Name	Premises	Address	Suburb	
Adelaide (Adelaide)	Millers Arcade	28-30 Hindley Street	ADELAIDE	
Adelaide East	Christian Brothers College	214 Wakefield St	ADELAIDE	
Adelaide Hospital	Royal Adelaide Hospital	North Tce	ADELAIDE	
Adelaide South	Gilles St Primary School	91 Gilles St	ADELAIDE	
Adelaide West	St Mary's College	253 Franklin St	ADELAIDE	
Black Forest East	Clarence Park Community Centre	Cnr Canterbury Tce & East Ave	BLACK FOREST	
Blair Athol North	Gepps Cross Primary School	Stanley Ave	BLAIR ATHOL	
Broadview	Broadview Baptist Church Hall	Collingrove Ave	BROADVIEW	
Brompton	Bowden Brompton Community Centre	19 Green St	BROMPTON	
Clarence Park	Church of the Trinity	318 Goodwood Rd	CLARENCE PARK	
College Park	Hackney Kindergarten	68 Richmond St	COLLEGE PARK	
Croydon (Adelaide)	St Barnabas Hall	William St	CROYDON
Croydon Park	Church of the Nazarene	Cnr Days Rd & Boomerang Rd	CROYDON PARK
Croydon Park West (Adelaide)	TAFE INSTITUTE Croydon Campus	Goodall Ave	CROYDON PARK
Enfield	Enfield Primary School	Clarice Ave	ENFIELD
Enfield North (Adelaide)	Enfield High School	350 Grand Junction Rd	ENFIELD
Enfield South	Enfield Community Centre	540 Regency Rd	ENFIELD
Everard Park	St Benedict's Church Hall	613 South Rd	EVERARD PARK
Fullarton	Julia Farr Centre	103 Fisher St	FULLARTON
Goodwood	Goodwood Primary School	140 Goodwood Rd	GOODWOOD
Goodwood Park	St Thomas School	10 Rushton St	GOODWOOD
Greenacres	Hampstead Primary School	Muller Rd	GREENACRES
Hampstead Gardens	Church of Christ	26 Gambia Ave	HAMPSTEAD GARDENS
Hindmarsh	Ukranian Community Centre	66 Orsmond St	HINDMARSH
Hyde Park	Walford Anglican School	316 Unley Rd	HYDE PARK
Kent Town	Wesley Uniting Church Hall	Cnr Fullarton Rd and Grenfell St	KENT TOWN
Keswick	Richmond Primary School	8 Surrey Rd	KESWICK
