House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Boothby (89617)											
		Candidate		"MURPHY, Jim"		                	"SOUTHCOTT, Andrew"			Total	
				ALP		                        	LP				
				Votes	%	                     	Votes	%			
	Aberfoyle Park North (Boothby)										
			1st Prefs	113	29.12		275	70.88		388	
		"STARLING, Paul (IND)"	5	3	60.00		2	40.00		5	
		"PRIDE, Jo (DEM)"	119	72	60.50		47	39.50		119	
		"MANFIELD, William ()"	0	0	0.00		0	0.00		0	
		"DRUMMOND, Michelle (GRN)"	11	9	81.82		2	18.18		11	
		"PIECHNICK, Daniel (HAN)"	17	8	47.06		9	52.94		17	
		"KING, Jack (IND)"	2	1	50.00		1	50.00		2	
		Total	154	206	38.01		336	61.99		542	

	Adelaide (Boothby)										
			1st Prefs	30	40.54		44	59.46		74	
		"STARLING, Paul (IND)"	0	0	0.00		0	0.00		0	
		"PRIDE, Jo (DEM)"	33	18	54.55		15	45.45		33	
		"MANFIELD, William ()"	0	0	0.00		0	0.00		0	
		"DRUMMOND, Michelle (GRN)"	6	3	50.00		3	50.00		6	
		"PIECHNICK, Daniel (HAN)"	1	1	100.00		0	0.00		1	
		"KING, Jack (IND)"	0	0	0.00		0	0.00		0	
		Total	40	52	45.61		62	54.39		114	

	Bedford Park										
			1st Prefs	194	40.33		287	59.67		481	
		"STARLING, Paul (IND)"	4	2	50.00		2	50.00		4	
		"PRIDE, Jo (DEM)"	169	109	64.50		60	35.50		169	
		"MANFIELD, William ()"	3	2	66.67		1	33.33		3	
		"DRUMMOND, Michelle (GRN)"	28	22	78.57		6	21.43		28	
		"PIECHNICK, Daniel (HAN)"	19	9	47.37		10	52.63		19	
		"KING, Jack (IND)"	5	1	20.00		4	80.00		5	
		Total	228	339	47.81		370	52.19		709	

	Belair										
			1st Prefs	796	30.20		1840	69.80		2636	
		"STARLING, Paul (IND)"	15	6	40.00		9	60.00		15	
		"PRIDE, Jo (DEM)"	1031	699	67.80		332	32.20		1031	
		"MANFIELD, William ()"	3	1	33.33		2	66.67		3	
		"DRUMMOND, Michelle (GRN)"	172	134	77.91		38	22.09		172	
		"PIECHNICK, Daniel (HAN)"	73	38	52.05		35	47.95		73	
		"KING, Jack (IND)"	39	18	46.15		21	53.85		39	
		Total	1333	1692	42.63		2277	57.37		3969	

	Bellevue Heights										
			1st Prefs	402	29.09		980	70.91		1382	
		"STARLING, Paul (IND)"	13	3	23.08		10	76.92		13	
		"PRIDE, Jo (DEM)"	392	265	67.60		127	32.40		392	
		"MANFIELD, William ()"	2	1	50.00		1	50.00		2	
		"DRUMMOND, Michelle (GRN)"	48	33	68.75		15	31.25		48	
		"PIECHNICK, Daniel (HAN)"	41	17	41.46		24	58.54		41	
		"KING, Jack (IND)"	4	4	100.00		0	0.00		4	
		Total	500	725	38.52		1157	61.48		1882	

	Blackwood										
			1st Prefs	415	26.57		1147	73.43		1562	
		"STARLING, Paul (IND)"	10	5	50.00		5	50.00		10	
		"PRIDE, Jo (DEM)"	555	393	70.81		162	29.19		555	
		"MANFIELD, William ()"	10	5	50.00		5	50.00		10	
		"DRUMMOND, Michelle (GRN)"	110	88	80.00		22	20.00		110	
		"PIECHNICK, Daniel (HAN)"	45	19	42.22		26	57.78		45	
		"KING, Jack (IND)"	20	10	50.00		10	50.00		20	
		Total	750	935	40.44		1377	59.56		2312	

	Blackwood Central										
