House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place by Division											
											
Mayo (86319)											
		Candidate		"DOWNER, Alexander"		          	"BRENNAN, Delia"		             	Total	
				LP		                         	ALP		                        		
				Votes	%	                     	Votes	%	                     		
	Aberfoyle Park										
			1st Prefs	1648	65.63		863	34.37		2511	
		"MCLAREN, John (DEM)"	583	222	38.08		361	61.92		583	
		"SPRAGG, Bill (IND)"	106	63	59.43		43	40.57		106	
		"CLARK, Dave (GRN)"	120	39	32.50		81	67.50		120	
		"THOMAS, Mike (HAN)"	98	67	68.37		31	31.63		98	
		"COOMBE, Howie F (IND)"	5	5	100.00		0	0.00		5	
		Total	912	2044	59.71		1379	40.29		3423	

	Aberfoyle Park North (Mayo)										
			1st Prefs	1134	70.65		471	29.35		1605	
		"MCLAREN, John (DEM)"	353	136	38.53		217	61.47		353	
		"SPRAGG, Bill (IND)"	38	21	55.26		17	44.74		38	
		"CLARK, Dave (GRN)"	52	16	30.77		36	69.23		52	
		"THOMAS, Mike (HAN)"	34	21	61.76		13	38.24		34	
		"COOMBE, Howie F (IND)"	6	3	50.00		3	50.00		6	
		Total	483	1331	63.75		757	36.25		2088	

	Aberfoyle Park South										
			1st Prefs	452	69.22		201	30.78		653	
		"MCLAREN, John (DEM)"	170	58	34.12		112	65.88		170	
		"SPRAGG, Bill (IND)"	29	17	58.62		12	41.38		29	
		"CLARK, Dave (GRN)"	24	6	25.00		18	75.00		24	
		"THOMAS, Mike (HAN)"	33	20	60.61		13	39.39		33	
		"COOMBE, Howie F (IND)"	7	4	57.14		3	42.86		7	
		Total	263	557	60.81		359	39.19		916	

	Adelaide (Mayo)										
			1st Prefs	45	63.38		26	36.62		71	
		"MCLAREN, John (DEM)"	25	9	36.00		16	64.00		25	
		"SPRAGG, Bill (IND)"	3	1	33.33		2	66.67		3	
		"CLARK, Dave (GRN)"	4	1	25.00		3	75.00		4	
		"THOMAS, Mike (HAN)"	1	1	100.00		0	0.00		1	
		"COOMBE, Howie F (IND)"	1	1	100.00		0	0.00		1	
		Total	34	58	55.24		47	44.76		105	

	Aldgate										
			1st Prefs	934	72.68		351	27.32		1285	
		"MCLAREN, John (DEM)"	326	84	25.77		242	74.23		326	
		"SPRAGG, Bill (IND)"	79	25	31.65		54	68.35		79	
		"CLARK, Dave (GRN)"	206	38	18.45		168	81.55		206	
		"THOMAS, Mike (HAN)"	38	24	63.16		14	36.84		38	
		"COOMBE, Howie F (IND)"	3	2	66.67		1	33.33		3	
		Total	652	1107	57.15		830	42.85		1937	

	Athelstone										
			1st Prefs	1813	64.80		985	35.20		2798	
		"MCLAREN, John (DEM)"	537	216	40.22		321	59.78		537	
		"SPRAGG, Bill (IND)"	126	55	43.65		71	56.35		126	
		"CLARK, Dave (GRN)"	107	33	30.84		74	69.16		107	
		"THOMAS, Mike (HAN)"	85	57	67.06		28	32.94		85	
		"COOMBE, Howie F (IND)"	14	8	57.14		6	42.86		14	
		Total	869	2182	59.50		1485	40.50		3667	

	Athelstone West										
			1st Prefs	1571	61.44		986	38.56		2557	
		"MCLAREN, John (DEM)"	416	164	39.42		252	60.58		416	
		"SPRAGG, Bill (IND)"	75	31	41.33		44	58.67		75	
		"CLARK, Dave (GRN)"	86	18	20.93		68	79.07		86	
		"THOMAS, Mike (HAN)"	59	33	55.93		26	44.07		59	
		"COOMBE, Howie F (IND)"	13	3	23.08		10	76.92		13	
		Total	649	1820	56.77		1386	43.23		3206	

	Balhannah										
			1st Prefs	835	79.30		218	20.70		1053	
		"MCLAREN, John (DEM)"	195	70	35.90		125	64.10		195	
		"SPRAGG, Bill (IND)"	50	19	38.00		31	62.00		50	
		"CLARK, Dave (GRN)"	55	14	25.45		41	74.55		55	
		"THOMAS, Mike (HAN)"	52	39	75.00		13	25.00		52	
		"COOMBE, Howie F (IND)"	4	4	100.00		0	0.00		4	
		Total	356	981	69.62		428	30.38		1409	

	Basket Range										
			1st Prefs	64	79.01		17	20.99		81	
		"MCLAREN, John (DEM)"	23	3	13.04		20	86.96		23	
		"SPRAGG, Bill (IND)"	9	5	55.56		4	44.44		9	
		"CLARK, Dave (GRN)"	11	0	0.00		11	100.00		11	
		"THOMAS, Mike (HAN)"	4	2	50.00		2	50.00		4	
		"COOMBE, Howie F (IND)"	0	0	0.00		0	0.00		0	
		Total	47	74	57.81		54	42.19		128	

	Bridgewater										
			1st Prefs	810	73.91		286	26.09		1096	
		"MCLAREN, John (DEM)"	290	79	27.24		211	72.76		290	
		"SPRAGG, Bill (IND)"	52	20	38.46		32	61.54		52	
		"CLARK, Dave (GRN)"	138	30	21.74		108	78.26		138	
		"THOMAS, Mike (HAN)"	32	23	71.88		9	28.13		32	
		"COOMBE, Howie F (IND)"	5	3	60.00		2	40.00		5	
		Total	517	965	59.83		648	40.17		1613	

	Brukunga										
			1st Prefs	86	69.35		38	30.65		124	
		"MCLAREN, John (DEM)"	24	9	37.50		15	62.50		24	
		"SPRAGG, Bill (IND)"	4	2	50.00		2	50.00		4	
		"CLARK, Dave (GRN)"	7	1	14.29		6	85.71		7	
		"THOMAS, Mike (HAN)"	16	9	56.25		7	43.75		16	
		"COOMBE, Howie F (IND)"	3	3	100.00		0	0.00		3	
		Total	54	110	61.80		68	38.20		178	

	Callington										
			1st Prefs	145	71.08		59	28.92		204	
		"MCLAREN, John (DEM)"	41	21	51.22		20	48.78		41	
		"SPRAGG, Bill (IND)"	7	4	57.14		3	42.86		7	
		"CLARK, Dave (GRN)"	13	3	23.08		10	76.92		13	
		"THOMAS, Mike (HAN)"	16	10	62.50		6	37.50		16	
		"COOMBE, Howie F (IND)"	3	0	0.00		3	100.00		3	
		Total	80	183	64.44		101	35.56		284	

	Charleston										
			1st Prefs	158	84.95		28	15.05		186	
		"MCLAREN, John (DEM)"	26	6	23.08		20	76.92		26	
		"SPRAGG, Bill (IND)"	3	0	0.00		3	100.00		3	
		"CLARK, Dave (GRN)"	2	0	0.00		2	100.00		2	
		"THOMAS, Mike (HAN)"	21	15	71.43		6	28.57		21	
		"COOMBE, Howie F (IND)"	0	0	0.00		0	0.00		0	
		Total	52	179	75.21		59	24.79		238	

	Cherry Gardens										
			1st Prefs	326	82.32		70	17.68		396	
		"MCLAREN, John (DEM)"	85	38	44.71		47	55.29		85	
		"SPRAGG, Bill (IND)"	6	2	33.33		4	66.67		6	
		"CLARK, Dave (GRN)"	27	4	14.81		23	85.19		27	
		"THOMAS, Mike (HAN)"	19	13	68.42		6	31.58		19	
		"COOMBE, Howie F (IND)"	2	1	50.00		1	50.00		2	
		Total	139	384	71.78		151	28.22		535	

	Clarendon										
			1st Prefs	244	74.39		84	25.61		328	
		"MCLAREN, John (DEM)"	67	25	37.31		42	62.69		67	
		"SPRAGG, Bill (IND)"	7	5	71.43		2	28.57		7	
		"CLARK, Dave (GRN)"	38	16	42.11		22	57.89		38	
		"THOMAS, Mike (HAN)"	7	4	57.14		3	42.86		7	
		"COOMBE, Howie F (IND)"	0	0	0.00		0	0.00		0	
		Total	119	294	65.77		153	34.23		447	

	Coromandel Valley (Mayo)										
			1st Prefs	640	77.58		185	22.42		825	
		"MCLAREN, John (DEM)"	232	92	39.66		140	60.34		232	
		"SPRAGG, Bill (IND)"	16	8	50.00		8	50.00		16	
		"CLARK, Dave (GRN)"	61	14	22.95		47	77.05		61	
		"THOMAS, Mike (HAN)"	15	10	66.67		5	33.33		15	
		"COOMBE, Howie F (IND)"	0	0	0.00		0	0.00		0	
		Total	324	764	66.49		385	33.51		1149	

	Crafers										
			1st Prefs	688	74.30		238	25.70		926	
		"MCLAREN, John (DEM)"	217	56	25.81		161	74.19		217	
		"SPRAGG, Bill (IND)"	60	27	45.00		33	55.00		60	
		"CLARK, Dave (GRN)"	111	22	19.82		89	80.18		111	
		"THOMAS, Mike (HAN)"	20	15	75.00		5	25.00		20	
		"COOMBE, Howie F (IND)"	6	3	50.00		3	50.00		6	
		Total	414	811	60.52		529	39.48		1340	

	Cudlee Creek										
			1st Prefs	102	85.00		18	15.00		120	
		"MCLAREN, John (DEM)"	21	10	47.62		11	52.38		21	
		"SPRAGG, Bill (IND)"	3	3	100.00		0	0.00		3	
		"CLARK, Dave (GRN)"	4	1	25.00		3	75.00		4	
		"THOMAS, Mike (HAN)"	15	9	60.00		6	40.00		15	
		"COOMBE, Howie F (IND)"	2	2	100.00		0	0.00		2	
		Total	45	127	76.97		38	23.03		165	

	Echunga										
			1st Prefs	455	82.13		99	17.87		554	
		"MCLAREN, John (DEM)"	100	43	43.00		57	57.00		100	
		"SPRAGG, Bill (IND)"	20	5	25.00		15	75.00		20	
		"CLARK, Dave (GRN)"	42	15	35.71		27	64.29		42	
		"THOMAS, Mike (HAN)"	25	19	76.00		6	24.00		25	
		"COOMBE, Howie F (IND)"	1	1	100.00		0	0.00		1	
		Total	188	538	72.51		204	27.49		742	

	Flagstaff Hill (Mayo)										
