House of Representatives - 2001 Election: South Australia											
Two Candidate Preferred Preference Flow Result											
By Polling Place											
											
Wakefield (86378)											
		Candidate		"ROWBOTTOM, Tim"		             	"ANDREW, Neil"		               	Total	
				ALP		                        	LP		                         		
				Votes	%	                     	Votes	%	                     		
	Alford										
			1st Prefs	17	15.60		92	84.40		109	
		"RESEIGH, Marcus (DEM)"	2	0	0.00		2	100.00		2	
		"DWYER, David (HAN)"	14	9	64.29		5	35.71		14	
		"KELLY, Pam (GRN)"	1	1	100.00		0	0.00		1	
		Total	17	27	21.43		99	78.57		126	

	Angaston										
			1st Prefs	358	28.35		905	71.65		1263	
		"RESEIGH, Marcus (DEM)"	150	91	60.67		59	39.33		150	
		"DWYER, David (HAN)"	83	36	43.37		47	56.63		83	
		"KELLY, Pam (GRN)"	64	38	59.38		26	40.63		64	
		Total	297	523	33.53		1037	66.47		1560	

	Ardrossan										
			1st Prefs	303	33.59		599	66.41		902	
		"RESEIGH, Marcus (DEM)"	69	43	62.32		26	37.68		69	
		"DWYER, David (HAN)"	90	59	65.56		31	34.44		90	
		"KELLY, Pam (GRN)"	21	7	33.33		14	66.67		21	
		Total	180	412	38.08		670	61.92		1082	

	Arthurton										
			1st Prefs	12	8.16		135	91.84		147	
		"RESEIGH, Marcus (DEM)"	2	2	100.00		0	0.00		2	
		"DWYER, David (HAN)"	14	8	57.14		6	42.86		14	
		"KELLY, Pam (GRN)"	5	3	60.00		2	40.00		5	
		Total	21	25	14.88		143	85.12		168	

	Balaklava										
			1st Prefs	236	20.27		928	79.73		1164	
		"RESEIGH, Marcus (DEM)"	62	35	56.45		27	43.55		62	
		"DWYER, David (HAN)"	97	42	43.30		55	56.70		97	
		"KELLY, Pam (GRN)"	41	24	58.54		17	41.46		41	
		Total	200	337	24.71		1027	75.29		1364	

	Barmera										
			1st Prefs	495	29.27		1196	70.73		1691	
		"RESEIGH, Marcus (DEM)"	86	49	56.98		37	43.02		86	
		"DWYER, David (HAN)"	190	108	56.84		82	43.16		190	
		"KELLY, Pam (GRN)"	85	39	45.88		46	54.12		85	
		Total	361	691	33.67		1361	66.33		2052	

	Berri										
			1st Prefs	583	27.93		1504	72.07		2087	
		"RESEIGH, Marcus (DEM)"	174	97	55.75		77	44.25		174	
		"DWYER, David (HAN)"	184	115	62.50		69	37.50		184	
		"KELLY, Pam (GRN)"	90	51	56.67		39	43.33		90	
		Total	448	846	33.37		1689	66.63		2535	

	Birdwood										
			1st Prefs	161	28.60		402	71.40		563	
		"RESEIGH, Marcus (DEM)"	89	51	57.30		38	42.70		89	
		"DWYER, David (HAN)"	55	33	60.00		22	40.00		55	
		"KELLY, Pam (GRN)"	29	19	65.52		10	34.48		29	
		Total	173	264	35.87		472	64.13		736	

	Blanchetown										
			1st Prefs	62	30.24		143	69.76		205	
		"RESEIGH, Marcus (DEM)"	15	11	73.33		4	26.67		15	
		"DWYER, David (HAN)"	18	7	38.89		11	61.11		18	
		"KELLY, Pam (GRN)"	1	0	0.00		1	100.00		1	
		Total	34	80	33.47		159	66.53		239	

	Bute										
			1st Prefs	51	18.28		228	81.72		279	
		"RESEIGH, Marcus (DEM)"	12	8	66.67		4	33.33		12	
		"DWYER, David (HAN)"	22	15	68.18		7	31.82		22	
		"KELLY, Pam (GRN)"	13	6	46.15		7	53.85		13	
		Total	47	80	24.54		246	75.46		326	

	Cadell										
