House of Representatives - 2001 Election: South Australia																																						
First Preference Votes and TCP																																						
By Candidate by Polling Place																																						

Barker (87836)																																						
	DETCHON			RIGNEY			BALLINGER			WRIGHT			CORNISH			MILLER			# SECKER			FORMAL			INFORMAL			TOTAL										
	David			Matt			Liz			Dona			Philip			Louise			Patrick												Two Candidate Preferred							
	ALP			GRN			IND			HAN			IND			DEM			LP												 DETCHON ALP			# SECKER LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Allendale East	54	18.95		10	3.51		10	3.51		22	7.72		3	1.05		12	4.21		174	61.05		285	95.00		15	5.00		300	0.35		81	28.42		204	71.58			
American River	43	24.16		4	2.25		6	3.37		21	11.80		0	0.00		24	13.48		80	44.94		178	94.68		10	5.32		188	0.22		65	36.52		113	63.48			
Ashbourne	24	18.32		12	9.16		6	4.58		9	6.87		5	3.82		15	11.45		60	45.80		131	98.50		2	1.50		133	0.16		52	39.69		79	60.31			
Beachport	92	20.72		16	3.60		21	4.73		36	8.11		6	1.35		9	2.03		264	59.46		444	94.87		24	5.13		468	0.55		138	31.08		306	68.92			
Bordertown	250	13.98		28	1.57		163	9.12		70	3.91		104	5.82		50	2.80		1123	62.81		1788	94.30		108	5.70		1896	2.24		386	21.59		1402	78.41			
Cambrai	52	23.32		9	4.04		6	2.69		27	12.11		5	2.24		12	5.38		112	50.22		223	92.92		17	7.08		240	0.28		82	36.77		141	63.23			
Carpenter Rocks	43	21.83		6	3.05		6	3.05		48	24.37		2	1.02		1	0.51		91	46.19		197	95.63		9	4.37		206	0.24		72	36.55		125	63.45			
Compton	55	16.08		5	1.46		12	3.51		36	10.53		2	0.58		18	5.26		214	62.57		342	95.80		15	4.20		357	0.42		84	24.56		258	75.44
Coomandook	8	4.68		2	1.17		13	7.60		12	7.02		1	0.58		7	4.09		128	74.85		171	96.61		6	3.39		177	0.21		22	12.87		149	87.13
Coonalpyn	32	11.07		2	0.69		12	4.15		9	3.11		4	1.38		9	3.11		221	76.47		289	97.64		7	2.36		296	0.35		49	16.96		240	83.04
Coonawarra	18	8.70		6	2.90		22	10.63		8	3.86		3	1.45		7	3.38		143	69.08		207	96.73		7	3.27		214	0.25		31	14.98		176	85.02
Currency Creek	54	14.48		19	5.09		5	1.34		29	7.77		4	1.07		44	11.80		218	58.45		373	94.67		21	5.33		394	0.47		112	30.03		261	69.97
Delamere	41	19.71		13	6.25		6	2.88		20	9.62		2	0.96		23	11.06		103	49.52		208	92.44		17	7.56		225	0.27		72	34.62		136	65.38
Frances	12	10.26		1	0.85		4	3.42		16	13.68		1	0.85		2	1.71		81	69.23		117	95.90		5	4.10		122	0.14		18	15.38		99	84.62
Furner	6	4.72		2	1.57		3	2.36		6	4.72		2	1.57		4	3.15		104	81.89		127	93.38		9	6.62		136	0.16		10	7.87		117	92.13
Geranium	10	7.58		4	3.03		3	2.27		6	4.55		6	4.55		10	7.58		93	70.45		132	97.06		4	2.94		136	0.16		19	14.39		113	85.61
Glenburnie	39	19.60		3	1.51		9	4.52		35	17.59		5	2.51		6	3.02		102	51.26		199	94.31		12	5.69		211	0.25		61	30.65		138	69.35
Glencoe	95	25.75		12	3.25		18	4.88		50	13.55		4	1.08		18	4.88		172	46.61		369	94.62		21	5.38		390	0.46		145	39.30		224	60.70
Goolwa	823	27.87		175	5.93		37	1.25		181	6.13		23	0.78		298	10.09		1416	47.95		2953	93.75		197	6.25		3150	3.73		1227	41.55		1726	58.45
Gosse	5	8.33		5	8.33		3	5.00		5	8.33		0	0.00		10	16.67		32	53.33		60	98.36		1	1.64		61	0.07		19	31.67		41	68.33
Greenways	18	22.22		2	2.47		2	2.47		7	8.64		4	4.94		2	2.47		46	56.79		81	96.43		3	3.57		84	0.10		25	30.86		56	69.14
Hindmarsh Valley	50	25.00		12	6.00		6	3.00		3	1.50		4	2.00		11	5.50		114	57.00		200	93.46		14	6.54		214	0.25		69	34.50		131	65.50
Hope Forest	26	15.29		13	7.65		0	0.00		9	5.29		2	1.18		15	8.82		105	61.76		170	96.59		6	3.41		176	0.21		46	27.06		124	72.94
Hynam	15	10.64		4	2.84		6	4.26		13	9.22		4	2.84		5	3.55		94	66.67		141	95.92		6	4.08		147	0.17		25	17.73		116	82.27
Inman Valley	20	12.66		5	3.16		15	9.49		7	4.43		2	1.27		16	10.13		93	58.86		158	95.76		7	4.24		165	0.20		40	25.32		118	74.68
Jervois	12	8.39		5	3.50		2	1.40		5	3.50		2	1.40		11	7.69		106	74.13		143	95.97		6	4.03		149	0.18		22	15.38		121	84.62
Kalangadoo	79	25.32		4	1.28		10	3.21		31	9.94		11	3.53		11	3.53		166	53.21		312	95.12		16	4.88		328	0.39		111	35.58		201	64.42
Karoonda	44	9.87		5	1.12		14	3.14		34	7.62		7	1.57		21	4.71		321	71.97		446	95.30		22	4.70		468	0.55		73	16.37		373	83.63
Keith	108	10.76		12	1.20		97	9.66		55	5.48		39	3.88		29	2.89		664	66.14		1004	95.26		50	4.74		1054	1.25		181	18.03		823	81.97
Keyneton	27	18.00		9	6.00		3	2.00		5	3.33		0	0.00		23	15.33		83	55.33		150	94.94		8	5.06		158	0.19		53	35.33		97	64.67
Kingscote	242	18.98		38	2.98		54	4.24		76	5.96		8	0.63		187	14.67		670	52.55		1275	94.37		76	5.63		1351	1.60		418	32.78		857	67.22
Kingston	231	17.87		24	1.86		58	4.49		124	9.59		27	2.09		31	2.40		798	61.72		1293	95.07		67	4.93		1360	1.61		310	23.98		983	76.02
