House of Representatives - 2001 Election: South Australia																																
First Preference Votes and TCP 																																
By Candidate by Polling Place																																
																																
Grey (85745)																																
	O'NEILL			ROBERTSON			HOLLAND			MARTIN			# WAKELIN			FORMAL			INFORMAL			TOTAL										
	Con			Gil John			Sylvia			Felicity			Barry												Two Candidate Preferred							
	ALP			DEM			HAN			GRN			LP												 O'NEILL ALP			# WAKELIN LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Andamooka	82	37.10		9	4.07		41	18.55		5	2.26		84	38.01		221	91.32		21	8.68		242	0.30		114	51.58		107	48.42			
Arno Bay	30	12.77		6	2.55		27	11.49		3	1.28		169	71.91		235	95.53		11	4.47		246	0.30		55	23.40		180	76.60			
Auburn	86	22.05		30	7.69		21	5.38		15	3.85		238	61.03		390	95.12		20	4.88		410	0.51		126	32.31		264	67.69			
Blyth	53	15.27		12	3.46		19	5.48		5	1.44		258	74.35		347	94.04		22	5.96		369	0.45		73	21.04		274	78.96			
Booborowie	28	16.87		1	0.60		13	7.83		2	1.20		122	73.49		166	93.79		11	6.21		177	0.22		36	21.69		130	78.31			
Booleroo Centre	24	6.52		9	2.45		25	6.79		1	0.27		309	83.97		368	96.84		12	3.16		380	0.47		45	12.23		323	87.77			
Brinkworth	21	9.42		11	4.93		22	9.87		1	0.45		168	75.34		223	93.70		15	6.30		238	0.29		32	14.35		191	85.65			
Burra	197	26.66		26	3.52		59	7.98		19	2.57		438	59.27		739	93.19		54	6.81		793	0.98		265	35.86		474	64.14			
Ceduna	372	25.57		58	3.99		85	5.84		36	2.47		904	62.13		1455	94.11		91	5.89		1546	1.91		462	31.75		993	68.25			
Clare	499	20.75		154	6.40		119	4.95		73	3.04		1560	64.86		2405	95.66		109	4.34		2514	3.10		701	29.15		1704	70.85			
Cleve	53	7.22		8	1.09		25	3.41		6	0.82		642	87.47		734	96.33		28	3.67		762	0.94		64	8.72		670	91.28			
