House of Representatives - 2001 Election: South Australia																																	
First Preference Votes and TCP																																	
By Candidate by Polling Place																																	

Hindmarsh (84806)																																	
	FITZPATRICK			GEORGANAS			# GALLUS			CASHEL			DOWD			FORMAL			INFORMAL			TOTAL											
	Peter			Steve			Chris			Deb			Caroline												Two Candidate Preferred								
	HAN			ALP			LP			GRN			DEM												 GEORGANAS ALP			# GALLUS LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Adelaide (Hindmarsh)	4	2.94		47	34.56		47	34.56		10	7.35		28	20.59		136	93.15		10	6.85		146	0.18		76	55.88		60	44.12				
Ascot Park South	43	4.67		407	44.19		361	39.20		25	2.71		85	9.23		921	91.64		84	8.36		1005	1.24		508	55.16		413	44.84				
Brooklyn Park	63	3.19		939	47.47		734	37.11		71	3.59		171	8.65		1978	93.17		145	6.83		2123	2.62		1139	57.58		839	42.42				
Brooklyn Park South	38	3.30		477	41.44		512	44.48		27	2.35		97	8.43		1151	93.81		76	6.19		1227	1.52		565	49.09		586	50.91				
Camden Park	55	5.10		438	40.59		490	45.41		21	1.95		75	6.95		1079	94.90		58	5.10		1137	1.40		523	48.47		556	51.53				
Cowandilla	60	3.30		1043	57.34		512	28.15		76	4.18		128	7.04		1819	92.81		141	7.19		1960	2.42		1237	68.00		582	32.00				
Cowandilla West	13	1.98		319	48.55		243	36.99		25	3.81		57	8.68		657	93.19		48	6.81		705	0.87		381	57.99		276	42.01				
Edwardstown	74	5.00		600	40.54		613	41.42		47	3.18		146	9.86		1480	94.69		83	5.31		1563	1.93		777	52.50		703	47.50
Flinders Park	99	3.34		1390	46.85		1193	40.21		79	2.66		206	6.94		2967	94.64		168	5.36		3135	3.87		1645	55.44		1322	44.56
Forbes	108	4.74		966	42.39		938	41.16		65	2.85		202	8.86		2279	93.63		155	6.37		2434	3.01		1211	53.14		1068	46.86
Fulham	54	3.11		560	32.24		955	54.98		51	2.94		117	6.74		1737	93.84		114	6.16		1851	2.29		707	40.70		1030	59.30
Fulham Gardens	104	3.22		1390	43.10		1361	42.20		94	2.91		276	8.56		3225	92.73		253	7.27		3478	4.30		1703	52.81		1522	47.19
Glandore	37	3.13		396	33.47		566	47.84		56	4.73		128	10.82		1183	94.41		70	5.59		1253	1.55		554	46.83		629	53.17
Glenelg Central	45	2.78		466	28.78		880	54.35		75	4.63		153	9.45		1619	94.02		103	5.98		1722	2.13		630	38.91		989	61.09
Glenelg East	43	2.64		492	30.18		858	52.64		75	4.60		162	9.94		1630	94.88		88	5.12		1718	2.12		667	40.92		963	59.08
Glenelg North	75	2.96		704	27.80		1444	57.03		115	4.54		194	7.66		2532	94.76		140	5.24		2672	3.30		946	37.36		1586	62.64
Glenelg South	43	2.32		460	24.77		1137	61.23		92	4.95		125	6.73		1857	95.48		88	4.52		1945	2.40		619	33.33		1238	66.67
Glengowrie	37	2.29		505	31.31		900	55.80		34	2.11		137	8.49		1613	93.94		104	6.06		1717	2.12		617	38.25		996	61.75
Grovene	34	2.66		357	27.96		756	59.20		36	2.82		94	7.36		1277	95.66		58	4.34		1335	1.65		451	35.32		826	64.68
Henley Beach	50	2.37		768	36.33		953	45.08		133	6.29		210	9.93		2114	94.54		122	5.46		2236	2.76		1036	49.01		1078	50.99
Henley South	42	2.91		515	35.69		653	45.25		110	7.62		123	8.52		1443	95.44		69	4.56		1512	1.87		702	48.65		741	51.35
Kidman Park	18	1.95		417	45.23		403	43.71		17	1.84		67	7.27		922	91.56		85	8.44		1007	1.24		483	52.39		439	47.61
Kidman Park South	67	2.76		997	41.08		1134	46.72		51	2.10		178	7.33		2427	92.63		193	7.37		2620	3.24		1158	47.71		1269	52.29
Kurralta Park	49	3.56		566	41.07		554	40.20		47	3.41		162	11.76		1378	94.38		82	5.62		1460	1.80		731	53.05		647	46.95
Lockleys	42	2.46		505	29.57		976	57.14		49	2.87		136	7.96		1708	94.42		101	5.58		1809	2.23		638	37.35		1070	62.65
Lockleys North	34	2.84		467	38.95		567	47.29		33	2.75		98	8.17		1199	93.60		82	6.40		1281	1.58		577	48.12		622	51.88
Mile End (Hindmarsh)	8	1.09		379	51.42		206	27.95		52	7.06		92	12.48		737	93.89		48	6.11		785	0.97		484	65.67		253	34.33
Morphettville	59	4.67		468	37.03		600	47.47		26	2.06		111	8.78		1264	93.84		83	6.16		1347	1.66		591	46.76		673	53.24
Netley	38	3.29		492	42.56		508	43.94		27	2.34		91	7.87		1156	92.33		96	7.67		1252	1.55		585	50.61		571	49.39
Novar Gardens	57	3.43		463	27.89		972	58.55		42	2.53		126	7.59		1660	94.59		95	5.41		1755	2.17		592	35.66		1068	64.34
Park Holme	49	3.40		620	43.00		576	39.94		42	2.91		155	10.75		1442	91.85		128	8.15		1570	1.94		775	53.74		667	46.26
Park Holme South	49	3.34		627	42.74		601	40.97		47	3.20		143	9.75		1467	93.26		106	6.74		1573	1.94		777	52.97		690	47.03
Plympton	72	3.85		739	39.48		811	43.32		56	2.99		194	10.36		1872	93.98		120	6.02		1992	2.46		933	49.84		939	50.16
