House of Representatives - 2001 Election: South Australia																																				
First Preference Votes and TCP 																																				
By Candidate by Polling Place																																				

Kingston (85398)																																				
	HERSEY			ARANDELOVIC			MCCORMACK			GUILDNER			PRATT			# COX			FORMAL			INFORMAL			TOTAL											
	Dean			Gordon			Charlie			Deborah			Graham			David												Two Candidate Preferred								
	LP			NGST			HAN			GRN			DEM			ALP												 HERSEY LP			# COX ALP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Adelaide (Kingston)	38	38.78		2	2.04		2	2.04		6	6.12		20	20.41		30	30.61		98	93.33		7	6.67		105	0.13		49	50.00		49	50.00				
Aldinga Beach	1178	37.72		27	0.86		166	5.32		223	7.14		403	12.90		1126	36.06		3123	94.67		176	5.33		3299	4.02		1477	47.29		1646	52.71				
Christie Downs	605	29.14		31	1.49		112	5.39		55	2.65		247	11.90		1026	49.42		2076	92.51		168	7.49		2244	2.74		758	36.51		1318	63.49				
Christies Beach	774	35.17		33	1.50		128	5.82		91	4.13		207	9.40		968	43.98		2201	93.58		151	6.42		2352	2.87		965	43.84		1236	56.16				
Christies North	135	33.09		9	2.21		24	5.88		21	5.15		41	10.05		178	43.63		408	94.23		25	5.77		433	0.53		169	41.42		239	58.58				
Hackham	566	27.69		46	2.25		128	6.26		48	2.35		227	11.11		1029	50.34		2044	93.33		146	6.67		2190	2.67		778	38.06		1266	61.94				
Hackham East	1288	39.30		87	2.65		163	4.97		99	3.02		384	11.72		1256	38.33		3277	93.60		224	6.40		3501	4.27		1587	48.43		1690	51.57				
Hackham South	453	30.10		26	1.73		75	4.98		46	3.06		173	11.50		732	48.64		1505	92.79		117	7.21		1622	1.98		589	39.14		916	60.86
Hallett Cove	1275	45.44		26	0.93		94	3.35		71	2.53		314	11.19		1026	36.56		2806	94.73		156	5.27		2962	3.61		1493	53.21		1313	46.79
Happy Valley (Kingston)	674	50.45		11	0.82		30	2.25		54	4.04		192	14.37		375	28.07		1336	95.57		62	4.43		1398	1.70		800	59.88		536	40.12
Karrara	1597	46.06		26	0.75		114	3.29		88	2.54		351	10.12		1291	37.24		3467	95.64		158	4.36		3625	4.42		1865	53.79		1602	46.21
Lonsdale	245	28.10		15	1.72		76	8.72		22	2.52		84	9.63		430	49.31		872	94.99		46	5.01		918	1.12		340	38.99		532	61.01
Maslin Beach	166	30.91		9	1.68		35	6.52		42	7.82		69	12.85		216	40.22		537	95.04		28	4.96		565	0.69		216	40.22		321	59.78
