House of Representatives - 2001 Election: South Australia																																
First Preference Votes and TCP																																
By Candidate by Polling Place																																

Makin (88248)																																
	KOWALD			POSTA			REEVES			# DRAPER			WOODMAN			FORMAL			INFORMAL			TOTAL										
	Rod			Christine			Allon			Trish			Julie												Two Candidate Preferred							
	HAN			DEM			GRN			LP			ALP												# DRAPER LP			 WOODMAN ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Adelaide (Makin)	5	3.65		25	18.25		5	3.65		65	47.45		37	27.01		137	91.95		12	8.05		149	0.18		80	58.39		57	41.61			
Banksia Park	103	4.66		237	10.72		60	2.71		1124	50.86		686	31.04		2210	95.14		113	4.86		2323	2.74		1301	58.87		909	41.13			
Enfield North (Makin)	40	6.86		45	7.72		14	2.40		219	37.56		265	45.45		583	94.03		37	5.97		620	0.73		258	44.25		325	55.75			
Fairview Park	68	3.83		202	11.39		37	2.09		1012	57.05		455	25.65		1774	95.89		76	4.11		1850	2.18		1155	65.11		619	34.89			
Golden Grove	34	7.71		34	7.71		4	0.91		257	58.28		112	25.40		441	96.08		18	3.92		459	0.54		291	65.99		150	34.01			
Golden Grove Central	70	2.93		242	10.14		32	1.34		1190	49.87		852	35.71		2386	94.87		129	5.13		2515	2.96		1364	57.17		1022	42.83			
Golden Grove East	60	3.16		172	9.05		37	1.95		1002	52.74		629	33.11		1900	96.59		67	3.41		1967	2.32		1137	59.84		763	40.16			
Greenwith	128	3.06		427	10.22		65	1.56		2160	51.70		1398	33.46		4178	95.41		201	4.59		4379	5.16		2449	58.62		1729	41.38
Holden Hill North	47	3.40		129	9.32		31	2.24		637	46.03		540	39.02		1384	94.21		85	5.79		1469	1.73		730	52.75		654	47.25
Hope Valley	50	4.11		135	11.09		31	2.55		555	45.60		446	36.65		1217	95.08		63	4.92		1280	1.51		656	53.90		561	46.10
Ingle Farm	223	5.81		385	10.03		99	2.58		1380	35.97		1750	45.61		3837	93.70		258	6.30		4095	4.82		1679	43.76		2158	56.24
