House of Representatives - 2001 Election: South Australia																																						
First Preference Votes and TCP 																																						
By Candidate by Polling Place																																						

Mayo (86319)																																						
	MCLAREN			SPRAGG			# DOWNER			CLARK			THOMAS			COOMBE			BRENNAN			FORMAL			INFORMAL			TOTAL										
	John			Bill			Alexander			Dave			Mike			Howie F			Delia												Two Candidate Preferred							
	DEM			IND			LP			GRN			HAN			IND			ALP												# DOWNER LP			 BRENNAN ALP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Aberfoyle Park	583	17.03		106	3.10		1648	48.14		120	3.51		98	2.86		5	0.15		863	25.21		3423	93.55		236	6.45		3659	4.42		2044	59.71		1379	40.29			
Aberfoyle Park North (Mayo)	353	16.91		38	1.82		1134	54.31		52	2.49		34	1.63		6	0.29		471	22.56		2088	95.47		99	4.53		2187	2.64		1331	63.75		757	36.25			
Aberfoyle Park South	170	18.56		29	3.17		452	49.34		24	2.62		33	3.60		7	0.76		201	21.94		916	95.82		40	4.18		956	1.16		557	60.81		359	39.19			
Adelaide (Mayo)	25	23.81		3	2.86		45	42.86		4	3.81		1	0.95		1	0.95		26	24.76		105	96.33		4	3.67		109	0.13		58	55.24		47	44.76			
Aldgate	326	16.83		79	4.08		934	48.22		206	10.64		38	1.96		3	0.15		351	18.12		1937	97.04		59	2.96		1996	2.41		1107	57.15		830	42.85			
Athelstone	537	14.64		126	3.44		1813	49.44		107	2.92		85	2.32		14	0.38		985	26.86		3667	93.09		272	6.91		3939	4.76		2182	59.50		1485	40.50			
Athelstone West	416	12.98		75	2.34		1571	49.00		86	2.68		59	1.84		13	0.41		986	30.75		3206	90.26		346	9.74		3552	4.29		1820	56.77		1386	43.23			
Balhannah	195	13.84		50	3.55		835	59.26		55	3.90		52	3.69		4	0.28		218	15.47		1409	95.66		64	4.34		1473	1.78		981	69.62		428	30.38
Basket Range	23	17.97		9	7.03		64	50.00		11	8.59		4	3.13		0	0.00		17	13.28		128	97.71		3	2.29		131	0.16		74	57.81		54	42.19
Bridgewater	290	17.98		52	3.22		810	50.22		138	8.56		32	1.98		5	0.31		286	17.73		1613	95.78		71	4.22		1684	2.04		965	59.83		648	40.17
Brukunga	24	13.48		4	2.25		86	48.31		7	3.93		16	8.99		3	1.69		38	21.35		178	92.23		15	7.77		193	0.23		110	61.80		68	38.20
Callington	41	14.44		7	2.46		145	51.06		13	4.58		16	5.63		3	1.06		59	20.77		284	94.04		18	5.96		302	0.36		183	64.44		101	35.56
Charleston	26	10.92		3	1.26		158	66.39		2	0.84		21	8.82		0	0.00		28	11.76		238	93.70		16	6.30		254	0.31		179	75.21		59	24.79
Cherry Gardens	85	15.89		6	1.12		326	60.93		27	5.05		19	3.55		2	0.37		70	13.08		535	94.02		34	5.98		569	0.69		384	71.78		151	28.22
Clarendon	67	14.99		7	1.57		244	54.59		38	8.50		7	1.57		0	0.00		84	18.79		447	96.13		18	3.87		465	0.56		294	65.77		153	34.23
Coromandel Valley (Mayo)	232	20.19		16	1.39		640	55.70		61	5.31		15	1.31		0	0.00		185	16.10		1149	95.59		53	4.41		1202	1.45		764	66.49		385	33.51
