House of Representatives - 2001 Election: South Australia																																			
First Preference Votes and TCP 																																			
By Candidate by Polling Place																																			

Port Adelaide (86297)																																			
	PHILLIPS			BAWDEN			NOONE			# SAWFORD			PERTH			KRIEG			FORMAL			INFORMAL			TOTAL										
	Andrew			Matilda			Brian			Rod			Michael			Josh												Two Candidate Preferred							
	HAN			DEM			GRN			ALP						LP												# SAWFORD ALP			 KRIEG LP				
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%			
Adelaide (Port Adelaide)	3	2.78		23	21.30		15	13.89		38	35.19		0	0.00		29	26.85		108	94.74		6	5.26		114	0.14		65	60.19		43	39.81			
Albert Park	34	3.74		96	10.55		37	4.07		435	47.80		7	0.77		301	33.08		910	91.92		80	8.08		990	1.21		550	60.44		360	39.56			
Allenby Gardens	49	4.00		126	10.28		85	6.93		630	51.39		12	0.98		324	26.43		1226	93.09		91	6.91		1317	1.61		838	68.35		388	31.65			
Beverley	42	7.29		57	9.90		20	3.47		324	56.25		3	0.52		130	22.57		576	91.00		57	9.00		633	0.77		412	71.53		164	28.47			
Birkenhead	92	4.77		229	11.88		135	7.01		1102	57.19		29	1.50		340	17.64		1927	93.91		125	6.09		2052	2.50		1472	76.39		455	23.61			
Cheltenham	67	4.83		184	13.28		72	5.19		640	46.18		12	0.87		411	29.65		1386	93.15		102	6.85		1488	1.81		893	64.43		493	35.57			
Croydon (Port Adelaide)	36	3.98		98	10.83		78	8.62		472	52.15		5	0.55		216	23.87		905	93.20		66	6.80		971	1.18		642	70.94		263	29.06			
Croydon Park West (Port Adelaide)	25	7.53		30	9.04		12	3.61		191	57.53		3	0.90		71	21.39		332	88.06		45	11.94		377	0.46		240	72.29		92	27.71
Ethelton	39	4.29		74	8.14		57	6.27		472	51.93		12	1.32		255	28.05		909	93.90		59	6.10		968	1.18		608	66.89		301	33.11
Ferryden Park	58	6.09		89	9.34		27	2.83		615	64.53		5	0.52		159	16.68		953	89.48		112	10.52		1065	1.30		759	79.64		194	20.36
Findon	90	5.51		161	9.86		41	2.51		857	52.48		5	0.31		479	29.33		1633	88.94		203	11.06		1836	2.24		1061	64.97		572	35.03
Findon North	51	4.87		130	12.40		31	2.96		515	49.14		7	0.67		314	29.96		1048	91.85		93	8.15		1141	1.39		649	61.93		399	38.07
Grange	94	2.90		366	11.30		148	4.57		1222	37.72		23	0.71		1387	42.81		3240	95.41		156	4.59		3396	4.14		1645	50.77		1595	49.23
Kilkenny	46	4.56		115	11.40		60	5.95		532	52.73		12	1.19		244	24.18		1009	93.08		75	6.92		1084	1.32		681	67.49		328	32.51
Largs Bay	180	5.63		314	9.82		144	4.50		1665	52.08		56	1.75		838	26.21		3197	95.55		149	4.45		3346	4.08		2140	66.94		1057	33.06
Largs Bay Central	32	3.88		75	9.10		57	6.92		388	47.09		15	1.82		257	31.19		824	95.26		41	4.74		865	1.05		511	62.01		313	37.99
