House of Representatives - 2001 Election: South Australia																																	
First Preference Votes and TCP																																	
By Candidate by Polling Place																																	

Wakefield (86378)																																	
	ROWBOTTOM			# ANDREW			RESEIGH			DWYER			KELLY			FORMAL			INFORMAL			TOTAL											
	Tim			Neil			Marcus			David			Pam												Two Candidate Preferred								
	ALP			LP			DEM			HAN			GRN												 ROWBOTTOM ALP			# ANDREW LP					
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%				
Alford	17	13.49		92	73.02		2	1.59		14	11.11		1	0.79		126	95.45		6	4.55		132	0.16		27	21.43		99	78.57				
Angaston	358	22.95		905	58.01		150	9.62		83	5.32		64	4.10		1560	95.35		76	4.65		1636	1.97		523	33.53		1037	66.47				
Ardrossan	303	28.00		599	55.36		69	6.38		90	8.32		21	1.94		1082	94.42		64	5.58		1146	1.38		412	38.08		670	61.92				
Arthurton	12	7.14		135	80.36		2	1.19		14	8.33		5	2.98		168	96.00		7	4.00		175	0.21		25	14.88		143	85.12				
Balaklava	236	17.30		928	68.04		62	4.55		97	7.11		41	3.01		1364	95.38		66	4.62		1430	1.72		337	24.71		1027	75.29				
Barmera	495	24.12		1196	58.28		86	4.19		190	9.26		85	4.14		2052	93.44		144	6.56		2196	2.64		691	33.67		1361	66.33				
Berri	583	23.00		1504	59.33		174	6.86		184	7.26		90	3.55		2535	93.27		183	6.73		2718	3.27		846	33.37		1689	66.63				
Birdwood	161	21.88		402	54.62		89	12.09		55	7.47		29	3.94		736	95.58		34	4.42		770	0.93		264	35.87		472	64.13
Blanchetown	62	25.94		143	59.83		15	6.28		18	7.53		1	0.42		239	91.57		22	8.43		261	0.31		80	33.47		159	66.53
Bute	51	15.64		228	69.94		12	3.68		22	6.75		13	3.99		326	95.32		16	4.68		342	0.41		80	24.54		246	75.46
Cadell	45	19.82		145	63.88		15	6.61		17	7.49		5	2.20		227	96.60		8	3.40		235	0.28		63	27.75		164	72.25
