Senate - 2001 Election: South Australia 																																																																																																																																																																																																																																																											
First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Adelaide (86538)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Adelaide (Adelaide)		87	26.69		8	2.45		2	0.61		2	0.61		99	30.37		21	6.44		9	2.76		0	0.00		30	9.20		7	2.15		1	0.31		0	0.00		8	2.45		1	0.31		0	0.00		0	0.00		1	0.31		98	30.06		6	1.84		0	0.00		0	0.00		0	0.00		104	31.90		0	0.00		1	0.31		0	0.00		1	0.31		0	0.00		0	0.00		0	0.00		0	0.00		1	0.31		0	0.00		0	0.00		1	0.31		60	18.40		21	6.44		1	0.31		0	0.00		0	0.00		82	25.15		0	0.00		0	0.00		0	0.00		0	0.00		326	96.45		12	3.55		338	0.41																																																																																																											
Adelaide East		190	20.83		18	1.97		3	0.33		11	1.21		222	24.34		51	5.59		28	3.07		1	0.11		80	8.77		8	0.88		2	0.22		1	0.11		11	1.21		3	0.33		3	0.33		1	0.11		7	0.77		379	41.56		26	2.85		0	0.00		2	0.22		2	0.22		409	44.85		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		1	0.11		1	0.11		3	0.33		118	12.94		59	6.47		1	0.11		1	0.11		1	0.11		180	19.74		0	0.00		0	0.00		0	0.00		0	0.00		912	98.92		10	1.08		922	1.12																																																																																																											
Adelaide Hospital		80	22.16		8	2.22		1	0.28		4	1.11		93	25.76		15	4.16		16	4.43		0	0.00		31	8.59		6	1.66		1	0.28		0	0.00		7	1.94		2	0.55		1	0.28		0	0.00		3	0.83		135	37.40		8	2.22		0	0.00		0	0.00		0	0.00		143	39.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.28		0	0.00		1	0.28		62	17.17		19	5.26		0	0.00		1	0.28		1	0.28		83	22.99		0	0.00		0	0.00		0	0.00		0	0.00		361	97.83		8	2.17		369	0.45																																																																																																											
Adelaide South		431	26.75		37	2.30		9	0.56		21	1.30		498	30.91		88	5.46		71	4.41		2	0.12		161	9.99		19	1.18		4	0.25		0	0.00		23	1.43		4	0.25		13	0.81		1	0.06		18	1.12		549	34.08		30	1.86		3	0.19		4	0.25		2	0.12		588	36.50		2	0.12		1	0.06		0	0.00		3	0.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		1	0.06		222	13.78		93	5.77		0	0.00		3	0.19		0	0.00		318	19.74		1	0.06		0	0.00		0	0.00		1	0.06		1611	96.76		54	3.24		1665	2.02																																																																																																											
Adelaide West		130	33.42		12	3.08		0	0.00		6	1.54		148	38.05		15	3.86		22	5.66		1	0.26		38	9.77		5	1.29		3	0.77		0	0.00		8	2.06		2	0.51		3	0.77		0	0.00		5	1.29		102	26.22		7	1.80		0	0.00		0	0.00		0	0.00		109	28.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.51		0	0.00		0	0.00		2	0.51		56	14.40		21	5.40		1	0.26		0	0.00		1	0.26		79	20.31		0	0.00		0	0.00		0	0.00		0	0.00		389	97.01		12	2.99		401	0.49																																																																																																											
Black Forest East		560	27.57		32	1.58		5	0.25		20	0.98		617	30.38		63	3.10		50	2.46		1	0.05		114	5.61		26	1.28		6	0.30		0	0.00		32	1.58		4	0.20		3	0.15		1	0.05		8	0.39		832	40.97		39	1.92		1	0.05		2	0.10		2	0.10		876	43.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		2	0.10		280	13.79		96	4.73		2	0.10		1	0.05		2	0.10		381	18.76		1	0.05		0	0.00		0	0.00		1	0.05		2031	97.55		51	2.45		2082	2.53																																																																																																											
Blair Athol North		730	52.14		31	2.21		2	0.14		10	0.71		773	55.21		20	1.43		6	0.43		1	0.07		27	1.93		42	3.00		8	0.57		0	0.00		50	3.57		1	0.07		0	0.00		0	0.00		1	0.07		391	27.93		13	0.93		1	0.07		0	0.00		1	0.07		406	29.00		2	0.14		0	0.00		0	0.00		2	0.14		0	0.00		0	0.00		0	0.00		0	0.00		3	0.21		0	0.00		0	0.00		3	0.21		118	8.43		18	1.29		1	0.07		1	0.07		0	0.00		138	9.86		0	0.00		0	0.00		0	0.00		0	0.00		1400	94.59		80	5.41		1480	1.80																																																																																																											
Broadview		532	27.45		27	1.39		4	0.21		18	0.93		581	29.98		41	2.12		15	0.77		0	0.00		56	2.89		21	1.08		10	0.52		1	0.05		32	1.65		0	0.00		2	0.10		0	0.00		2	0.10		945	48.76		31	1.60		1	0.05		1	0.05		2	0.10		980	50.57		2	0.10		0	0.00		0	0.00		2	0.10		0	0.00		0	0.00		2	0.10		2	0.10		1	0.05		0	0.00		0	0.00		1	0.05		232	11.97		45	2.32		1	0.05		1	0.05		0	0.00		279	14.40		3	0.15		0	0.00		0	0.00		3	0.15		1938	96.71		66	3.29		2004	2.43																																																																																																									
Brompton		510	37.86		29	2.15		2	0.15		8	0.59		549	40.76		77	5.72		58	4.31		1	0.07		136	10.10		34	2.52		1	0.07		0	0.00		35	2.60		0	0.00		0	0.00		1	0.07		1	0.07		334	24.80		14	1.04		0	0.00		3	0.22		1	0.07		352	26.13		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		2	0.15		2	0.15		0	0.00		4	0.30		190	14.11		78	5.79		1	0.07		0	0.00		0	0.00		269	19.97		0	0.00		0	0.00		0	0.00		0	0.00		1347	97.33		37	2.67		1384	1.68																																																																																																									
Clarence Park		257	22.74		16	1.42		3	0.27		12	1.06		288	25.49		36	3.19		25	2.21		1	0.09		62	5.49		20	1.77		9	0.80		0	0.00		29	2.57		1	0.09		1	0.09		0	0.00		2	0.18		537	47.52		11	0.97		0	0.00		0	0.00		2	0.18		550	48.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.18		2	0.18		0	0.00		4	0.35		136	12.04		51	4.51		1	0.09		0	0.00		1	0.09		189	16.73		3	0.27		0	0.00		3	0.27		6	0.53		1130	97.08		34	2.92		1164	1.41																																																																																																									
