Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Barker (87836)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Allendale East		64	21.99		1	0.34		0	0.00		0	0.00		65	22.34		7	2.41		2	0.69		0	0.00		9	3.09		23	7.90		1	0.34		0	0.00		24	8.25		2	0.69		0	0.00		0	0.00		2	0.69		168	57.73		3	1.03		0	0.00		0	0.00		0	0.00		171	58.76		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.34		0	0.00		0	0.00		1	0.34		16	5.50		3	1.03		0	0.00		0	0.00		0	0.00		19	6.53		0	0.00		0	0.00		0	0.00		0	0.00		291	97.00		9	3.00		300	0.35																																																																																																											
American River		35	19.34		2	1.10		0	0.00		1	0.55		38	20.99		1	0.55		3	1.66		0	0.00		4	2.21		21	11.60		3	1.66		0	0.00		24	13.26		0	0.00		0	0.00		0	0.00		0	0.00		88	48.62		0	0.00		0	0.00		0	0.00		0	0.00		88	48.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	10.50		7	3.87		0	0.00		0	0.00		0	0.00		26	14.36		1	0.55		0	0.00		0	0.00		1	0.55		181	96.28		7	3.72		188	0.22																																																																																																											
Ashbourne		24	18.32		3	2.29		0	0.00		0	0.00		27	20.61		7	5.34		1	0.76		0	0.00		8	6.11		8	6.11		3	2.29		0	0.00		11	8.40		0	0.00		0	0.00		0	0.00		0	0.00		61	46.56		6	4.58		0	0.00		1	0.76		0	0.00		68	51.91		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		17	12.98		0	0.00		0	0.00		0	0.00		0	0.00		17	12.98		0	0.00		0	0.00		0	0.00		0	0.00		131	98.50		2	1.50		133	0.16																																																																																																											
Beachport		100	21.74		5	1.09		0	0.00		1	0.22		106	23.04		19	4.13		0	0.00		0	0.00		19	4.13		40	8.70		2	0.43		0	0.00		42	9.13		0	0.00		0	0.00		0	0.00		0	0.00		264	57.39		7	1.52		0	0.00		1	0.22		0	0.00		272	59.13		0	0.00		1	0.22		0	0.00		1	0.22		0	0.00		0	0.00		0	0.00		0	0.00		2	0.43		1	0.22		0	0.00		3	0.65		14	3.04		3	0.65		0	0.00		0	0.00		0	0.00		17	3.70		0	0.00		0	0.00		0	0.00		0	0.00		460	98.29		8	1.71		468	0.55																																																																																																											
Bordertown		292	15.92		10	0.55		0	0.00		8	0.44		310	16.90		31	1.69		2	0.11		0	0.00		33	1.80		72	3.93		16	0.87		0	0.00		88	4.80		4	0.22		0	0.00		0	0.00		4	0.22		1245	67.88		46	2.51		3	0.16		6	0.33		2	0.11		1302	70.99		0	0.00		1	0.05		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		2	0.11		0	0.00		0	0.00		2	0.11		78	4.25		15	0.82		0	0.00		0	0.00		1	0.05		94	5.13		0	0.00		0	0.00		0	0.00		0	0.00		1834	96.78		61	3.22		1895	2.24																																																																																																											
Cambrai		46	19.83		2	0.86		1	0.43		4	1.72		53	22.84		2	0.86		4	1.72		0	0.00		6	2.59		27	11.64		6	2.59		0	0.00		33	14.22		0	0.00		0	0.00		0	0.00		0	0.00		117	50.43		6	2.59		0	0.00		0	0.00		0	0.00		123	53.02		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		13	5.60		4	1.72		0	0.00		0	0.00		0	0.00		17	7.33		0	0.00		0	0.00		0	0.00		0	0.00		232	97.07		7	2.93		239	0.28																																																																																																											
Carpenter Rocks		46	23.12		0	0.00		0	0.00		1	0.50		47	23.62		6	3.02		0	0.00		0	0.00		6	3.02		44	22.11		0	0.00		0	0.00		44	22.11		0	0.00		0	0.00		0	0.00		0	0.00		94	47.24		2	1.01		0	0.00		0	0.00		0	0.00		96	48.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.50		0	0.00		0	0.00		1	0.50		4	2.01		0	0.00		0	0.00		0	0.00		0	0.00		4	2.01		1	0.50		0	0.00		0	0.00		1	0.50		199	95.22		10	4.78		209	0.25																																																																																																											
Compton		56	15.95		2	0.57		0	0.00		0	0.00		58	16.52		2	0.57		0	0.00		0	0.00		2	0.57		33	9.40		4	1.14		0	0.00		37	10.54		0	0.00		0	0.00		0	0.00		0	0.00		220	62.68		3	0.85		0	0.00		0	0.00		0	0.00		223	63.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.28		0	0.00		0	0.00		1	0.28		24	6.84		5	1.42		0	0.00		0	0.00		1	0.28		30	8.55		0	0.00		0	0.00		0	0.00		0	0.00		351	97.77		8	2.23		359	0.42																																																																																																									
Coomandook		10	5.71		0	0.00		0	0.00		0	0.00		10	5.71		2	1.14		0	0.00		0	0.00		2	1.14		7	4.00		5	2.86		0	0.00		12	6.86		0	0.00		0	0.00		0	0.00		0	0.00		127	72.57		8	4.57		3	1.71		0	0.00		1	0.57		139	79.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		11	6.29		0	0.00		1	0.57		0	0.00		0	0.00		12	6.86		0	0.00		0	0.00		0	0.00		0	0.00		175	98.87		2	1.13		177	0.21																																																																																																									
Coonalpyn		33	11.38		0	0.00		0	0.00		2	0.69		35	12.07		1	0.34		0	0.00		0	0.00		1	0.34		17	5.86		2	0.69		0	0.00		19	6.55		1	0.34		0	0.00		0	0.00		1	0.34		213	73.45		8	2.76		1	0.34		1	0.34		1	0.34		224	77.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		7	2.41		3	1.03		0	0.00		0	0.00		0	0.00		10	3.45		0	0.00		0	0.00		0	0.00		0	0.00		290	97.97		6	2.03		296	0.35																																																																																																									
