Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																															
First Preference Votes by Candidate 																																																																																																																																																																																																																																																															
By Polling Place																																																																																																																																																																																																																																																															

Boothby (89617)																																																																																																																																																																																																																																																															
		 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																																		
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																																
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																												
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																															
Aberfoyle Park North (Boothby)		124	22.59		4	0.73		0	0.00		4	0.73		132	24.04		9	1.64		5	0.91		1	0.18		15	2.73		23	4.19		5	0.91		0	0.00		28	5.10		2	0.36		0	0.00		0	0.00		2	0.36		261	47.54		9	1.64		0	0.00		0	0.00		0	0.00		270	49.18		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.18		0	0.00		0	0.00		1	0.18		85	15.48		15	2.73		1	0.18		0	0.00		0	0.00		101	18.40		0	0.00		0	0.00		0	0.00		0	0.00		549	97.34		15	2.66		564	0.65																																																																																																															
Adelaide (Boothby)		33	24.81		2	1.50		0	0.00		0	0.00		35	26.32		4	3.01		2	1.50		0	0.00		6	4.51		1	0.75		0	0.00		0	0.00		1	0.75		0	0.00		0	0.00		0	0.00		0	0.00		45	33.83		3	2.26		0	0.00		0	0.00		0	0.00		48	36.09		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		36	27.07		4	3.01		1	0.75		1	0.75		1	0.75		43	32.33		0	0.00		0	0.00		0	0.00		0	0.00		133	97.79		3	2.21		136	0.16																																																																																																															
Bedford Park		195	26.82		10	1.38		2	0.28		4	0.55		211	29.02		21	2.89		13	1.79		1	0.14		35	4.81		21	2.89		6	0.83		0	0.00		27	3.71		3	0.41		0	0.00		0	0.00		3	0.41		285	39.20		11	1.51		0	0.00		1	0.14		0	0.00		297	40.85		1	0.14		0	0.00		0	0.00		1	0.14		0	0.00		1	0.14		0	0.00		1	0.14		0	0.00		0	0.00		0	0.00		0	0.00		111	15.27		41	5.64		0	0.00		0	0.00		0	0.00		152	20.91		0	0.00		0	0.00		0	0.00		0	0.00		727	96.80		24	3.20		751	0.87																																																																																																															
Belair		677	16.73		74	1.83		6	0.15		49	1.21		806	19.92		149	3.68		97	2.40		8	0.20		254	6.28		63	1.56		19	0.47		1	0.02		83	2.05		3	0.07		1	0.02		0	0.00		4	0.10		1788	44.18		95	2.35		2	0.05		7	0.17		7	0.17		1899	46.92		1	0.02		0	0.00		0	0.00		1	0.02		0	0.00		0	0.00		0	0.00		0	0.00		7	0.17		4	0.10		0	0.00		11	0.27		699	17.27		274	6.77		8	0.20		1	0.02		4	0.10		986	24.36		2	0.05		1	0.02		0	0.00		3	0.07		4047	97.59		100	2.41		4147	4.81																																																																																																															
Bellevue Heights		373	19.61		27	1.42		1	0.05		9	0.47		410	21.56		47	2.47		20	1.05		2	0.11		69	3.63		38	2.00		7	0.37		3	0.16		48	2.52		1	0.05		1	0.05		0	0.00		2	0.11		938	49.32		53	2.79		1	0.05		7	0.37		0	0.00		999	52.52		2	0.11		0	0.00		0	0.00		2	0.11		0	0.00		1	0.05		1	0.05		2	0.11		2	0.11		0	0.00		0	0.00		2	0.11		284	14.93		82	4.31		1	0.05		0	0.00		0	0.00		367	19.30		1	0.05		0	0.00		0	0.00		1	0.05		1902	97.29		53	2.71		1955	2.27																																																																																																															
Blackwood		372	15.90		39	1.67		3	0.13		18	0.77		432	18.47		65	2.78		55	2.35		4	0.17		124	5.30		41	1.75		10	0.43		3	0.13		54	2.31		0	0.00		1	0.04		1	0.04		2	0.09		1099	46.99		66	2.82		2	0.09		6	0.26		2	0.09		1175	50.24		1	0.04		3	0.13		1	0.04		5	0.21		0	0.00		1	0.04		0	0.00		1	0.04		0	0.00		3	0.13		0	0.00		3	0.13		397	16.97		133	5.69		4	0.17		1	0.04		1	0.04		536	22.92		3	0.13		1	0.04		3	0.13		7	0.30		2339	97.99		48	2.01		2387	2.77																																																																																																															
Blackwood Central		239	17.41		32	2.33		4	0.29		7	0.51		282	20.54		46	3.35		36	2.62		1	0.07		83	6.05		23	1.68		7	0.51		0	0.00		30	2.18		0	0.00		1	0.07		0	0.00		1	0.07		607	44.21		30	2.18		1	0.07		2	0.15		0	0.00		640	46.61		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		1	0.07		0	0.00		0	0.00		1	0.07		235	17.12		96	6.99		2	0.15		0	0.00		0	0.00		333	24.25		1	0.07		1	0.07		0	0.00		2	0.15		1373	97.58		34	2.42		1407	1.63																																																																																																															
Brighton		712	21.48		38	1.15		9	0.27		25	0.75		784	23.65		98	2.96		39	1.18		4	0.12		141	4.25		84	2.53		19	0.57		1	0.03		104	3.14		1	0.03		2	0.06		1	0.03		4	0.12		1693	51.07		51	1.54		0	0.00		12	0.36		1	0.03		1757	53.00		0	0.00		0	0.00		2	0.06		2	0.06		0	0.00		0	0.00		1	0.03		1	0.03		1	0.03		0	0.00		1	0.03		2	0.06		397	11.98		112	3.38		3	0.09		1	0.03		2	0.06		515	15.54		3	0.09		1	0.03		1	0.03		5	0.15		3315	97.19		96	2.81		3411	3.95																																																																																																									
Brighton South		263	25.56		11	1.07		0	0.00		10	0.97		284	27.60		22	2.14		21	2.04		0	0.00		43	4.18		31	3.01		10	0.97		0	0.00		41	3.98		0	0.00		0	0.00		0	0.00		0	0.00		490	47.62		23	2.24		0	0.00		3	0.29		0	0.00		516	50.15		0	0.00		1	0.10		0	0.00		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		2	0.19		0	0.00		0	0.00		2	0.19		110	10.69		29	2.82		1	0.10		1	0.10		0	0.00		141	13.70		1	0.10		0	0.00		0	0.00		1	0.10		1029	97.08		31	2.92		1060	1.23																																																																																																									
Clapham		325	16.41		36	1.82		5	0.25		21	1.06		387	19.55		62	3.13		30	1.52		2	0.10		94	4.75		27	1.36		9	0.45		1	0.05		37	1.87		2	0.10		1	0.05		0	0.00		3	0.15		971	49.04		61	3.08		5	0.25		13	0.66		2	0.10		1052	53.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.10		2	0.10		0	0.00		4	0.20		296	14.95		95	4.80		3	0.15		2	0.10		2	0.10		398	20.10		3	0.15		0	0.00		2	0.10		5	0.25		1980	96.68		68	3.32		2048	2.37																																																																																																									
Clarence Gardens		219	25.58		7	0.82		0	0.00		3	0.35		229	26.75		20	2.34		13	1.52		0	0.00		33	3.86		15	1.75		3	0.35		0	0.00		18	2.10		0	0.00		1	0.12		0	0.00		1	0.12		406	47.43		7	0.82		0	0.00		0	0.00		0	0.00		413	48.25		0	0.00		0	0.00		0	0.00		0	0.00		2	0.23		0	0.00		0	0.00		2	0.23		0	0.00		0	0.00		0	0.00		0	0.00		128	14.95		31	3.62		0	0.00		0	0.00		0	0.00		159	18.57		0	0.00		1	0.12		0	0.00		1	0.12		856	97.38		23	2.62		879	1.02																																																																																																									
Colonel Light Gardens		439	23.85		31	1.68		4	0.22		13	0.71		487	26.45		24	1.30		19	1.03		1	0.05		44	2.39		29	1.58		18	0.98		1	0.05		48	2.61		0	0.00		0	0.00		0	0.00		0	0.00		784	42.59		49	2.66		1	0.05		3	0.16		1	0.05		838	45.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		319	17.33		96	5.21		2	0.11		0	0.00		1	0.05		418	22.71		1	0.05		3	0.16		1	0.05		5	0.27		1841	97.30		51	2.70		1892	2.19																																																																																																									
Coromandel Valley (Boothby)		115	17.86		9	1.40		0	0.00		5	0.78		129	20.03		19	2.95		9	1.40		0	0.00		28	4.35		4	0.62		1	0.16		0	0.00		5	0.78		0	0.00		0	0.00		0	0.00		0	0.00		279	43.32		12	1.86		2	0.31		2	0.31		0	0.00		295	45.81		0	0.00		0	0.00		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		1	0.16		0	0.00		0	0.00		0	0.00		0	0.00		130	20.19		52	8.07		0	0.00		0	0.00		0	0.00		182	28.26		4	0.62		0	0.00		0	0.00		4	0.62		644	97.72		15	2.28		659	0.76																																																																																																									
Darlington		616	32.92		23	1.23		3	0.16		17	0.91		659	35.22		51	2.73		13	0.69		0	0.00		64	3.42		69	3.69		15	0.80		2	0.11		86	4.60		3	0.16		1	0.05		0	0.00		4	0.21		751	40.14		25	1.34		2	0.11		2	0.11		2	0.11		782	41.80		1	0.05		1	0.05		0	0.00		2	0.11		3	0.16		0	0.00		0	0.00		3	0.16		2	0.11		0	0.00		0	0.00		2	0.11		219	11.70		45	2.41		1	0.05		1	0.05		1	0.05		267	14.27		1	0.05		0	0.00		1	0.05		2	0.11		1871	95.85		81	4.15		1952	2.26																																																																																																									
Daw Park		508	28.00		34	1.87		4	0.22		22	1.21		568	31.31		43	2.37		21	1.16		3	0.17		67	3.69		36	1.98		10	0.55		2	0.11		48	2.65		4	0.22		0	0.00		0	0.00		4	0.22		749	41.29		40	2.21		2	0.11		1	0.06		2	0.11		794	43.77		0	0.00		1	0.06		0	0.00		1	0.06		0	0.00		0	0.00		1	0.06		1	0.06		2	0.11		1	0.06		0	0.00		3	0.17		246	13.56		79	4.36		0	0.00		0	0.00		1	0.06		326	17.97		2	0.11		0	0.00		0	0.00		2	0.11		1814	97.58		45	2.42		1859	2.15																																																																																																									
Dover Gardens		606	32.97		32	1.74		1	0.05		8	0.44		647	35.20		48	2.61		20	1.09		2	0.11		70	3.81		69	3.75		10	0.54		0	0.00		79	4.30		0	0.00		2	0.11		0	0.00		2	0.11		687	37.38		26	1.41		2	0.11		1	0.05		2	0.11		718	39.06		1	0.05		1	0.05		0	0.00		2	0.11		0	0.00		0	0.00		0	0.00		0	0.00		5	0.27		0	0.00		0	0.00		5	0.27		265	14.42		47	2.56		2	0.11		0	0.00		0	0.00		314	17.08		1	0.05		0	0.00		0	0.00		1	0.05		1838	96.48		67	3.52		1905	2.21																																																																																																									
Eden Hills		291	21.77		34	2.54		2	0.15		14	1.05		341	25.50		54	4.04		24	1.80		2	0.15		80	5.98		25	1.87		9	0.67		0	0.00		34	2.54		1	0.07		0	0.00		0	0.00		1	0.07		524	39.19		23	1.72		1	0.07		2	0.15		1	0.07		551	41.21		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		1	0.07		2	0.15		2	0.15		0	0.00		0	0.00		2	0.15		241	18.03		82	6.13		1	0.07		0	0.00		1	0.07		325	24.31		1	0.07		0	0.00		0	0.00		1	0.07		1337	98.24		24	1.76		1361	1.58																																																																																																									
Flagstaff Hill (Boothby)		882	21.94		41	1.02		11	0.27		25	0.62		959	23.86		78	1.94		29	0.72		2	0.05		109	2.71		70	1.74		15	0.37		1	0.02		86	2.14		1	0.02		2	0.05		0	0.00		3	0.07		2090	51.99		70	1.74		0	0.00		3	0.07		2	0.05		2165	53.86		2	0.05		0	0.00		0	0.00		2	0.05		0	0.00		0	0.00		1	0.02		1	0.02		4	0.10		0	0.00		0	0.00		4	0.10		557	13.86		126	3.13		0	0.00		0	0.00		0	0.00		683	16.99		7	0.17		0	0.00		1	0.02		8	0.20		4020	97.83		89	2.17		4109	4.76																																																																																																									
Flagstaff Hill East		126	16.17		7	0.90		0	0.00		3	0.39		136	17.46		13	1.67		5	0.64		0	0.00		18	2.31		13	1.67		5	0.64		0	0.00		18	2.31		1	0.13		1	0.13		0	0.00		2	0.26		412	52.89		10	1.28		0	0.00		2	0.26		0	0.00		424	54.43		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		1	0.13		1	0.13		3	0.39		1	0.13		0	0.00		0	0.00		1	0.13		147	18.87		23	2.95		1	0.13		0	0.00		2	0.26		173	22.21		2	0.26		1	0.13		1	0.13		4	0.51		779	98.73		10	1.27		789	0.91																																																																																																									
Hawthorn		115	17.67		12	1.84		3	0.46		7	1.08		137	21.04		20	3.07		9	1.38		0	0.00		29	4.45		7	1.08		1	0.15		0	0.00		8	1.23		1	0.15		0	0.00		1	0.15		2	0.31		324	49.77		19	2.92		0	0.00		1	0.15		3	0.46		347	53.30		1	0.15		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		1	0.15		81	12.44		41	6.30		3	0.46		1	0.15		0	0.00		126	19.35		0	0.00		0	0.00		0	0.00		0	0.00		651	97.16		19	2.84		670	0.78																																																																																																									
Hawthorndene		292	18.08		27	1.67		7	0.43		8	0.50		334	20.68		46	2.85		32	1.98		0	0.00		78	4.83		39	2.41		14	0.87		1	0.06		54	3.34		2	0.12		4	0.25		0	0.00		6	0.37		666	41.24		42	2.60		0	0.00		3	0.19		1	0.06		712	44.09		1	0.06		2	0.12		0	0.00		3	0.19		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		311	19.26		112	6.93		4	0.25		0	0.00		0	0.00		427	26.44		1	0.06		0	0.00		0	0.00		1	0.06		1615	98.00		33	2.00		1648	1.91																																																																																																									
Hawthorn West		261	18.05		21	1.45		0	0.00		8	0.55		290	20.06		38	2.63		18	1.24		1	0.07		57	3.94		17	1.18		6	0.41		1	0.07		24	1.66		0	0.00		0	0.00		0	0.00		0	0.00		745	51.52		41	2.84		1	0.07		3	0.21		0	0.00		790	54.63		2	0.14		0	0.00		0	0.00		2	0.14		0	0.00		0	0.00		0	0.00		0	0.00		4	0.28		2	0.14		0	0.00		6	0.41		206	14.25		69	4.77		0	0.00		0	0.00		1	0.07		276	19.09		0	0.00		1	0.07		0	0.00		1	0.07		1446	97.37		39	2.63		1485	1.72																																																																																																									
Kingswood		289	19.75		46	3.14		0	0.00		7	0.48		342	23.38		54	3.69		20	1.37		1	0.07		75	5.13		20	1.37		5	0.34		0	0.00		25	1.71		0	0.00		0	0.00		0	0.00		0	0.00		679	46.41		41	2.80		0	0.00		5	0.34		2	0.14		727	49.69		1	0.07		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		2	0.14		0	0.00		1	0.07		3	0.21		214	14.63		72	4.92		2	0.14		1	0.07		1	0.07		290	19.82		0	0.00		0	0.00		0	0.00		0	0.00		1463	97.27		41	2.73		1504	1.74																																																																																																									
Marino		319	22.28		24	1.68		1	0.07		17	1.19		361	25.21		53	3.70		22	1.54		2	0.14		77	5.38		45	3.14		13	0.91		0	0.00		58	4.05		1	0.07		1	0.07		1	0.07		3	0.21		656	45.81		35	2.44		1	0.07		6	0.42		1	0.07		699	48.81		1	0.07		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		157	10.96		71	4.96		1	0.07		0	0.00		0	0.00		229	15.99		3	0.21		0	0.00		0	0.00		3	0.21		1432	97.15		42	2.85		1474	1.71																																																																																																									
Marion		326	28.85		15	1.33		3	0.27		7	0.62		351	31.06		23	2.04		8	0.71		0	0.00		31	2.74		36	3.19		7	0.62		0	0.00		43	3.81		2	0.18		0	0.00		0	0.00		2	0.18		496	43.89		22	1.95		0	0.00		1	0.09		0	0.00		519	45.93		1	0.09		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		1	0.09		4	0.35		0	0.00		0	0.00		4	0.35		145	12.83		32	2.83		1	0.09		0	0.00		0	0.00		178	15.75		0	0.00		0	0.00		0	0.00		0	0.00		1130	96.75		38	3.25		1168	1.35																																																																																																									
Melrose Park		701	32.82		27	1.26		2	0.09		13	0.61		743	34.78		55	2.57		14	0.66		0	0.00		69	3.23		63	2.95		10	0.47		1	0.05		74	3.46		0	0.00		0	0.00		0	0.00		0	0.00		880	41.20		20	0.94		1	0.05		1	0.05		4	0.19		906	42.42		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		1	0.05		8	0.37		1	0.05		0	0.00		9	0.42		271	12.69		61	2.86		1	0.05		0	0.00		0	0.00		333	15.59		1	0.05		0	0.00		0	0.00		1	0.05		2136	96.30		82	3.70		2218	2.57																																																																																																									
Mitcham		376	16.12		23	0.99		4	0.17		13	0.56		416	17.83		82	3.51		28	1.20		2	0.09		112	4.80		31	1.33		5	0.21		1	0.04		37	1.59		0	0.00		1	0.04		0	0.00		1	0.04		1254	53.75		62	2.66		0	0.00		6	0.26		8	0.34		1330	57.01		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		10	0.43		1	0.04		0	0.00		11	0.47		317	13.59		105	4.50		1	0.04		0	0.00		2	0.09		425	18.22		1	0.04		0	0.00		0	0.00		1	0.04		2333	97.05		71	2.95		2404	2.79																																																																																																									
Mitchell Park		788	36.74		19	0.89		4	0.19		11	0.51		822	38.32		33	1.54		14	0.65		4	0.19		51	2.38		67	3.12		15	0.70		0	0.00		82	3.82		4	0.19		1	0.05		0	0.00		5	0.23		754	35.15		24	1.12		3	0.14		0	0.00		0	0.00		781	36.41		1	0.05		0	0.00		1	0.05		2	0.09		1	0.05		0	0.00		0	0.00		1	0.05		7	0.33		0	0.00		0	0.00		7	0.33		323	15.06		66	3.08		0	0.00		1	0.05		0	0.00		390	18.18		2	0.09		0	0.00		2	0.09		4	0.19		2145	95.59		99	4.41		2244	2.60																																																																																																									
