Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Grey (85745)																																																																																																																																																																																																																																																											
		 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Andamooka		73	32.30		5	2.21		0	0.00		1	0.44		79	34.96		3	1.33		1	0.44		0	0.00		4	1.77		34	15.04		5	2.21		0	0.00		39	17.26		0	0.00		0	0.00		0	0.00		0	0.00		90	39.82		4	1.77		0	0.00		0	0.00		0	0.00		94	41.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.44		0	0.00		0	0.00		1	0.44		7	3.10		1	0.44		0	0.00		0	0.00		0	0.00		8	3.54		1	0.44		0	0.00		0	0.00		1	0.44		226	93.39		16	6.61		242	0.30																																																																																																											
Arno Bay		31	13.14		1	0.42		0	0.00		1	0.42		33	13.98		3	1.27		0	0.00		0	0.00		3	1.27		21	8.90		8	3.39		1	0.42		30	12.71		0	0.00		0	0.00		0	0.00		0	0.00		162	68.64		1	0.42		1	0.42		0	0.00		0	0.00		164	69.49		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	1.69		2	0.85		0	0.00		0	0.00		0	0.00		6	2.54		0	0.00		0	0.00		0	0.00		0	0.00		236	96.33		9	3.67		245	0.30																																																																																																											
Auburn		72	18.09		4	1.01		2	0.50		3	0.75		81	20.35		5	1.26		4	1.01		0	0.00		9	2.26		21	5.28		5	1.26		0	0.00		26	6.53		0	0.00		0	0.00		0	0.00		0	0.00		223	56.03		6	1.51		1	0.25		0	0.00		2	0.50		232	58.29		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.25		1	0.25		0	0.00		2	0.50		37	9.30		11	2.76		0	0.00		0	0.00		0	0.00		48	12.06		0	0.00		0	0.00		0	0.00		0	0.00		398	97.07		12	2.93		410	0.50																																																																																																											
Blyth		47	13.06		1	0.28		0	0.00		1	0.28		49	13.61		8	2.22		0	0.00		0	0.00		8	2.22		23	6.39		5	1.39		1	0.28		29	8.06		1	0.28		0	0.00		0	0.00		1	0.28		246	68.33		7	1.94		0	0.00		0	0.00		0	0.00		253	70.28		0	0.00		1	0.28		0	0.00		1	0.28		0	0.00		1	0.28		0	0.00		1	0.28		0	0.00		0	0.00		0	0.00		0	0.00		15	4.17		2	0.56		0	0.00		0	0.00		0	0.00		17	4.72		1	0.28		0	0.00		0	0.00		1	0.28		360	97.30		10	2.70		370	0.45																																																																																																											
Booborowie		31	18.24		0	0.00		0	0.00		0	0.00		31	18.24		1	0.59		0	0.00		0	0.00		1	0.59		6	3.53		3	1.76		0	0.00		9	5.29		0	0.00		0	0.00		0	0.00		0	0.00		118	69.41		6	3.53		0	0.00		0	0.00		0	0.00		124	72.94		1	0.59		0	0.00		0	0.00		1	0.59		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	1.76		0	0.00		0	0.00		0	0.00		0	0.00		3	1.76		0	0.00		1	0.59		0	0.00		1	0.59		170	96.05		7	3.95		177	0.22																																																																																																											
Booleroo Centre		24	6.47		1	0.27		0	0.00		2	0.54		27	7.28		2	0.54		1	0.27		0	0.00		3	0.81		17	4.58		7	1.89		0	0.00		24	6.47		0	0.00		0	0.00		0	0.00		0	0.00		281	75.74		19	5.12		1	0.27		0	0.00		2	0.54		303	81.67		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		9	2.43		4	1.08		0	0.00		0	0.00		0	0.00		13	3.50		1	0.27		0	0.00		0	0.00		1	0.27		371	97.63		9	2.37		380	0.47																																																																																																											
Brinkworth		17	7.42		0	0.00		0	0.00		1	0.44		18	7.86		0	0.00		0	0.00		0	0.00		0	0.00		21	9.17		1	0.44		1	0.44		23	10.04		0	0.00		0	0.00		0	0.00		0	0.00		164	71.62		8	3.49		0	0.00		0	0.00		0	0.00		172	75.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.44		0	0.00		0	0.00		1	0.44		11	4.80		2	0.87		0	0.00		1	0.44		0	0.00		14	6.11		1	0.44		0	0.00		0	0.00		1	0.44		229	96.22		9	3.78		238	0.29																																																																																																											
Burra		181	24.26		8	1.07		0	0.00		3	0.40		192	25.74		18	2.41		3	0.40		1	0.13		22	2.95		50	6.70		12	1.61		0	0.00		62	8.31		0	0.00		0	0.00		0	0.00		0	0.00		410	54.96		12	1.61		1	0.13		0	0.00		0	0.00		423	56.70		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.13		0	0.00		0	0.00		1	0.13		32	4.29		12	1.61		0	0.00		0	0.00		1	0.13		45	6.03		1	0.13		0	0.00		0	0.00		1	0.13		746	94.07		47	5.93		793	0.97																																																																																																									
Ceduna		395	26.56		10	0.67		0	0.00		3	0.20		408	27.44		28	1.88		9	0.61		1	0.07		38	2.56		78	5.25		12	0.81		0	0.00		90	6.05		0	0.00		0	0.00		0	0.00		0	0.00		835	56.15		19	1.28		2	0.13		0	0.00		1	0.07		857	57.63		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		3	0.20		1	0.07		0	0.00		4	0.27		66	4.44		22	1.48		0	0.00		0	0.00		0	0.00		88	5.92		1	0.07		0	0.00		0	0.00		1	0.07		1487	96.43		55	3.57		1542	1.89																																																																																																									
Clare		471	19.35		15	0.62		0	0.00		12	0.49		498	20.46		55	2.26		13	0.53		0	0.00		68	2.79		111	4.56		16	0.66		2	0.08		129	5.30		3	0.12		0	0.00		0	0.00		3	0.12		1438	59.08		36	1.48		2	0.08		4	0.16		2	0.08		1482	60.89		1	0.04		0	0.00		0	0.00		1	0.04		0	0.00		2	0.08		0	0.00		2	0.08		3	0.12		1	0.04		0	0.00		4	0.16		205	8.42		41	1.68		0	0.00		0	0.00		0	0.00		246	10.11		1	0.04		0	0.00		0	0.00		1	0.04		2434	96.78		81	3.22		2515	3.09																																																																																																									
