Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Hindmarsh (84806)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Adelaide (Hindmarsh)		40	28.57		2	1.43		1	0.71		0	0.00		43	30.71		4	2.86		2	1.43		0	0.00		6	4.29		2	1.43		1	0.71		0	0.00		3	2.14		0	0.00		0	0.00		0	0.00		0	0.00		50	35.71		1	0.71		0	0.00		0	0.00		0	0.00		51	36.43		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.71		1	0.71		0	0.00		0	0.00		0	0.00		0	0.00		30	21.43		6	4.29		0	0.00		0	0.00		0	0.00		36	25.71		0	0.00		0	0.00		0	0.00		0	0.00		140	96.55		5	3.45		145	0.18																																																																																																											
Ascot Park South		378	39.66		14	1.47		2	0.21		2	0.21		396	41.55		21	2.20		9	0.94		1	0.10		31	3.25		32	3.36		3	0.31		1	0.10		36	3.78		1	0.10		0	0.00		0	0.00		1	0.10		351	36.83		16	1.68		3	0.31		4	0.42		1	0.10		375	39.35		1	0.10		2	0.21		0	0.00		3	0.31		0	0.00		1	0.10		0	0.00		1	0.10		4	0.42		0	0.00		0	0.00		4	0.42		92	9.65		13	1.36		0	0.00		0	0.00		0	0.00		105	11.02		0	0.00		0	0.00		1	0.10		1	0.10		953	94.73		53	5.27		1006	1.24																																																																																																											
Brooklyn Park		864	42.81		23	1.14		2	0.10		7	0.35		896	44.40		65	3.22		21	1.04		3	0.15		89	4.41		42	2.08		13	0.64		0	0.00		55	2.73		2	0.10		0	0.00		0	0.00		2	0.10		723	35.83		19	0.94		2	0.10		5	0.25		1	0.05		750	37.17		0	0.00		1	0.05		0	0.00		1	0.05		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		0	0.00		1	0.05		176	8.72		45	2.23		1	0.05		0	0.00		0	0.00		222	11.00		1	0.05		0	0.00		1	0.05		2	0.10		2018	95.10		104	4.90		2122	2.61																																																																																																											
Brooklyn Park South		423	36.00		15	1.28		2	0.17		5	0.43		445	37.87		23	1.96		8	0.68		0	0.00		31	2.64		25	2.13		7	0.60		1	0.09		33	2.81		2	0.17		0	0.00		0	0.00		2	0.17		498	42.38		11	0.94		2	0.17		1	0.09		0	0.00		512	43.57		0	0.00		0	0.00		0	0.00		0	0.00		1	0.09		0	0.00		0	0.00		1	0.09		1	0.09		0	0.00		0	0.00		1	0.09		117	9.96		30	2.55		1	0.09		0	0.00		0	0.00		148	12.60		0	0.00		1	0.09		1	0.09		2	0.17		1175	95.61		54	4.39		1229	1.51																																																																																																											
Camden Park		408	37.47		17	1.56		2	0.18		5	0.46		432	39.67		19	1.74		5	0.46		0	0.00		24	2.20		43	3.95		7	0.64		0	0.00		50	4.59		0	0.00		1	0.09		0	0.00		1	0.09		463	42.52		14	1.29		4	0.37		0	0.00		0	0.00		481	44.17		0	0.00		0	0.00		1	0.09		1	0.09		0	0.00		0	0.00		1	0.09		1	0.09		2	0.18		1	0.09		0	0.00		3	0.28		80	7.35		15	1.38		1	0.09		0	0.00		0	0.00		96	8.82		0	0.00		0	0.00		0	0.00		0	0.00		1089	95.69		49	4.31		1138	1.40																																																																																																											
Cowandilla		993	52.88		25	1.33		3	0.16		10	0.53		1031	54.90		43	2.29		22	1.17		2	0.11		67	3.57		38	2.02		6	0.32		1	0.05		45	2.40		2	0.11		1	0.05		0	0.00		3	0.16		498	26.52		15	0.80		1	0.05		1	0.05		2	0.11		517	27.53		0	0.00		2	0.11		0	0.00		2	0.11		1	0.05		0	0.00		0	0.00		1	0.05		2	0.11		1	0.05		0	0.00		3	0.16		176	9.37		30	1.60		1	0.05		0	0.00		0	0.00		207	11.02		2	0.11		0	0.00		0	0.00		2	0.11		1878	95.62		86	4.38		1964	2.41																																																																																																											
Cowandilla West		289	43.01		13	1.93		1	0.15		5	0.74		308	45.83		20	2.98		14	2.08		3	0.45		37	5.51		7	1.04		1	0.15		0	0.00		8	1.19		0	0.00		0	0.00		0	0.00		0	0.00		231	34.38		8	1.19		0	0.00		0	0.00		0	0.00		239	35.57		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.15		0	0.00		0	0.00		1	0.15		68	10.12		10	1.49		1	0.15		0	0.00		0	0.00		79	11.76		0	0.00		0	0.00		0	0.00		0	0.00		672	95.45		32	4.55		704	0.86																																																																																																											
Edwardstown		562	37.24		14	0.93		1	0.07		7	0.46		584	38.70		32	2.12		15	0.99		0	0.00		47	3.11		56	3.71		7	0.46		1	0.07		64	4.24		0	0.00		1	0.07		0	0.00		1	0.07		568	37.64		14	0.93		0	0.00		3	0.20		0	0.00		585	38.77		1	0.07		0	0.00		0	0.00		1	0.07		1	0.07		0	0.00		0	0.00		1	0.07		4	0.27		0	0.00		0	0.00		4	0.27		174	11.53		42	2.78		2	0.13		0	0.00		1	0.07		219	14.51		1	0.07		0	0.00		2	0.13		3	0.20		1509	96.61		53	3.39		1562	1.92																																																																																																									
Flinders Park		1298	43.04		31	1.03		3	0.10		14	0.46		1346	44.63		60	1.99		13	0.43		0	0.00		73	2.42		83	2.75		11	0.36		0	0.00		94	3.12		2	0.07		0	0.00		0	0.00		2	0.07		1147	38.03		25	0.83		2	0.07		2	0.07		2	0.07		1178	39.06		4	0.13		0	0.00		0	0.00		4	0.13		1	0.03		1	0.03		0	0.00		2	0.07		4	0.13		2	0.07		0	0.00		6	0.20		265	8.79		43	1.43		0	0.00		1	0.03		1	0.03		310	10.28		1	0.03		0	0.00		0	0.00		1	0.03		3016	96.27		117	3.73		3133	3.85																																																																																																									
Forbes		926	39.61		30	1.28		2	0.09		10	0.43		968	41.40		46	1.97		11	0.47		0	0.00		57	2.44		71	3.04		15	0.64		0	0.00		86	3.68		4	0.17		0	0.00		0	0.00		4	0.17		927	39.65		24	1.03		0	0.00		5	0.21		1	0.04		957	40.93		2	0.09		1	0.04		0	0.00		3	0.13		0	0.00		2	0.09		0	0.00		2	0.09		3	0.13		0	0.00		0	0.00		3	0.13		205	8.77		48	2.05		0	0.00		2	0.09		1	0.04		256	10.95		2	0.09		0	0.00		0	0.00		2	0.09		2338	96.06		96	3.94		2434	2.99																																																																																																									
