Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Kingston (85398)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Adelaide (Kingston)		31	30.10		0	0.00		1	0.97		0	0.00		32	31.07		5	4.85		0	0.00		0	0.00		5	4.85		2	1.94		1	0.97		0	0.00		3	2.91		0	0.00		0	0.00		0	0.00		0	0.00		38	36.89		2	1.94		0	0.00		0	0.00		0	0.00		40	38.83		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		19	18.45		4	3.88		0	0.00		0	0.00		0	0.00		23	22.33		0	0.00		0	0.00		0	0.00		0	0.00		103	98.10		2	1.90		105	0.13																																																																																																											
Aldinga Beach		980	31.18		30	0.95		7	0.22		6	0.19		1023	32.55		166	5.28		53	1.69		2	0.06		221	7.03		174	5.54		23	0.73		0	0.00		197	6.27		0	0.00		1	0.03		0	0.00		1	0.03		1167	37.13		32	1.02		1	0.03		3	0.10		2	0.06		1205	38.34		0	0.00		1	0.03		0	0.00		1	0.03		0	0.00		0	0.00		0	0.00		0	0.00		1	0.03		2	0.06		0	0.00		3	0.10		396	12.60		91	2.90		3	0.10		0	0.00		0	0.00		490	15.59		0	0.00		1	0.03		1	0.03		2	0.06		3143	95.30		155	4.70		3298	4.01																																																																																																											
Christie Downs		976	46.32		21	1.00		6	0.28		5	0.24		1008	47.84		49	2.33		8	0.38		2	0.09		59	2.80		110	5.22		9	0.43		1	0.05		120	5.70		2	0.09		1	0.05		0	0.00		3	0.14		592	28.10		21	1.00		1	0.05		1	0.05		2	0.09		617	29.28		2	0.09		0	0.00		0	0.00		2	0.09		2	0.09		0	0.00		0	0.00		2	0.09		1	0.05		0	0.00		0	0.00		1	0.05		255	12.10		36	1.71		1	0.05		0	0.00		0	0.00		292	13.86		1	0.05		1	0.05		1	0.05		3	0.14		2107	94.02		134	5.98		2241	2.72																																																																																																											
Christies Beach		897	40.04		23	1.03		6	0.27		21	0.94		947	42.28		80	3.57		14	0.63		1	0.04		95	4.24		98	4.38		14	0.63		1	0.04		113	5.04		2	0.09		1	0.04		0	0.00		3	0.13		774	34.55		28	1.25		3	0.13		3	0.13		1	0.04		809	36.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	0.18		0	0.00		0	0.00		4	0.18		227	10.13		41	1.83		0	0.00		0	0.00		0	0.00		268	11.96		1	0.04		0	0.00		0	0.00		1	0.04		2240	95.16		114	4.84		2354	2.86																																																																																																											
Christies North		157	37.03		4	0.94		1	0.24		1	0.24		163	38.44		18	4.25		5	1.18		0	0.00		23	5.42		21	4.95		5	1.18		0	0.00		26	6.13		1	0.24		0	0.00		0	0.00		1	0.24		144	33.96		7	1.65		0	0.00		0	0.00		0	0.00		151	35.61		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		45	10.61		13	3.07		0	0.00		0	0.00		0	0.00		58	13.68		1	0.24		0	0.00		1	0.24		2	0.47		424	98.38		7	1.62		431	0.52																																																																																																											
Hackham		953	45.82		30	1.44		7	0.34		5	0.24		995	47.84		43	2.07		7	0.34		1	0.05		51	2.45		103	4.95		20	0.96		4	0.19		127	6.11		1	0.05		1	0.05		0	0.00		2	0.10		606	29.13		18	0.87		3	0.14		3	0.14		0	0.00		630	30.29		2	0.10		0	0.00		0	0.00		2	0.10		2	0.10		0	0.00		0	0.00		2	0.10		3	0.14		0	0.00		0	0.00		3	0.14		229	11.01		32	1.54		1	0.05		0	0.00		1	0.05		263	12.64		2	0.10		1	0.05		2	0.10		5	0.24		2080	94.89		112	5.11		2192	2.66																																																																																																											
Hackham East		1196	35.32		33	0.97		4	0.12		16	0.47		1249	36.89		90	2.66		12	0.35		0	0.00		102	3.01		151	4.46		19	0.56		2	0.06		172	5.08		2	0.06		0	0.00		0	0.00		2	0.06		1316	38.87		47	1.39		4	0.12		5	0.15		1	0.03		1373	40.55		1	0.03		2	0.06		0	0.00		3	0.09		2	0.06		0	0.00		0	0.00		2	0.06		6	0.18		0	0.00		1	0.03		7	0.21		408	12.05		65	1.92		0	0.00		0	0.00		0	0.00		473	13.97		3	0.09		0	0.00		0	0.00		3	0.09		3386	96.69		116	3.31		3502	4.26																																																																																																											
Hackham South		697	44.62		17	1.09		4	0.26		10	0.64		728	46.61		47	3.01		4	0.26		0	0.00		51	3.27		73	4.67		6	0.38		0	0.00		79	5.06		2	0.13		0	0.00		0	0.00		2	0.13		478	30.60		15	0.96		2	0.13		0	0.00		0	0.00		495	31.69		1	0.06		0	0.00		0	0.00		1	0.06		0	0.00		0	0.00		0	0.00		0	0.00		4	0.26		0	0.00		0	0.00		4	0.26		179	11.46		22	1.41		1	0.06		0	0.00		0	0.00		202	12.93		0	0.00		0	0.00		0	0.00		0	0.00		1562	96.36		59	3.64		1621	1.97																																																																																																									
Hallett Cove		879	30.61		27	0.94		1	0.03		19	0.66		926	32.24		52	1.81		27	0.94		4	0.14		83	2.89		80	2.79		19	0.66		1	0.03		100	3.48		2	0.07		0	0.00		0	0.00		2	0.07		1253	43.63		58	2.02		1	0.03		3	0.10		0	0.00		1315	45.79		3	0.10		0	0.00		0	0.00		3	0.10		2	0.07		0	0.00		0	0.00		2	0.07		5	0.17		0	0.00		0	0.00		5	0.17		353	12.29		79	2.75		1	0.03		1	0.03		0	0.00		434	15.11		1	0.03		0	0.00		1	0.03		2	0.07		2872	96.83		94	3.17		2966	3.60																																																																																																									
Happy Valley (Kingston)		343	25.11		4	0.29		0	0.00		5	0.37		352	25.77		29	2.12		15	1.10		2	0.15		46	3.37		24	1.76		5	0.37		0	0.00		29	2.12		1	0.07		0	0.00		0	0.00		1	0.07		673	49.27		30	2.20		0	0.00		1	0.07		1	0.07		705	51.61		1	0.07		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		0	0.00		0	0.00		3	0.22		1	0.07		0	0.00		4	0.29		198	14.49		29	2.12		0	0.00		0	0.00		1	0.07		228	16.69		0	0.00		0	0.00		0	0.00		0	0.00		1366	97.57		34	2.43		1400	1.70																																																																																																									
