Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Mayo (86319)																																																																																																																																																																																																																																																											
		 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Aberfoyle Park		897	25.09		44	1.23		5	0.14		21	0.59		967	27.05		86	2.41		20	0.56		1	0.03		107	2.99		95	2.66		11	0.31		2	0.06		108	3.02		3	0.08		1	0.03		0	0.00		4	0.11		1682	47.05		41	1.15		5	0.14		7	0.20		3	0.08		1738	48.62		1	0.03		0	0.00		1	0.03		2	0.06		1	0.03		0	0.00		4	0.11		5	0.14		3	0.08		0	0.00		0	0.00		3	0.08		539	15.08		97	2.71		0	0.00		1	0.03		0	0.00		637	17.82		3	0.08		0	0.00		1	0.03		4	0.11		3575	97.78		81	2.22		3656	4.39																																																																																																											
Aberfoyle Park North (Mayo)		489	22.73		17	0.79		3	0.14		15	0.70		524	24.36		34	1.58		10	0.46		2	0.09		46	2.14		42	1.95		7	0.33		1	0.05		50	2.32		1	0.05		0	0.00		0	0.00		1	0.05		1104	51.32		42	1.95		2	0.09		5	0.23		3	0.14		1156	53.74		0	0.00		1	0.05		2	0.09		3	0.14		2	0.09		1	0.05		0	0.00		3	0.14		1	0.05		0	0.00		0	0.00		1	0.05		295	13.71		68	3.16		2	0.09		0	0.00		0	0.00		365	16.97		0	0.00		0	0.00		2	0.09		2	0.09		2151	97.95		45	2.05		2196	2.64																																																																																																											
Aberfoyle Park South		232	24.87		9	0.96		2	0.21		7	0.75		250	26.80		15	1.61		3	0.32		0	0.00		18	1.93		26	2.79		3	0.32		0	0.00		29	3.11		0	0.00		0	0.00		0	0.00		0	0.00		451	48.34		10	1.07		0	0.00		1	0.11		0	0.00		462	49.52		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		4	0.43		0	0.00		0	0.00		4	0.43		137	14.68		30	3.22		0	0.00		2	0.21		0	0.00		169	18.11		1	0.11		0	0.00		0	0.00		1	0.11		933	97.59		23	2.41		956	1.15																																																																																																											
Adelaide (Mayo)		22	20.56		1	0.93		0	0.00		0	0.00		23	21.50		5	4.67		1	0.93		0	0.00		6	5.61		2	1.87		0	0.00		0	0.00		2	1.87		0	0.00		0	0.00		0	0.00		0	0.00		42	39.25		0	0.00		0	0.00		1	0.93		1	0.93		44	41.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.93		1	0.93		0	0.00		2	1.87		23	21.50		7	6.54		0	0.00		0	0.00		0	0.00		30	28.04		0	0.00		0	0.00		0	0.00		0	0.00		107	98.17		2	1.83		109	0.13																																																																																																											
Aldgate		345	17.55		28	1.42		3	0.15		19	0.97		395	20.09		136	6.92		74	3.76		4	0.20		214	10.89		29	1.48		9	0.46		0	0.00		38	1.93		2	0.10		2	0.10		0	0.00		4	0.20		848	43.13		34	1.73		1	0.05		2	0.10		1	0.05		886	45.07		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.05		0	0.00		1	0.05		2	0.10		2	0.10		0	0.00		4	0.20		306	15.56		112	5.70		2	0.10		0	0.00		2	0.10		422	21.46		1	0.05		0	0.00		1	0.05		2	0.10		1966	98.40		32	1.60		1998	2.40																																																																																																											
Athelstone		1030	26.94		37	0.97		10	0.26		27	0.71		1104	28.88		72	1.88		30	0.78		2	0.05		104	2.72		70	1.83		18	0.47		0	0.00		88	2.30		2	0.05		0	0.00		0	0.00		2	0.05		1819	47.58		49	1.28		4	0.10		4	0.10		2	0.05		1878	49.12		3	0.08		1	0.03		2	0.05		6	0.16		0	0.00		3	0.08		0	0.00		3	0.08		10	0.26		2	0.05		0	0.00		12	0.31		509	13.31		109	2.85		2	0.05		1	0.03		0	0.00		621	16.24		5	0.13		0	0.00		0	0.00		5	0.13		3823	97.03		117	2.97		3940	4.74																																																																																																											
Athelstone West		1110	32.62		30	0.88		3	0.09		18	0.53		1161	34.12		59	1.73		10	0.29		3	0.09		72	2.12		50	1.47		11	0.32		0	0.00		61	1.79		0	0.00		1	0.03		0	0.00		1	0.03		1594	46.84		37	1.09		2	0.06		3	0.09		4	0.12		1640	48.19		4	0.12		1	0.03		0	0.00		5	0.15		1	0.03		2	0.06		2	0.06		5	0.15		9	0.26		0	0.00		1	0.03		10	0.29		395	11.61		49	1.44		2	0.06		1	0.03		0	0.00		447	13.14		1	0.03		0	0.00		0	0.00		1	0.03		3403	95.67		154	4.33		3557	4.28																																																																																																											
Balhannah		240	16.56		10	0.69		1	0.07		13	0.90		264	18.22		39	2.69		22	1.52		1	0.07		62	4.28		40	2.76		9	0.62		0	0.00		49	3.38		0	0.00		1	0.07		0	0.00		1	0.07		800	55.21		30	2.07		1	0.07		5	0.35		1	0.07		837	57.76		0	0.00		0	0.00		0	0.00		0	0.00		1	0.07		0	0.00		0	0.00		1	0.07		2	0.14		0	0.00		1	0.07		3	0.21		189	13.04		38	2.62		2	0.14		1	0.07		1	0.07		231	15.94		1	0.07		0	0.00		0	0.00		1	0.07		1449	98.37		24	1.63		1473	1.77																																																																																																									
Basket Range		13	10.08		2	1.55		0	0.00		4	3.10		19	14.73		9	6.98		3	2.33		1	0.78		13	10.08		3	2.33		2	1.55		0	0.00		5	3.88		0	0.00		0	0.00		0	0.00		0	0.00		56	43.41		2	1.55		1	0.78		0	0.00		0	0.00		59	45.74		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	15.50		13	10.08		0	0.00		0	0.00		0	0.00		33	25.58		0	0.00		0	0.00		0	0.00		0	0.00		129	98.47		2	1.53		131	0.16																																																																																																									
Bridgewater		289	17.56		18	1.09		3	0.18		22	1.34		332	20.17		94	5.71		37	2.25		1	0.06		132	8.02		35	2.13		7	0.43		2	0.12		44	2.67		0	0.00		0	0.00		0	0.00		0	0.00		741	45.02		22	1.34		2	0.12		1	0.06		2	0.12		768	46.66		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.12		1	0.06		0	0.00		3	0.18		288	17.50		76	4.62		2	0.12		0	0.00		0	0.00		366	22.24		0	0.00		0	0.00		1	0.06		1	0.06		1646	97.74		38	2.26		1684	2.02																																																																																																									
