Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Port Adelaide (86297)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Adelaide (Port Adelaide)		40	36.04		1	0.90		0	0.00		0	0.00		41	36.94		9	8.11		0	0.00		0	0.00		9	8.11		2	1.80		0	0.00		1	0.90		3	2.70		0	0.00		0	0.00		0	0.00		0	0.00		31	27.93		2	1.80		0	0.00		0	0.00		1	0.90		34	30.63		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		20	18.02		4	3.60		0	0.00		0	0.00		0	0.00		24	21.62		0	0.00		0	0.00		0	0.00		0	0.00		111	97.37		3	2.63		114	0.14																																																																																																											
Albert Park		408	43.22		9	0.95		3	0.32		6	0.64		426	45.13		27	2.86		4	0.42		1	0.11		32	3.39		24	2.54		9	0.95		0	0.00		33	3.50		0	0.00		0	0.00		0	0.00		0	0.00		327	34.64		12	1.27		0	0.00		0	0.00		0	0.00		339	35.91		1	0.11		0	0.00		0	0.00		1	0.11		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		101	10.70		10	1.06		1	0.11		0	0.00		0	0.00		112	11.86		1	0.11		0	0.00		0	0.00		1	0.11		944	95.35		46	4.65		990	1.20																																																																																																											
Allenby Gardens		605	47.12		19	1.48		4	0.31		5	0.39		633	49.30		40	3.12		31	2.41		1	0.08		72	5.61		36	2.80		5	0.39		0	0.00		41	3.19		2	0.16		3	0.23		0	0.00		5	0.39		344	26.79		14	1.09		0	0.00		1	0.08		1	0.08		360	28.04		1	0.08		0	0.00		0	0.00		1	0.08		1	0.08		1	0.08		0	0.00		2	0.16		2	0.16		0	0.00		0	0.00		2	0.16		142	11.06		22	1.71		1	0.08		1	0.08		1	0.08		167	13.01		0	0.00		0	0.00		1	0.08		1	0.08		1284	97.57		32	2.43		1316	1.60																																																																																																											
Beverley		326	52.92		6	0.97		0	0.00		6	0.97		338	54.87		14	2.27		3	0.49		1	0.16		18	2.92		24	3.90		4	0.65		1	0.16		29	4.71		0	0.00		0	0.00		0	0.00		0	0.00		148	24.03		8	1.30		0	0.00		0	0.00		0	0.00		156	25.32		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.32		1	0.16		0	0.00		3	0.49		57	9.25		14	2.27		0	0.00		0	0.00		0	0.00		71	11.53		1	0.16		0	0.00		0	0.00		1	0.16		616	96.86		20	3.14		636	0.77																																																																																																											
Birkenhead		1004	50.73		35	1.77		4	0.20		16	0.81		1059	53.51		72	3.64		33	1.67		2	0.10		107	5.41		69	3.49		6	0.30		1	0.05		76	3.84		0	0.00		1	0.05		0	0.00		1	0.05		410	20.72		14	0.71		1	0.05		1	0.05		0	0.00		426	21.53		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		6	0.30		3	0.15		0	0.00		9	0.45		241	12.18		58	2.93		0	0.00		0	0.00		0	0.00		299	15.11		2	0.10		0	0.00		0	0.00		2	0.10		1979	96.35		75	3.65		2054	2.49																																																																																																											
Cheltenham		595	41.46		23	1.60		4	0.28		6	0.42		628	43.76		54	3.76		9	0.63		0	0.00		63	4.39		53	3.69		10	0.70		1	0.07		64	4.46		0	0.00		0	0.00		0	0.00		0	0.00		448	31.22		21	1.46		0	0.00		0	0.00		0	0.00		469	32.68		2	0.14		0	0.00		0	0.00		2	0.14		1	0.07		0	0.00		0	0.00		1	0.07		4	0.28		2	0.14		0	0.00		6	0.42		172	11.99		26	1.81		3	0.21		0	0.00		0	0.00		201	14.01		1	0.07		0	0.00		0	0.00		1	0.07		1435	95.99		60	4.01		1495	1.81																																																																																																											
Croydon (Port Adelaide)		455	47.89		21	2.21		3	0.32		11	1.16		490	51.58		38	4.00		21	2.21		3	0.32		62	6.53		12	1.26		3	0.32		0	0.00		15	1.58		0	0.00		0	0.00		0	0.00		0	0.00		242	25.47		10	1.05		2	0.21		1	0.11		1	0.11		256	26.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.21		0	0.00		0	0.00		2	0.21		99	10.42		26	2.74		0	0.00		0	0.00		0	0.00		125	13.16		0	0.00		0	0.00		0	0.00		0	0.00		950	97.44		25	2.56		975	1.18																																																																																																											
Croydon Park West (Port Adelaide)		182	50.84		4	1.12		4	1.12		3	0.84		193	53.91		10	2.79		1	0.28		0	0.00		11	3.07		18	5.03		3	0.84		0	0.00		21	5.87		1	0.28		0	0.00		0	0.00		1	0.28		85	23.74		3	0.84		0	0.00		0	0.00		0	0.00		88	24.58		1	0.28		1	0.28		0	0.00		2	0.56		0	0.00		1	0.28		0	0.00		1	0.28		1	0.28		0	0.00		0	0.00		1	0.28		33	9.22		5	1.40		1	0.28		1	0.28		0	0.00		40	11.17		0	0.00		0	0.00		0	0.00		0	0.00		358	94.71		20	5.29		378	0.46																																																																																																									
Ethelton		440	47.11		10	1.07		5	0.54		13	1.39		468	50.11		32	3.43		7	0.75		0	0.00		39	4.18		26	2.78		4	0.43		0	0.00		30	3.21		2	0.21		0	0.00		0	0.00		2	0.21		265	28.37		12	1.28		0	0.00		2	0.21		2	0.21		281	30.09		1	0.11		1	0.11		0	0.00		2	0.21		0	0.00		0	0.00		0	0.00		0	0.00		1	0.11		0	0.00		1	0.11		2	0.21		88	9.42		20	2.14		0	0.00		0	0.00		1	0.11		109	11.67		1	0.11		0	0.00		0	0.00		1	0.11		934	96.49		34	3.51		968	1.17																																																																																																									
Ferryden Park		648	63.59		8	0.79		2	0.20		5	0.49		663	65.06		18	1.77		5	0.49		0	0.00		23	2.26		41	4.02		3	0.29		0	0.00		44	4.32		2	0.20		0	0.00		0	0.00		2	0.20		184	18.06		5	0.49		1	0.10		0	0.00		0	0.00		190	18.65		0	0.00		0	0.00		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		1	0.10		0	0.00		0	0.00		0	0.00		0	0.00		84	8.24		10	0.98		0	0.00		0	0.00		0	0.00		94	9.22		1	0.10		0	0.00		1	0.10		2	0.20		1019	95.50		48	4.50		1067	1.29																																																																																																									
