Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Sturt (86359)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Adelaide (Sturt)		31	23.31		0	0.00		1	0.75		2	1.50		34	25.56		7	5.26		0	0.00		0	0.00		7	5.26		0	0.00		1	0.75		0	0.00		1	0.75		1	0.75		0	0.00		0	0.00		1	0.75		49	36.84		3	2.26		0	0.00		0	0.00		0	0.00		52	39.10		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		29	21.80		9	6.77		0	0.00		0	0.00		0	0.00		38	28.57		0	0.00		0	0.00		0	0.00		0	0.00		133	99.25		1	0.75		134	0.16																																																																																																											
Beaumont		297	13.24		18	0.80		2	0.09		11	0.49		328	14.62		54	2.41		24	1.07		4	0.18		82	3.65		22	0.98		7	0.31		2	0.09		31	1.38		4	0.18		0	0.00		0	0.00		4	0.18		1455	64.84		66	2.94		0	0.00		7	0.31		3	0.13		1531	68.23		0	0.00		1	0.04		2	0.09		3	0.13		0	0.00		0	0.00		0	0.00		0	0.00		3	0.13		3	0.13		0	0.00		6	0.27		198	8.82		54	2.41		3	0.13		0	0.00		1	0.04		256	11.41		1	0.04		1	0.04		1	0.04		3	0.13		2244	97.86		49	2.14		2293	2.77																																																																																																											
Beulah Park		444	27.75		16	1.00		0	0.00		8	0.50		468	29.25		66	4.13		32	2.00		3	0.19		101	6.31		30	1.88		5	0.31		1	0.06		36	2.25		3	0.19		1	0.06		0	0.00		4	0.25		668	41.75		25	1.56		0	0.00		2	0.13		2	0.13		697	43.56		2	0.13		0	0.00		0	0.00		2	0.13		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		211	13.19		79	4.94		1	0.06		0	0.00		0	0.00		291	18.19		1	0.06		0	0.00		0	0.00		1	0.06		1600	96.85		52	3.15		1652	2.00																																																																																																											
Burnside		537	15.08		38	1.07		6	0.17		18	0.51		599	16.82		93	2.61		46	1.29		2	0.06		141	3.96		50	1.40		17	0.48		1	0.03		68	1.91		1	0.03		0	0.00		1	0.03		2	0.06		2229	62.58		101	2.84		1	0.03		13	0.36		3	0.08		2347	65.89		2	0.06		0	0.00		1	0.03		3	0.08		1	0.03		1	0.03		0	0.00		2	0.06		2	0.06		3	0.08		0	0.00		5	0.14		293	8.23		93	2.61		1	0.03		1	0.03		0	0.00		388	10.89		4	0.11		1	0.03		2	0.06		7	0.20		3562	97.03		109	2.97		3671	4.44																																																																																																											
Campbelltown		1143	38.81		25	0.85		3	0.10		17	0.58		1188	40.34		68	2.31		34	1.15		2	0.07		104	3.53		79	2.68		10	0.34		0	0.00		89	3.02		5	0.17		0	0.00		0	0.00		5	0.17		1144	38.85		25	0.85		2	0.07		4	0.14		1	0.03		1176	39.93		0	0.00		1	0.03		0	0.00		1	0.03		2	0.07		3	0.10		0	0.00		5	0.17		4	0.14		1	0.03		0	0.00		5	0.17		310	10.53		56	1.90		0	0.00		1	0.03		2	0.07		369	12.53		2	0.07		0	0.00		1	0.03		3	0.10		2945	94.85		160	5.15		3105	3.76																																																																																																											
Dernancourt		478	27.07		14	0.79		3	0.17		12	0.68		507	28.71		39	2.21		12	0.68		0	0.00		51	2.89		37	2.10		10	0.57		1	0.06		48	2.72		1	0.06		0	0.00		0	0.00		1	0.06		844	47.79		39	2.21		2	0.11		1	0.06		1	0.06		887	50.23		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.06		0	0.00		1	0.06		1	0.06		0	0.00		0	0.00		1	0.06		202	11.44		68	3.85		0	0.00		0	0.00		0	0.00		270	15.29		0	0.00		0	0.00		0	0.00		0	0.00		1766	96.45		65	3.55		1831	2.21																																																																																																											
Felixstow		447	34.92		13	1.02		3	0.23		5	0.39		468	36.56		28	2.19		16	1.25		0	0.00		44	3.44		28	2.19		2	0.16		0	0.00		30	2.34		1	0.08		1	0.08		0	0.00		2	0.16		514	40.16		18	1.41		1	0.08		3	0.23		1	0.08		537	41.95		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.08		0	0.00		1	0.08		1	0.08		1	0.08		0	0.00		2	0.16		153	11.95		38	2.97		2	0.16		1	0.08		0	0.00		194	15.16		0	0.00		0	0.00		2	0.16		2	0.16		1280	92.29		107	7.71		1387	1.68																																																																																																											
Gilles Plains		246	34.84		5	0.71		1	0.14		1	0.14		253	35.84		8	1.13		2	0.28		0	0.00		10	1.42		18	2.55		3	0.42		1	0.14		22	3.12		2	0.28		0	0.00		1	0.14		3	0.42		297	42.07		14	1.98		1	0.14		0	0.00		0	0.00		312	44.19		2	0.28		0	0.00		0	0.00		2	0.28		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		82	11.61		20	2.83		1	0.14		0	0.00		0	0.00		103	14.59		1	0.14		0	0.00		0	0.00		1	0.14		706	96.98		22	3.02		728	0.88																																																																																																									
Gilles Plains East		545	39.75		13	0.95		2	0.15		9	0.66		569	41.50		36	2.63		6	0.44		2	0.15		44	3.21		84	6.13		6	0.44		0	0.00		90	6.56		4	0.29		0	0.00		0	0.00		4	0.29		478	34.87		23	1.68		0	0.00		0	0.00		1	0.07		502	36.62		0	0.00		2	0.15		0	0.00		2	0.15		0	0.00		0	0.00		0	0.00		0	0.00		3	0.22		1	0.07		0	0.00		4	0.29		134	9.77		22	1.60		0	0.00		0	0.00		0	0.00		156	11.38		0	0.00		0	0.00		0	0.00		0	0.00		1371	95.87		59	4.13		1430	1.73																																																																																																									
Glen Osmond		116	13.99		11	1.33		0	0.00		4	0.48		131	15.80		18	2.17		12	1.45		0	0.00		30	3.62		11	1.33		8	0.97		0	0.00		19	2.29		0	0.00		0	0.00		0	0.00		0	0.00		519	62.61		22	2.65		1	0.12		1	0.12		1	0.12		544	65.62		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.12		1	0.12		75	9.05		27	3.26		0	0.00		2	0.24		0	0.00		104	12.55		0	0.00		0	0.00		0	0.00		0	0.00		829	97.41		22	2.59		851	1.03																																																																																																									
