Senate - 2001 Election: South Australia																																																																																																																																																																																																																																																											
First Preference Votes by Candidate 																																																																																																																																																																																																																																																											
By Polling Place																																																																																																																																																																																																																																																											

Wakefield (86378)																																																																																																																																																																																																																																																											
	   	 A Australian Labor Party (South Australian Branch)															 B Australian Greens												 C Pauline Hanson's One Nation												 D 												 E Liberal Party of Australia (S.A. Division)																		 F 												 G 												 H Republican Party of Australia												 I Australian Democrats																		Ungrouped																																																																																																																														
    		TICKET VOTES			WONG			KIRK			SCHACHT			Group Total			TICKET VOTES			FAEHRMANN			DOUGLAS			Group Total			TICKET VOTES			RUSSELL-TAYLOR			GIBSON			Group Total			TICKET VOTES			NEWNAM			LINES			Group Total			TICKET VOTES			HILL			FERRIS			CHAPMAN			LENSINK			Group Total			TICKET VOTES			ALDRIDGE			ALDRIDGE			Group Total			TICKET VOTES			HARTE			PHILLIPS			Group Total			TICKET VOTES			CROZIER			EASSON			Group Total			TICKET VOTES			STOTT DESPOJA			HEATH			PILLING			HASSAN			Group Total			FISHLOCK			BEHN			MCSHANE			Ungrouped Total			FORMAL			INFORMAL			TOTAL																																																																																																												
    					Penny			Linda			Chris									Cate			Jim									Neil			Colin									Kathy			Lisa									Robert			Jeannie			Grant			Michelle									Mark			Helen									Kerry			Colin									Patrick			Robert									Natasha			Jeff			Michael			Haroon						Kym			Ervyn C			Nicholas																																																																																																																								
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%																																																																																																											
Alford		16	12.50		1	0.78		0	0.00		0	0.00		17	13.28		1	0.78		0	0.00		0	0.00		1	0.78		14	10.94		2	1.56		0	0.00		16	12.50		0	0.00		0	0.00		0	0.00		0	0.00		88	68.75		4	3.13		0	0.00		0	0.00		0	0.00		92	71.88		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	1.56		0	0.00		0	0.00		0	0.00		0	0.00		2	1.56		0	0.00		0	0.00		0	0.00		0	0.00		128	96.97		4	3.03		132	0.16																																																																																																											
Angaston		333	21.04		16	1.01		2	0.13		12	0.76		363	22.93		41	2.59		15	0.95		0	0.00		56	3.54		76	4.80		21	1.33		1	0.06		98	6.19		0	0.00		0	0.00		0	0.00		0	0.00		817	51.61		32	2.02		1	0.06		8	0.51		0	0.00		858	54.20		1	0.06		0	0.00		0	0.00		1	0.06		1	0.06		0	0.00		0	0.00		1	0.06		5	0.32		0	0.00		0	0.00		5	0.32		173	10.93		23	1.45		2	0.13		0	0.00		0	0.00		198	12.51		2	0.13		0	0.00		1	0.06		3	0.19		1583	96.88		51	3.12		1634	1.96																																																																																																											
Ardrossan		290	26.51		10	0.91		1	0.09		6	0.55		307	28.06		14	1.28		4	0.37		1	0.09		19	1.74		74	6.76		17	1.55		2	0.18		93	8.50		2	0.18		0	0.00		0	0.00		2	0.18		579	52.93		24	2.19		0	0.00		0	0.00		0	0.00		603	55.12		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		57	5.21		13	1.19		0	0.00		0	0.00		0	0.00		70	6.40		0	0.00		0	0.00		0	0.00		0	0.00		1094	95.96		46	4.04		1140	1.37																																																																																																											
Arthurton		11	6.47		0	0.00		0	0.00		0	0.00		11	6.47		5	2.94		0	0.00		0	0.00		5	2.94		10	5.88		4	2.35		0	0.00		14	8.24		0	0.00		0	0.00		0	0.00		0	0.00		124	72.94		9	5.29		0	0.00		0	0.00		0	0.00		133	78.24		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.59		1	0.59		0	0.00		0	0.00		0	0.00		0	0.00		2	1.18		2	1.18		0	0.00		0	0.00		0	0.00		4	2.35		2	1.18		0	0.00		0	0.00		2	1.18		170	97.14		5	2.86		175	0.21																																																																																																											
Balaklava		239	17.31		6	0.43		1	0.07		2	0.14		248	17.96		25	1.81		1	0.07		1	0.07		27	1.96		95	6.88		9	0.65		0	0.00		104	7.53		2	0.14		0	0.00		0	0.00		2	0.14		878	63.58		27	1.96		1	0.07		3	0.22		0	0.00		909	65.82		2	0.14		1	0.07		0	0.00		3	0.22		0	0.00		0	0.00		3	0.22		3	0.22		1	0.07		0	0.00		0	0.00		1	0.07		67	4.85		16	1.16		0	0.00		0	0.00		0	0.00		83	6.01		1	0.07		0	0.00		0	0.00		1	0.07		1381	96.30		53	3.70		1434	1.72																																																																																																											
Barmera		567	26.94		10	0.48		1	0.05		4	0.19		582	27.65		43	2.04		6	0.29		0	0.00		49	2.33		159	7.55		21	1.00		1	0.05		181	8.60		4	0.19		0	0.00		0	0.00		4	0.19		1126	53.49		34	1.62		2	0.10		1	0.05		2	0.10		1165	55.34		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		3	0.14		0	0.00		0	0.00		3	0.14		93	4.42		27	1.28		1	0.05		0	0.00		0	0.00		121	5.75		0	0.00		0	0.00		0	0.00		0	0.00		2105	95.81		92	4.19		2197	2.63																																																																																																											
Berri		650	24.94		14	0.54		4	0.15		5	0.19		673	25.83		65	2.49		10	0.38		1	0.04		76	2.92		165	6.33		15	0.58		2	0.08		182	6.98		4	0.15		1	0.04		0	0.00		5	0.19		1394	53.49		31	1.19		0	0.00		2	0.08		1	0.04		1428	54.80		1	0.04		0	0.00		0	0.00		1	0.04		0	0.00		0	0.00		0	0.00		0	0.00		2	0.08		1	0.04		0	0.00		3	0.12		197	7.56		38	1.46		0	0.00		0	0.00		2	0.08		237	9.09		0	0.00		1	0.04		0	0.00		1	0.04		2606	95.84		113	4.16		2719	3.26																																																																																																											
Birdwood		134	17.82		12	1.60		3	0.40		3	0.40		152	20.21		24	3.19		10	1.33		2	0.27		36	4.79		36	4.79		9	1.20		1	0.13		46	6.12		0	0.00		0	0.00		0	0.00		0	0.00		383	50.93		19	2.53		2	0.27		0	0.00		2	0.27		406	53.99		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		2	0.27		1	0.13		0	0.00		3	0.40		82	10.90		24	3.19		1	0.13		0	0.00		0	0.00		107	14.23		2	0.27		0	0.00		0	0.00		2	0.27		752	97.79		17	2.21		769	0.92																																																																																																									
Blanchetown		60	24.00		1	0.40		0	0.00		0	0.00		61	24.40		1	0.40		0	0.00		0	0.00		1	0.40		13	5.20		5	2.00		0	0.00		18	7.20		0	0.00		0	0.00		0	0.00		0	0.00		147	58.80		3	1.20		0	0.00		1	0.40		0	0.00		151	60.40		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		14	5.60		5	2.00		0	0.00		0	0.00		0	0.00		19	7.60		0	0.00		0	0.00		0	0.00		0	0.00		250	96.15		10	3.85		260	0.31																																																																																																									
Bute		50	14.97		6	1.80		0	0.00		3	0.90		59	17.66		7	2.10		0	0.00		0	0.00		7	2.10		14	4.19		1	0.30		0	0.00		15	4.49		0	0.00		0	0.00		0	0.00		0	0.00		227	67.96		7	2.10		1	0.30		1	0.30		1	0.30		237	70.96		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		0	0.00		1	0.30		0	0.00		0	0.00		1	0.30		13	3.89		2	0.60		0	0.00		0	0.00		0	0.00		15	4.49		0	0.00		0	0.00		0	0.00		0	0.00		334	97.09		10	2.91		344	0.41																																																																																																									
