House of Representatives - 2001 Election: South Australia																						
Distribution of Preferences																						
By Polling Place																						
																						
Bonython																						
				HUNT			BLAKE			CHOMEL			DENNIS			EVANS			MAHONEY			
				Rita			Lisa			Brenton			Mark A			Martyn			John			
				NGST			GRN			LP			DEM			ALP			HAN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Adelaide (Bonython)                                            																						
	FIRST			7	7.22		5	5.15		28	28.87		7	7.22		44	45.36		6	6.19		97
	SECOND			2	40.00			Excluded		0	0.00		1	20.00		2	40.00		0	0.00		5
		TOTAL		9	9.28					28	28.87		8	8.25		46	47.42		6	6.19		97
	THIRD				Excluded					6	66.67		0	0.00		1	11.11		2	22.22		9
		TOTAL								34	35.05		8	8.25		47	48.45		8	8.25		97
	FOURTH									2	25.00		3	37.50		3	37.50			Excluded		8
		TOTAL								36	37.11		11	11.34		50	51.55					97
	FIFTH									4	36.36			Excluded		7	63.64					11
		TOTAL								40	41.24					57	58.76					97
																Elected						
																						
Andrews Farm                                                   																						
	FIRST			42	3.59		39	3.33		371	31.71		157	13.42		506	43.25		55	4.70		1170
	SECOND			17	43.59			Excluded		6	15.38		9	23.08		2	5.13		5	12.82		39
		TOTAL		59	5.04					377	32.22		166	14.19		508	43.42		60	5.13		1170
	THIRD				Excluded					20	33.90		17	28.81		16	27.12		6	10.17		59
		TOTAL								397	33.93		183	15.64		524	44.79		66	5.64		1170
	FOURTH									24	36.36		22	33.33		20	30.30			Excluded		66
		TOTAL								421	35.98		205	17.52		544	46.50					1170
	FIFTH									74	36.10			Excluded		131	63.90					205
		TOTAL								495	42.31					675	57.69					1170
																Elected						
																						
Angle Vale                                                     																						
	FIRST			51	3.68		35	2.53		614	44.36		121	8.74		461	33.31		102	7.37		1384
	SECOND			7	20.00			Excluded		6	17.14		15	42.86		3	8.57		4	11.43		35
		TOTAL		58	4.19					620	44.80		136	9.83		464	33.53		106	7.66		1384
	THIRD				Excluded					28	48.28		8	13.79		10	17.24		12	20.69		58
		TOTAL								648	46.82		144	10.40		474	34.25		118	8.53		1384
	FOURTH									67	56.78		27	22.88		24	20.34			Excluded		118
		TOTAL								715	51.66		171	12.36		498	35.98					1384
	FIFTH									71	41.52			Excluded		100	58.48					171
		TOTAL								786	56.79					598	43.21					1384
																Elected						
																						
Brahma Lodge                                                   																						
	FIRST			71	3.98		44	2.46		558	31.26		190	10.64		830	46.50		92	5.15		1785
	SECOND			17	38.64			Excluded		3	6.82		11	25.00		8	18.18		5	11.36		44
		TOTAL		88	4.93					561	31.43		201	11.26		838	46.95		97	5.43		1785
	THIRD				Excluded					35	39.77		20	22.73		22	25.00		11	12.50		88
		TOTAL								596	33.39		221	12.38		860	48.18		108	6.05		1785
	FOURTH									41	37.96		36	33.33		31	28.70			Excluded		108
		TOTAL								637	35.69		257	14.40		891	49.92					1785
	FIFTH									97	37.74			Excluded		160	62.26					257
		TOTAL								734	41.12					1051	58.88					1785
																Elected						
																						
Craigmore                                                      																						
	FIRST			100	3.38		62	2.09		1023	34.54		380	12.83		1222	41.26		175	5.91		2962
	SECOND			14	22.58			Excluded		6	9.68		26	41.94		13	20.97		3	4.84		62
		TOTAL		114	3.85					1029	34.74		406	13.71		1235	41.69		178	6.01		2962
	THIRD				Excluded					47	41.23		24	21.05		30	26.32		13	11.40		114
		TOTAL								1076	36.33		430	14.52		1265	42.71		191	6.45		2962
	FOURTH									98	51.31		40	20.94		53	27.75			Excluded		191
		TOTAL								1174	39.64		470	15.87		1318	44.50					2962
	FIFTH									180	38.30			Excluded		290	61.70					470
		TOTAL								1354	45.71					1608	54.29					2962
																Elected						
																						
Craigmore South                                                																						
	FIRST			66	2.25		87	2.97		1034	35.24		331	11.28		1265	43.12		151	5.15		2934
	SECOND			18	20.69			Excluded		14	16.09		31	35.63		16	18.39		8	9.20		87
		TOTAL		84	2.86					1048	35.72		362	12.34		1281	43.66		159	5.42		2934
	THIRD				Excluded					22	26.19		29	34.52		24	28.57		9	10.71		84
		TOTAL								1070	36.47		391	13.33		1305	44.48		168	5.73		2934
	FOURTH									76	45.24		37	22.02		55	32.74			Excluded		168
		TOTAL								1146	39.06		428	14.59		1360	46.35					2934
	FIFTH									180	42.06			Excluded		248	57.94					428
		TOTAL								1326	45.19					1608	54.81					2934
																Elected						
																						
Davoren Park North                                             																						
	FIRST			81	5.09		49	3.08		351	22.08		152	9.56		845	53.14		112	7.04		1590
	SECOND			21	42.86			Excluded		2	4.08		17	34.69		7	14.29		2	4.08		49
		TOTAL		102	6.42					353	22.20		169	10.63		852	53.58		114	7.17		1590
	THIRD				Excluded					34	33.33		21	20.59		35	34.31		12	11.76		102
