House of Representatives - 2001 Election: South Australia																				
Distribution of Preferences																				
By Polling Place																				
																				
Grey																				
				O'NEILL			ROBERTSON			HOLLAND			MARTIN			WAKELIN				
				Con			Gil John			Sylvia			Felicity			Barry				
				ALP			DEM			HAN			GRN			LP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Andamooka                                                      																				
	FIRST			82	37.10		9	4.07		41	18.55		5	2.26		84	38.01		221	
	SECOND			1	20.00		1	20.00		2	40.00			Excluded		1	20.00		5	
		TOTAL		83	37.56		10	4.52		43	19.46					85	38.46		221	
	THIRD			5	50.00			Excluded		2	20.00					3	30.00		10	
		TOTAL		88	39.82					45	20.36					88	39.82		221	
	FOURTH			26	57.78						Excluded					19	42.22		45	
		TOTAL		114	51.58											107	48.42		221	
																Elected				
																				
Arno Bay                                                       																				
	FIRST			30	12.77		6	2.55		27	11.49		3	1.28		169	71.91		235	
	SECOND			0	0.00		1	33.33		0	0.00			Excluded		2	66.67		3	
		TOTAL		30	12.77		7	2.98		27	11.49					171	72.77		235	
	THIRD			4	57.14			Excluded		2	28.57					1	14.29		7	
		TOTAL		34	14.47					29	12.34					172	73.19		235	
	FOURTH			21	72.41						Excluded					8	27.59		29	
		TOTAL		55	23.40											180	76.60		235	
																Elected				
																				
Auburn                                                         																				
	FIRST			86	22.05		30	7.69		21	5.38		15	3.85		238	61.03		390	
	SECOND			3	20.00		10	66.67		2	13.33			Excluded		0	0.00		15	
		TOTAL		89	22.82		40	10.26		23	5.90					238	61.03		390	
	THIRD			25	62.50			Excluded		3	7.50					12	30.00		40	
		TOTAL		114	29.23					26	6.67					250	64.10		390	
	FOURTH			12	46.15						Excluded					14	53.85		26	
		TOTAL		126	32.31											264	67.69		390	
																Elected				
																				
Blyth                                                          																				
	FIRST			53	15.27		12	3.46		19	5.48		5	1.44		258	74.35		347	
	SECOND			0	0.00		4	80.00		0	0.00			Excluded		1	20.00		5	
		TOTAL		53	15.27		16	4.61		19	5.48					259	74.64		347	
	THIRD			8	50.00			Excluded		4	25.00					4	25.00		16	
		TOTAL		61	17.58					23	6.63					263	75.79		347	
	FOURTH			12	52.17						Excluded					11	47.83		23	
		TOTAL		73	21.04											274	78.96		347	
																Elected				
																				
Booborowie                                                     																				
	FIRST			28	16.87		1	0.60		13	7.83		2	1.20		122	73.49		166	
	SECOND			1	50.00		1	50.00		0	0.00			Excluded		0	0.00		2	
		TOTAL		29	17.47		2	1.20		13	7.83					122	73.49		166	
	THIRD			1	50.00			Excluded		0	0.00					1	50.00		2	
		TOTAL		30	18.07					13	7.83					123	74.10		166	
	FOURTH			6	46.15						Excluded					7	53.85		13	
		TOTAL		36	21.69											130	78.31		166	
																Elected				
																				
Booleroo Centre                                                																				
	FIRST			24	6.52		9	2.45		25	6.79		1	0.27		309	83.97		368	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		24	6.52		10	2.72		25	6.79					309	83.97		368	
	THIRD			6	60.00			Excluded		3	30.00					1	10.00		10	
		TOTAL		30	8.15					28	7.61					310	84.24		368	
	FOURTH			15	53.57						Excluded					13	46.43		28	
		TOTAL		45	12.23											323	87.77		368	
																Elected				
																				
Brinkworth                                                     																				
	FIRST			21	9.42		11	4.93		22	9.87		1	0.45		168	75.34		223	
	SECOND			0	0.00		1	100.00		0	0.00			Excluded		0	0.00		1	
		TOTAL		21	9.42		12	5.38		22	9.87					168	75.34		223	
	THIRD			4	33.33			Excluded		3	25.00					5	41.67		12	
		TOTAL		25	11.21					25	11.21					173	77.58		223	
	FOURTH			7	28.00						Excluded					18	72.00		25	
		TOTAL		32	14.35											191	85.65		223	
																Elected				
																				
Burra                                                          																				
	FIRST			197	26.66		26	3.52		59	7.98		19	2.57		438	59.27		739	
	SECOND			3	15.79		13	68.42		3	15.79			Excluded		0	0.00		19	
		TOTAL		200	27.06		39	5.28		62	8.39					438	59.27		739	
	THIRD			26	66.67			Excluded		6	15.38					7	17.95		39	
		TOTAL		226	30.58					68	9.20					445	60.22		739	
	FOURTH			39	57.35						Excluded					29	42.65		68	
		TOTAL		265	35.86											474	64.14		739	
																Elected				
																				
Ceduna                                                         																				
	FIRST			372	25.57		58	3.99		85	5.84		36	2.47		904	62.13		1455	
	SECOND			6	16.67		12	33.33		7	19.44			Excluded		11	30.56		36	
		TOTAL		378	25.98		70	4.81		92	6.32					915	62.89		1455	
	THIRD			32	45.71			Excluded		17	24.29					21	30.00		70	
		TOTAL		410	28.18					109	7.49					936	64.33		1455	
	FOURTH			52	47.71						Excluded					57	52.29		109	
		TOTAL		462	31.75											993	68.25		1455	
																Elected				
																				
Clare                                                          																				
	FIRST			499	20.75		154	6.40		119	4.95		73	3.04		1560	64.86		2405	
	SECOND			10	13.70		42	57.53		6	8.22			Excluded		15	20.55		73	
		TOTAL		509	21.16		196	8.15		125	5.20					1575	65.49		2405	
	THIRD			113	57.65			Excluded		20	10.20					63	32.14		196	
		TOTAL		622	25.86					145	6.03					1638	68.11		2405	
	FOURTH			79	54.48						Excluded					66	45.52		145	
		TOTAL		701	29.15											1704	70.85		2405	
																Elected				
																				
Cleve                                                          																				
	FIRST			53	7.22		8	1.09		25	3.41		6	0.82		642	87.47		734	
	SECOND			1	16.67		1	16.67		0	0.00			Excluded		4	66.67		6	
		TOTAL		54	7.36		9	1.23		25	3.41					646	88.01		734	
	THIRD			3	33.33			Excluded		1	11.11					5	55.56		9	
		TOTAL		57	7.77					26	3.54					651	88.69		734	
	FOURTH			7	26.92						Excluded					19	73.08		26	
		TOTAL		64	8.72											670	91.28		734	
																Elected				
																				
Coffin Bay                                                     																				
	FIRST			69	18.90		12	3.29		15	4.11		18	4.93		251	68.77		365	
	SECOND			5	27.78		9	50.00		1	5.56			Excluded		3	16.67		18	
		TOTAL		74	20.27		21	5.75		16	4.38					254	69.59		365	
	THIRD			11	52.38			Excluded		0	0.00					10	47.62		21	
		TOTAL		85	23.29					16	4.38					264	72.33		365	
	FOURTH			7	43.75						Excluded					9	56.25		16	
		TOTAL		92	25.21											273	74.79		365	
																Elected				
																				
Coober Pedy                                                    																				
	FIRST			396	40.24		74	7.52		122	12.40		21	2.13		371	37.70		984	
	SECOND			3	14.29		11	52.38		4	19.05			Excluded		3	14.29		21	
		TOTAL		399	40.55		85	8.64		126	12.80					374	38.01		984	
	THIRD			50	58.82			Excluded		17	20.00					18	21.18		85	
		TOTAL		449	45.63					143	14.53					392	39.84		984	
	FOURTH			86	60.14						Excluded					57	39.86		143	
		TOTAL		535	54.37											449	45.63		984	
																Elected				
																				
Cowell                                                         																				
	FIRST			108	14.90		15	2.07		30	4.14		10	1.38		562	77.52		725	
	SECOND			2	20.00		4	40.00		2	20.00			Excluded		2	20.00		10	
		TOTAL		110	15.17		19	2.62		32	4.41					564	77.79		725	
	THIRD			11	57.89			Excluded		3	15.79					5	26.32		19	
		TOTAL		121	16.69					35	4.83					569	78.48		725	
	FOURTH			12	34.29						Excluded					23	65.71		35	
		TOTAL		133	18.34											592	81.66		725	
																Elected				
																				
Crystal Brook                                                  																				
	FIRST			217	23.01		29	3.08		68	7.21		18	1.91		611	64.79		943	
	SECOND			4	22.22		7	38.89		2	11.11			Excluded		5	27.78		18	
		TOTAL		221	23.44		36	3.82		70	7.42					616	65.32		943	
	THIRD			20	55.56			Excluded		8	22.22					8	22.22		36	
		TOTAL		241	25.56					78	8.27					624	66.17		943	
	FOURTH			49	62.82						Excluded					29	37.18		78	
		TOTAL		290	30.75											653	69.25		943	
																Elected				
																				
Cummins                                                        																				
	FIRST			82	9.93		16	1.94		38	4.60		11	1.33		679	82.20		826	
	SECOND			0	0.00		2	18.18		3	27.27			Excluded		6	54.55		11	
		TOTAL		82	9.93		18	2.18		41	4.96					685	82.93		826	
	THIRD			3	16.67			Excluded		3	16.67					12	66.67		18	
		TOTAL		85	10.29					44	5.33					697	84.38		826	
	FOURTH			18	40.91						Excluded					26	59.09		44	
