House of Representatives - 2001 Election: South Australia																				
Distribution of Preferences																				
By Polling Place																				
																				
Makin																				
				KOWALD			POSTA			REEVES			DRAPER			WOODMAN				
				Rod			Christine			Allon			Trish			Julie				
				HAN			DEM			GRN			LP			ALP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Adelaide (Makin)                                               																				
	FIRST			5	3.65		25	18.25		5	3.65		65	47.45		37	27.01		137	
	SECOND			0	0.00		3	60.00			Excluded		0	0.00		2	40.00		5	
		TOTAL		5	3.65		28	20.44					65	47.45		39	28.47		137	
	THIRD				Excluded		4	80.00					0	0.00		1	20.00		5	
		TOTAL					32	23.36					65	47.45		40	29.20		137	
	FOURTH							Excluded					15	46.88		17	53.13		32	
		TOTAL											80	58.39		57	41.61		137	
													Elected							
																				
Banksia Park                                                   																				
	FIRST			103	4.66		237	10.72		60	2.71		1124	50.86		686	31.04		2210	
	SECOND			4	6.67		35	58.33			Excluded		9	15.00		12	20.00		60	
		TOTAL		107	4.84		272	12.31					1133	51.27		698	31.58		2210	
	THIRD				Excluded		35	32.71					43	40.19		29	27.10		107	
		TOTAL					307	13.89					1176	53.21		727	32.90		2210	
	FOURTH							Excluded					125	40.72		182	59.28		307	
		TOTAL											1301	58.87		909	41.13		2210	
													Elected							
																				
Enfield North (Makin)                                          																				
	FIRST			40	6.86		45	7.72		14	2.40		219	37.56		265	45.45		583	
	SECOND			2	14.29		7	50.00			Excluded		0	0.00		5	35.71		14	
		TOTAL		42	7.20		52	8.92					219	37.56		270	46.31		583	
	THIRD				Excluded		22	52.38					7	16.67		13	30.95		42	
		TOTAL					74	12.69					226	38.77		283	48.54		583	
	FOURTH							Excluded					32	43.24		42	56.76		74	
		TOTAL											258	44.25		325	55.75		583	
													Elected							
																				
Fairview Park                                                  																				
	FIRST			68	3.83		202	11.39		37	2.09		1012	57.05		455	25.65		1774	
	SECOND			3	8.11		15	40.54			Excluded		3	8.11		16	43.24		37	
		TOTAL		71	4.00		217	12.23					1015	57.22		471	26.55		1774	
	THIRD				Excluded		21	29.58					34	47.89		16	22.54		71	
		TOTAL					238	13.42					1049	59.13		487	27.45		1774	
	FOURTH							Excluded					106	44.54		132	55.46		238	
		TOTAL											1155	65.11		619	34.89		1774	
													Elected							
																				
Golden Grove                                                   																				
	FIRST			34	7.71		34	7.71		4	0.91		257	58.28		112	25.40		441	
	SECOND			0	0.00		1	25.00			Excluded		1	25.00		2	50.00		4	
		TOTAL		34	7.71		35	7.94					258	58.50		114	25.85		441	
	THIRD				Excluded		7	20.59					15	44.12		12	35.29		34	
		TOTAL					42	9.52					273	61.90		126	28.57		441	
	FOURTH							Excluded					18	42.86		24	57.14		42	
		TOTAL											291	65.99		150	34.01		441	
													Elected							
																				
Golden Grove Central                                           																				
	FIRST			70	2.93		242	10.14		32	1.34		1190	49.87		852	35.71		2386	
	SECOND			4	12.50		16	50.00			Excluded		5	15.63		7	21.88		32	
		TOTAL		74	3.10		258	10.81					1195	50.08		859	36.00		2386	
	THIRD				Excluded		25	33.78					37	50.00		12	16.22		74	
		TOTAL					283	11.86					1232	51.63		871	36.50		2386	
	FOURTH							Excluded					132	46.64		151	53.36		283	
		TOTAL											1364	57.17		1022	42.83		2386	
													Elected							
																				
Golden Grove East                                              																				
	FIRST			60	3.16		172	9.05		37	1.95		1002	52.74		629	33.11		1900	
	SECOND			2	5.41		20	54.05			Excluded		4	10.81		11	29.73		37	
		TOTAL		62	3.26		192	10.11					1006	52.95		640	33.68		1900	
	THIRD				Excluded		20	32.26					31	50.00		11	17.74		62	
		TOTAL					212	11.16					1037	54.58		651	34.26		1900	
	FOURTH							Excluded					100	47.17		112	52.83		212	
		TOTAL											1137	59.84		763	40.16		1900	
