House of Representatives - 2001 Election: South Australia																							
Distribution of Preferences																							
By Polling Place																							
																							
Port Adelaide																							
				PHILLIPS			BAWDEN			NOONE			SAWFORD			PERTH			KRIEG				
				Andrew			Matilda			Brian			Rod			Michael			Josh				
				HAN			DEM			GRN			ALP						LP				
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total	
Adelaide (Port Adelaide)                                       																							
	FIRST			3	2.78		23	21.30		15	13.89		38	35.19		0	0.00		29	26.85		108	
	SECOND			0	0.00		0	0.00		0	0.00		0	0.00			Excluded		0	0.00		0	
		TOTAL		3	2.78		23	21.30		15	13.89		38	35.19					29	26.85		108	
	THIRD			0	0.00		5	33.33			Excluded		8	53.33					2	13.33		15	
		TOTAL		3	2.78		28	25.93					46	42.59					31	28.70		108	
	FOURTH				Excluded		0	0.00					1	33.33					2	66.67		3	
		TOTAL					28	25.93					47	43.52					33	30.56		108	
	FIFTH							Excluded					18	64.29					10	35.71		28	
		TOTAL											65	60.19					43	39.81		108	
													Elected										
																							
Albert Park                                                    																							
	FIRST			34	3.74		96	10.55		37	4.07		435	47.80		7	0.77		301	33.08		910	
	SECOND			2	28.57		1	14.29		1	14.29		2	28.57			Excluded		1	14.29		7	
		TOTAL		36	3.96		97	10.66		38	4.18		437	48.02					302	33.19		910	
	THIRD			4	10.53		19	50.00			Excluded		11	28.95					4	10.53		38	
		TOTAL		40	4.40		116	12.75					448	49.23					306	33.63		910	
	FOURTH				Excluded		15	37.50					9	22.50					16	40.00		40	
		TOTAL					131	14.40					457	50.22					322	35.38		910	
	FIFTH							Excluded					93	70.99					38	29.01		131	
		TOTAL											550	60.44					360	39.56		910	
													Elected										
																							
Allenby Gardens                                                																							
	FIRST			49	4.00		126	10.28		85	6.93		630	51.39		12	0.98		324	26.43		1226	
	SECOND			1	8.33		3	25.00		4	33.33		2	16.67			Excluded		2	16.67		12	
		TOTAL		50	4.08		129	10.52		89	7.26		632	51.55					326	26.59		1226	
	THIRD			6	6.74		34	38.20			Excluded		46	51.69					3	3.37		89	
		TOTAL		56	4.57		163	13.30					678	55.30					329	26.84		1226	
	FOURTH				Excluded		27	48.21					15	26.79					14	25.00		56	
		TOTAL					190	15.50					693	56.53					343	27.98		1226	
	FIFTH							Excluded					145	76.32					45	23.68		190	
		TOTAL											838	68.35					388	31.65		1226	
													Elected										
																							
Beverley                                                       																							
	FIRST			42	7.29		57	9.90		20	3.47		324	56.25		3	0.52		130	22.57		576	
	SECOND			0	0.00		0	0.00		1	33.33		1	33.33			Excluded		1	33.33		3	
		TOTAL		42	7.29		57	9.90		21	3.65		325	56.42					131	22.74		576	
	THIRD			1	4.76		10	47.62			Excluded		10	47.62					0	0.00		21	
		TOTAL		43	7.47		67	11.63					335	58.16					131	22.74		576	
	FOURTH				Excluded		25	58.14					4	9.30					14	32.56		43	
		TOTAL					92	15.97					339	58.85					145	25.17		576	
	FIFTH							Excluded					73	79.35					19	20.65		92	
		TOTAL											412	71.53					164	28.47		576	
													Elected										
																							
Birkenhead                                                     																							
	FIRST			92	4.77		229	11.88		135	7.01		1102	57.19		29	1.50		340	17.64		1927	
	SECOND			2	6.90		2	6.90		12	41.38		10	34.48			Excluded		3	10.34		29	
