House of Representatives - 2001 Election: South Australia																						
Distribution of Preferences																						
By Polling Place																						
																						
Sturt																						
				RICHARDS			PYNE			AITCHISON			SIMMONS			FARROW			CULLEN			
				Brian			Christopher			Neil			Lindsay			Tim			Mark			
				HAN			LP			IND			ALP			DEM			GRN			
	Count			Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Votes	%		Total
Adelaide (Sturt)                                               																						
	FIRST			2	1.60		48	38.40		3	2.40		30	24.00		34	27.20		8	6.40		125
	SECOND			0	0.00		0	0.00			Excluded		1	33.33		1	33.33		1	33.33		3
		TOTAL		2	1.60		48	38.40					31	24.80		35	28.00		9	7.20		125
	THIRD				Excluded		1	50.00					0	0.00		0	0.00		1	50.00		2
		TOTAL					49	39.20					31	24.80		35	28.00		10	8.00		125
	FOURTH						0	0.00					2	20.00		8	80.00			Excluded		10
		TOTAL					49	39.20					33	26.40		43	34.40					125
	FIFTH						10	23.26					33	76.74			Excluded					43
		TOTAL					59	47.20					66	52.80								125
							Elected															
																						
Beaumont                                                       																						
	FIRST			31	1.39		1563	70.12		23	1.03		368	16.51		174	7.81		70	3.14		2229
	SECOND			3	13.04		11	47.83			Excluded		2	8.70		4	17.39		3	13.04		23
		TOTAL		34	1.53		1574	70.61					370	16.60		178	7.99		73	3.28		2229
	THIRD				Excluded		21	61.76					3	8.82		3	8.82		7	20.59		34
		TOTAL					1595	71.56					373	16.73		181	8.12		80	3.59		2229
	FOURTH						14	17.50					14	17.50		52	65.00			Excluded		80
		TOTAL					1609	72.18					387	17.36		233	10.45					2229
	FIFTH						79	33.91					154	66.09			Excluded					233
		TOTAL					1688	75.73					541	24.27								2229
							Elected															
																						
Beulah Park                                                    																						
	FIRST			38	2.43		723	46.26		17	1.09		500	31.99		195	12.48		90	5.76		1563
	SECOND			1	5.88		5	29.41			Excluded		2	11.76		4	23.53		5	29.41		17
		TOTAL		39	2.50		728	46.58					502	32.12		199	12.73		95	6.08		1563
	THIRD				Excluded		26	66.67					10	25.64		0	0.00		3	7.69		39
		TOTAL					754	48.24					512	32.76		199	12.73		98	6.27		1563
	FOURTH						7	7.14					23	23.47		68	69.39			Excluded		98
		TOTAL					761	48.69					535	34.23		267	17.08					1563
	FIFTH						78	29.21					189	70.79			Excluded					267
		TOTAL					839	53.68					724	46.32								1563
							Elected															
																						
Burnside                                                       																						
	FIRST			69	1.98		2345	67.19		41	1.17		621	17.79		294	8.42		120	3.44		3490
	SECOND			3	7.32		14	34.15			Excluded		9	21.95		9	21.95		6	14.63		41
		TOTAL		72	2.06		2359	67.59					630	18.05		303	8.68		126	3.61		3490
	THIRD				Excluded		46	63.89					6	8.33		5	6.94		15	20.83		72
		TOTAL					2405	68.91					636	18.22		308	8.83		141	4.04		3490
	FOURTH						24	17.02					30	21.28		87	61.70			Excluded		141
		TOTAL					2429	69.60					666	19.08		395	11.32					3490
	FIFTH						135	34.18					260	65.82			Excluded					395
		TOTAL					2564	73.47					926	26.53								3490
							Elected															
																						
Campbelltown                                                   																						
	FIRST			109	3.80		1175	40.98		52	1.81		1090	38.02		328	11.44		113	3.94		2867
	SECOND			9	17.31		11	21.15			Excluded		9	17.31		10	19.23		13	25.00		52
		TOTAL		118	4.12		1186	41.37					1099	38.33		338	11.79		126	4.39		2867
	THIRD				Excluded		56	47.46					36	30.51		11	9.32		15	12.71		118
		TOTAL					1242	43.32					1135	39.59		349	12.17		141	4.92		2867
	FOURTH						16	11.35					38	26.95		87	61.70			Excluded		141
		TOTAL					1258	43.88					1173	40.91		436	15.21					2867
	FIFTH						149	34.17					287	65.83			Excluded					436
		TOTAL					1407	49.08					1460	50.92								2867
							Elected															
																						
Dernancourt                                                    																						
	FIRST			53	3.07		897	52.03		17	0.99		492	28.54		216	12.53		49	2.84		1724
	SECOND			2	11.76		4	23.53			Excluded		2	11.76		4	23.53		5	29.41		17
		TOTAL		55	3.19		901	52.26					494	28.65		220	12.76		54	3.13		1724
	THIRD				Excluded		33	60.00					10	18.18		4	7.27		8	14.55		55
		TOTAL					934	54.18					504	29.23		224	12.99		62	3.60		1724
	FOURTH						11	17.74					15	24.19		36	58.06			Excluded		62
		TOTAL					945	54.81					519	30.10		260	15.08					1724
	FIFTH						88	33.85					172	66.15			Excluded					260
		TOTAL					1033	59.92					691	40.08								1724
							Elected															
																						
Felixstow                                                      																						
	FIRST			39	2.97		588	44.85		16	1.22		476	36.31		154	11.75		38	2.90		1311
	SECOND			3	18.75		6	37.50			Excluded		2	12.50		1	6.25		4	25.00		16
		TOTAL		42	3.20		594	45.31					478	36.46		155	11.82		42	3.20		1311
	THIRD				Excluded		20	47.62					11	26.19		5	11.90		6	14.29		42
		TOTAL					614	46.83					489	37.30		160	12.20		48	3.66		1311
	FOURTH						4	8.33					16	33.33		28	58.33			Excluded		48
		TOTAL					618	47.14					505	38.52		188	14.34					1311
	FIFTH						54	28.72					134	71.28			Excluded					188
		TOTAL					672	51.26					639	48.74								1311
							Elected															
																						
Gilles Plains                                                  																						
	FIRST			28	4.08		309	44.98		21	3.06		248	36.10		74	10.77		7	1.02		687
	SECOND			6	28.57		7	33.33			Excluded		3	14.29		3	14.29		2	9.52		21
		TOTAL		34	4.95		316	46.00					251	36.54		77	11.21		9	1.31		687
	THIRD				Excluded		15	44.12					12	35.29		6	17.65		1	2.94		34
		TOTAL					331	48.18					263	38.28		83	12.08		10	1.46		687
	FOURTH						0	0.00					1	10.00		9	90.00			Excluded		10
		TOTAL					331	48.18					264	38.43		92	13.39					687
	FIFTH						37	40.22					55	59.78			Excluded					92
		TOTAL					368	53.57					319	46.43								687
							Elected															
																						
Gilles Plains East                                             																						
	FIRST			106	7.93		522	39.07		15	1.12		524	39.22		131	9.81		38	2.84		1336
	SECOND			4	26.67		2	13.33			Excluded		3	20.00		1	6.67		5	33.33		15
		TOTAL		110	8.23		524	39.22					527	39.45		132	9.88		43	3.22		1336
	THIRD				Excluded		32	29.09					45	40.91		13	11.82		20	18.18		110
		TOTAL					556	41.62					572	42.81		145	10.85		63	4.72		1336
	FOURTH						8	12.70					16	25.40		39	61.90			Excluded		63
		TOTAL					564	42.22					588	44.01		184	13.77					1336
	FIFTH						65	35.33					119	64.67			Excluded					184
		TOTAL					629	47.08					707	52.92								1336
							Elected															
																						
Glen Osmond                                                    																						
	FIRST			18	2.19		550	66.83		7	0.85		138	16.77		86	10.45		24	2.92		823
	SECOND			0	0.00		3	42.86			Excluded		1	14.29		1	14.29		2	28.57		7
		TOTAL		18	2.19		553	67.19					139	16.89		87	10.57		26	3.16		823
	THIRD				Excluded		8	44.44					5	27.78		3	16.67		2	11.11		18
		TOTAL					561	68.17					144	17.50		90	10.94		28	3.40		823
	FOURTH						5	17.86					7	25.00		16	57.14			Excluded		28
		TOTAL					566	68.77					151	18.35		106	12.88					823
	FIFTH						27	25.47					79	74.53			Excluded					106
		TOTAL					593	72.05					230	27.95								823
							Elected															
																						
Glenunga                                                       																						
	FIRST			16	1.22		852	65.19		12	0.92		242	18.52		130	9.95		55	4.21		1307
	SECOND			2	16.67		3	25.00			Excluded		0	0.00		3	25.00		4	33.33		12
		TOTAL		18	1.38		855	65.42					242	18.52		133	10.18		59	4.51		1307
	THIRD				Excluded		13	72.22					3	16.67		1	5.56		1	5.56		18
		TOTAL					868	66.41					245	18.75		134	10.25		60	4.59		1307
	FOURTH						11	18.33					13	21.67		36	60.00			Excluded		60
		TOTAL					879	67.25					258	19.74		170	13.01					1307
	FIFTH						52	30.59					118	69.41			Excluded					170
		TOTAL					931	71.23					376	28.77								1307
							Elected															
																						
Glenunga North                                                 																						
	FIRST			20	1.43		875	62.41		21	1.50		321	22.90		121	8.63		44	3.14		1402
	SECOND			7	33.33		6	28.57			Excluded		1	4.76		3	14.29		4	19.05		21
		TOTAL		27	1.93		881	62.84					322	22.97		124	8.84		48	3.42		1402
	THIRD				Excluded		14	51.85					2	7.41		3	11.11		8	29.63		27
		TOTAL					895	63.84					324	23.11		127	9.06		56	3.99		1402
	FOURTH						4	7.14					13	23.21		39	69.64			Excluded		56
		TOTAL					899	64.12					337	24.04		166	11.84					1402
	FIFTH						59	35.54					107	64.46			Excluded					166
		TOTAL					958	68.33					444	31.67								1402
							Elected															
																						
Glynde                                                         																						
	FIRST			47	3.03		661	42.56		20	1.29		608	39.15		164	10.56		53	3.41		1553
	SECOND			4	20.00		5	25.00			Excluded		5	25.00		3	15.00		3	15.00		20
		TOTAL		51	3.28		666	42.88					613	39.47		167	10.75		56	3.61		1553
	THIRD				Excluded		28	54.90					9	17.65		4	7.84		10	19.61		51
		TOTAL					694	44.69					622	40.05		171	11.01		66	4.25		1553
	FOURTH						9	13.64					12	18.18		45	68.18			Excluded		66
		TOTAL					703	45.27					634	40.82		216	13.91					1553
	FIFTH						51	23.61					165	76.39			Excluded					216
		TOTAL					754	48.55					799	51.45								1553
							Elected															
																						
Hectorville North                                              																						
	FIRST			96	4.64		803	38.83		32	1.55		868	41.97		199	9.62		70	3.38		2068
	SECOND			6	18.75		7	21.88			Excluded		8	25.00		9	28.13		2	6.25		32
		TOTAL		102	4.93		810	39.17					876	42.36		208	10.06		72	3.48		2068
	THIRD				Excluded		59	57.84					28	27.45		5	4.90		10	9.80		102
		TOTAL					869	42.02					904	43.71		213	10.30		82	3.97		2068
	FOURTH						6	7.32					18	21.95		58	70.73			Excluded		82
		TOTAL					875	42.31					922	44.58		271	13.10					2068
	FIFTH						93	34.32					178	65.68			Excluded					271
		TOTAL					968	46.81					1100	53.19								2068
							Elected															
																						
Highbury East                                                  																						
	FIRST			65	4.28		751	49.51		18	1.19		440	29.00		189	12.46		54	3.56		1517
	SECOND			1	5.56		2	11.11			Excluded		3	16.67		6	33.33		6	33.33		18
		TOTAL		66	4.35		753	49.64					443	29.20		195	12.85		60	3.96		1517
	THIRD				Excluded		22	33.33					27	40.91		7	10.61		10	15.15		66
		TOTAL					775	51.09					470	30.98		202	13.32		70	4.61		1517
	FOURTH						12	17.14					12	17.14		46	65.71			Excluded		70
		TOTAL					787	51.88					482	31.77		248	16.35					1517
	FIFTH						109	43.95					139	56.05			Excluded					248
		TOTAL					896	59.06					621	40.94								1517
							Elected															
																						
Highbury South (Sturt)                                         																						
	FIRST			74	4.30		842	48.95		35	2.03		517	30.06		201	11.69		51	2.97		1720
	SECOND			3	8.57		10	28.57			Excluded		9	25.71		7	20.00		6	17.14		35
		TOTAL		77	4.48		852	49.53					526	30.58		208	12.09		57	3.31		1720
	THIRD				Excluded		39	50.65					13	16.88		7	9.09		18	23.38		77
		TOTAL					891	51.80					539	31.34		215	12.50		75	4.36		1720
	FOURTH						16	21.33					16	21.33		43	57.33			Excluded		75
		TOTAL					907	52.73					555	32.27		258	15.00					1720
	FIFTH						91	35.27					167	64.73			Excluded					258
		TOTAL					998	58.02					722	41.98								1720
							Elected															
																						
Hillcrest                                                      																						
