Senate - 2001 Election: South Australia																																							
First Preference Votes by Group  																																							
By Polling Place																																							

Adelaide (86538)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adelaide (Adelaide)		99	30.37		30	9.20		8	2.45		1	0.31		104	31.90		1	0.31		0	0.00		1	0.31		82	25.15		0	0.00		326	96.45		12	3.55		338	0.41
Adelaide East		222	24.34		80	8.77		11	1.21		7	0.77		409	44.85		0	0.00		0	0.00		3	0.33		180	19.74		0	0.00		912	98.92		10	1.08		922	1.12
Adelaide Hospital		93	25.76		31	8.59		7	1.94		3	0.83		143	39.61		0	0.00		0	0.00		1	0.28		83	22.99		0	0.00		361	97.83		8	2.17		369	0.45
Adelaide South		498	30.91		161	9.99		23	1.43		18	1.12		588	36.50		3	0.19		0	0.00		1	0.06		318	19.74		1	0.06		1611	96.76		54	3.24		1665	2.02
Adelaide West		148	38.05		38	9.77		8	2.06		5	1.29		109	28.02		0	0.00		0	0.00		2	0.51		79	20.31		0	0.00		389	97.01		12	2.99		401	0.49
Black Forest East		617	30.38		114	5.61		32	1.58		8	0.39		876	43.13		0	0.00		0	0.00		2	0.10		381	18.76		1	0.05		2031	97.55		51	2.45		2082	2.53
Blair Athol North		773	55.21		27	1.93		50	3.57		1	0.07		406	29.00		2	0.14		0	0.00		3	0.21		138	9.86		0	0.00		1400	94.59		80	5.41		1480	1.80
Broadview		581	29.98		56	2.89		32	1.65		2	0.10		980	50.57		2	0.10		2	0.10		1	0.05		279	14.40		3	0.15		1938	96.71		66	3.29		2004	2.43
Brompton		549	40.76		136	10.10		35	2.60		1	0.07		352	26.13		0	0.00		1	0.07		4	0.30		269	19.97		0	0.00		1347	97.33		37	2.67		1384	1.68
Clarence Park		288	25.49		62	5.49		29	2.57		2	0.18		550	48.67		0	0.00		0	0.00		4	0.35		189	16.73		6	0.53		1130	97.08		34	2.92		1164	1.41
College Park		284	24.05		76	6.44		25	2.12		3	0.25		597	50.55		1	0.08		0	0.00		3	0.25		190	16.09		2	0.17		1181	97.28		33	2.72		1214	1.47
Croydon (Adelaide)		176	52.69		18	5.39		10	2.99		0	0.00		97	29.04		0	0.00		0	0.00		0	0.00		33	9.88		0	0.00		334	94.62		19	5.38		353	0.43
Croydon Park		1004	58.92		32	1.88		74	4.34		2	0.12		461	27.05		2	0.12		0	0.00		2	0.12		127	7.45		0	0.00		1704	94.51		99	5.49		1803	2.19
Croydon Park West (Adelaide)		264	62.41		7	1.65		12	2.84		0	0.00		114	26.95		0	0.00		0	0.00		0	0.00		26	6.15		0	0.00		423	93.58		29	6.42		452	0.55
Enfield		562	41.57		32	2.37		54	3.99		1	0.07		563	41.64		0	0.00		0	0.00		1	0.07		138	10.21		1	0.07		1352	95.55		63	4.45		1415	1.72
Enfield North (Adelaide)		537	45.74		39	3.32		56	4.77		4	0.34		402	34.24		0	0.00		0	0.00		5	0.43		130	11.07		1	0.09		1174	97.51		30	2.49		1204	1.46
Enfield South		478	39.05		38	3.10		34	2.78		5	0.41		492	40.20		1	0.08		2	0.16		2	0.16		172	14.05		0	0.00		1224	97.30		34	2.70		1258	1.53
