Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Barker (87836)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Allendale East		65	22.34		9	3.09		24	8.25		2	0.69		171	58.76		0	0.00		0	0.00		1	0.34		19	6.53		0	0.00		291	97.00		9	3.00		300	0.35
American River		38	20.99		4	2.21		24	13.26		0	0.00		88	48.62		0	0.00		0	0.00		0	0.00		26	14.36		1	0.55		181	96.28		7	3.72		188	0.22
Ashbourne		27	20.61		8	6.11		11	8.40		0	0.00		68	51.91		0	0.00		0	0.00		0	0.00		17	12.98		0	0.00		131	98.50		2	1.50		133	0.16
Beachport		106	23.04		19	4.13		42	9.13		0	0.00		272	59.13		1	0.22		0	0.00		3	0.65		17	3.70		0	0.00		460	98.29		8	1.71		468	0.55
Bordertown		310	16.90		33	1.80		88	4.80		4	0.22		1302	70.99		1	0.05		0	0.00		2	0.11		94	5.13		0	0.00		1834	96.78		61	3.22		1895	2.24
Cambrai		53	22.84		6	2.59		33	14.22		0	0.00		123	53.02		0	0.00		0	0.00		0	0.00		17	7.33		0	0.00		232	97.07		7	2.93		239	0.28
Carpenter Rocks		47	23.62		6	3.02		44	22.11		0	0.00		96	48.24		0	0.00		0	0.00		1	0.50		4	2.01		1	0.50		199	95.22		10	4.78		209	0.25
Compton		58	16.52		2	0.57		37	10.54		0	0.00		223	63.53		0	0.00		0	0.00		1	0.28		30	8.55		0	0.00		351	97.77		8	2.23		359	0.42
Coomandook		10	5.71		2	1.14		12	6.86		0	0.00		139	79.43		0	0.00		0	0.00		0	0.00		12	6.86		0	0.00		175	98.87		2	1.13		177	0.21
Coonalpyn		35	12.07		1	0.34		19	6.55		1	0.34		224	77.24		0	0.00		0	0.00		0	0.00		10	3.45		0	0.00		290	97.97		6	2.03		296	0.35
Coonawarra		18	8.53		5	2.37		7	3.32		0	0.00		163	77.25		0	0.00		1	0.47		1	0.47		15	7.11		1	0.47		211	98.14		4	1.86		215	0.25
Currency Creek		60	15.79		15	3.95		38	10.00		0	0.00		225	59.21		0	0.00		0	0.00		0	0.00		41	10.79		1	0.26		380	96.20		15	3.80		395	0.47
Delamere		49	22.17		16	7.24		20	9.05		0	0.00		114	51.58		0	0.00		0	0.00		0	0.00		21	9.50		1	0.45		221	98.22		4	1.78		225	0.27
Frances		13	10.74		1	0.83		16	13.22		0	0.00		89	73.55		0	0.00		0	0.00		0	0.00		2	1.65		0	0.00		121	99.18		1	0.82		122	0.14
Furner		8	5.97		2	1.49		8	5.97		0	0.00		110	82.09		0	0.00		0	0.00		0	0.00		6	4.48		0	0.00		134	98.53		2	1.47		136	0.16
Geranium		11	8.21		5	3.73		8	5.97		0	0.00		97	72.39		0	0.00		0	0.00		0	0.00		13	9.70		0	0.00		134	96.40		5	3.60		139	0.16
Glenburnie		53	26.24		4	1.98		32	15.84		0	0.00		100	49.50		0	0.00		0	0.00		0	0.00		13	6.44		0	0.00		202	95.73		9	4.27		211	0.25
