Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Boothby (89617)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aberfoyle Park North (Boothby)		132	24.04		15	2.73		28	5.10		2	0.36		270	49.18		0	0.00		0	0.00		1	0.18		101	18.40		0	0.00		549	97.34		15	2.66		564	0.65
Adelaide (Boothby)		35	26.32		6	4.51		1	0.75		0	0.00		48	36.09		0	0.00		0	0.00		0	0.00		43	32.33		0	0.00		133	97.79		3	2.21		136	0.16
Bedford Park		211	29.02		35	4.81		27	3.71		3	0.41		297	40.85		1	0.14		1	0.14		0	0.00		152	20.91		0	0.00		727	96.80		24	3.20		751	0.87
Belair		806	19.92		254	6.28		83	2.05		4	0.10		1899	46.92		1	0.02		0	0.00		11	0.27		986	24.36		3	0.07		4047	97.59		100	2.41		4147	4.81
Bellevue Heights		410	21.56		69	3.63		48	2.52		2	0.11		999	52.52		2	0.11		2	0.11		2	0.11		367	19.30		1	0.05		1902	97.29		53	2.71		1955	2.27
Blackwood		432	18.47		124	5.30		54	2.31		2	0.09		1175	50.24		5	0.21		1	0.04		3	0.13		536	22.92		7	0.30		2339	97.99		48	2.01		2387	2.77
Blackwood Central		282	20.54		83	6.05		30	2.18		1	0.07		640	46.61		0	0.00		1	0.07		1	0.07		333	24.25		2	0.15		1373	97.58		34	2.42		1407	1.63
Brighton		784	23.65		141	4.25		104	3.14		4	0.12		1757	53.00		2	0.06		1	0.03		2	0.06		515	15.54		5	0.15		3315	97.19		96	2.81		3411	3.95
Brighton South		284	27.60		43	4.18		41	3.98		0	0.00		516	50.15		1	0.10		0	0.00		2	0.19		141	13.70		1	0.10		1029	97.08		31	2.92		1060	1.23
Clapham		387	19.55		94	4.75		37	1.87		3	0.15		1052	53.13		0	0.00		0	0.00		4	0.20		398	20.10		5	0.25		1980	96.68		68	3.32		2048	2.37
Clarence Gardens		229	26.75		33	3.86		18	2.10		1	0.12		413	48.25		0	0.00		2	0.23		0	0.00		159	18.57		1	0.12		856	97.38		23	2.62		879	1.02
Colonel Light Gardens		487	26.45		44	2.39		48	2.61		0	0.00		838	45.52		0	0.00		0	0.00		1	0.05		418	22.71		5	0.27		1841	97.30		51	2.70		1892	2.19
Coromandel Valley (Boothby)		129	20.03		28	4.35		5	0.78		0	0.00		295	45.81		0	0.00		1	0.16		0	0.00		182	28.26		4	0.62		644	97.72		15	2.28		659	0.76
Darlington		659	35.22		64	3.42		86	4.60		4	0.21		782	41.80		2	0.11		3	0.16		2	0.11		267	14.27		2	0.11		1871	95.85		81	4.15		1952	2.26
Daw Park		568	31.31		67	3.69		48	2.65		4	0.22		794	43.77		1	0.06		1	0.06		3	0.17		326	17.97		2	0.11		1814	97.58		45	2.42		1859	2.15
Dover Gardens		647	35.20		70	3.81		79	4.30		2	0.11		718	39.06		2	0.11		0	0.00		5	0.27		314	17.08		1	0.05		1838	96.48		67	3.52		1905	2.21
Eden Hills		341	25.50		80	5.98		34	2.54		1	0.07		551	41.21		0	0.00		2	0.15		2	0.15		325	24.31		1	0.07		1337	98.24		24	1.76		1361	1.58
