Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Grey (85745)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Andamooka		79	34.96		4	1.77		39	17.26		0	0.00		94	41.59		0	0.00		0	0.00		1	0.44		8	3.54		1	0.44		226	93.39		16	6.61		242	0.30
Arno Bay		33	13.98		3	1.27		30	12.71		0	0.00		164	69.49		0	0.00		0	0.00		0	0.00		6	2.54		0	0.00		236	96.33		9	3.67		245	0.30
Auburn		81	20.35		9	2.26		26	6.53		0	0.00		232	58.29		0	0.00		0	0.00		2	0.50		48	12.06		0	0.00		398	97.07		12	2.93		410	0.50
Blyth		49	13.61		8	2.22		29	8.06		1	0.28		253	70.28		1	0.28		1	0.28		0	0.00		17	4.72		1	0.28		360	97.30		10	2.70		370	0.45
Booborowie		31	18.24		1	0.59		9	5.29		0	0.00		124	72.94		1	0.59		0	0.00		0	0.00		3	1.76		1	0.59		170	96.05		7	3.95		177	0.22
Booleroo Centre		27	7.28		3	0.81		24	6.47		0	0.00		303	81.67		0	0.00		0	0.00		0	0.00		13	3.50		1	0.27		371	97.63		9	2.37		380	0.47
Brinkworth		18	7.86		0	0.00		23	10.04		0	0.00		172	75.11		0	0.00		0	0.00		1	0.44		14	6.11		1	0.44		229	96.22		9	3.78		238	0.29
Burra		192	25.74		22	2.95		62	8.31		0	0.00		423	56.70		0	0.00		0	0.00		1	0.13		45	6.03		1	0.13		746	94.07		47	5.93		793	0.97
Ceduna		408	27.44		38	2.56		90	6.05		0	0.00		857	57.63		0	0.00		1	0.07		4	0.27		88	5.92		1	0.07		1487	96.43		55	3.57		1542	1.89
Clare		498	20.46		68	2.79		129	5.30		3	0.12		1482	60.89		1	0.04		2	0.08		4	0.16		246	10.11		1	0.04		2434	96.78		81	3.22		2515	3.09
Cleve		64	8.61		6	0.81		31	4.17		0	0.00		626	84.25		1	0.13		0	0.00		1	0.13		13	1.75		1	0.13		743	97.51		19	2.49		762	0.94
Coffin Bay		66	17.74		19	5.11		17	4.57		0	0.00		239	64.25		0	0.00		0	0.00		1	0.27		30	8.06		0	0.00		372	98.15		7	1.85		379	0.47
Coober Pedy		424	42.06		16	1.59		107	10.62		0	0.00		386	38.29		0	0.00		0	0.00		6	0.60		68	6.75		1	0.10		1008	93.07		75	6.93		1083	1.33
Cowell		110	14.91		20	2.71		42	5.69		0	0.00		541	73.31		0	0.00		1	0.14		0	0.00		23	3.12		1	0.14		738	97.36		20	2.64		758	0.93
Crystal Brook		235	25.03		16	1.70		65	6.92		0	0.00		574	61.13		0	0.00		0	0.00		0	0.00		49	5.22		0	0.00		939	96.21		37	3.79		976	1.20
Cummins		91	10.92		11	1.32		45	5.40		0	0.00		654	78.51		0	0.00		0	0.00		0	0.00		32	3.84		0	0.00		833	98.12		16	1.88		849	1.04
Darke Peak		3	3.00		0	0.00		7	7.00		0	0.00		85	85.00		0	0.00		0	0.00		1	1.00		4	4.00		0	0.00		100	96.15		4	3.85		104	0.13
