Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Hindmarsh (84806)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adelaide (Hindmarsh)		43	30.71		6	4.29		3	2.14		0	0.00		51	36.43		0	0.00		1	0.71		0	0.00		36	25.71		0	0.00		140	96.55		5	3.45		145	0.18
Ascot Park South		396	41.55		31	3.25		36	3.78		1	0.10		375	39.35		3	0.31		1	0.10		4	0.42		105	11.02		1	0.10		953	94.73		53	5.27		1006	1.24
Brooklyn Park		896	44.40		89	4.41		55	2.73		2	0.10		750	37.17		1	0.05		0	0.00		1	0.05		222	11.00		2	0.10		2018	95.10		104	4.90		2122	2.61
Brooklyn Park South		445	37.87		31	2.64		33	2.81		2	0.17		512	43.57		0	0.00		1	0.09		1	0.09		148	12.60		2	0.17		1175	95.61		54	4.39		1229	1.51
Camden Park		432	39.67		24	2.20		50	4.59		1	0.09		481	44.17		1	0.09		1	0.09		3	0.28		96	8.82		0	0.00		1089	95.69		49	4.31		1138	1.40
Cowandilla		1031	54.90		67	3.57		45	2.40		3	0.16		517	27.53		2	0.11		1	0.05		3	0.16		207	11.02		2	0.11		1878	95.62		86	4.38		1964	2.41
Cowandilla West		308	45.83		37	5.51		8	1.19		0	0.00		239	35.57		0	0.00		0	0.00		1	0.15		79	11.76		0	0.00		672	95.45		32	4.55		704	0.86
Edwardstown		584	38.70		47	3.11		64	4.24		1	0.07		585	38.77		1	0.07		1	0.07		4	0.27		219	14.51		3	0.20		1509	96.61		53	3.39		1562	1.92
Flinders Park		1346	44.63		73	2.42		94	3.12		2	0.07		1178	39.06		4	0.13		2	0.07		6	0.20		310	10.28		1	0.03		3016	96.27		117	3.73		3133	3.85
Forbes		968	41.40		57	2.44		86	3.68		4	0.17		957	40.93		3	0.13		2	0.09		3	0.13		256	10.95		2	0.09		2338	96.06		96	3.94		2434	2.99
Fulham		568	31.80		50	2.80		46	2.58		1	0.06		932	52.18		3	0.17		1	0.06		2	0.11		182	10.19		1	0.06		1786	96.59		63	3.41		1849	2.27
Fulham Gardens		1350	40.58		95	2.86		96	2.89		3	0.09		1392	41.84		4	0.12		1	0.03		2	0.06		383	11.51		1	0.03		3327	95.66		151	4.34		3478	4.27
Glandore		365	29.82		68	5.56		39	3.19		3	0.25		554	45.26		1	0.08		1	0.08		1	0.08		190	15.52		2	0.16		1224	97.92		26	2.08		1250	1.54
Glenelg Central		449	27.05		66	3.98		51	3.07		0	0.00		902	54.34		0	0.00		2	0.12		4	0.24		186	11.20		0	0.00		1660	96.51		60	3.49		1720	2.11
Glenelg East		458	27.41		61	3.65		48	2.87		2	0.12		873	52.24		0	0.00		1	0.06		2	0.12		225	13.46		1	0.06		1671	97.26		47	2.74		1718	2.11
Glenelg North		683	26.33		107	4.12		68	2.62		3	0.12		1426	54.97		4	0.15		1	0.04		2	0.08		296	11.41		4	0.15		2594	97.04		79	2.96		2673	3.28
Glenelg South		398	21.14		92	4.89		52	2.76		1	0.05		1138	60.44		0	0.00		0	0.00		3	0.16		197	10.46		2	0.11		1883	96.71		64	3.29		1947	2.39
