Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Kingston (85398)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adelaide (Kingston)		32	31.07		5	4.85		3	2.91		0	0.00		40	38.83		0	0.00		0	0.00		0	0.00		23	22.33		0	0.00		103	98.10		2	1.90		105	0.13
Aldinga Beach		1023	32.55		221	7.03		197	6.27		1	0.03		1205	38.34		1	0.03		0	0.00		3	0.10		490	15.59		2	0.06		3143	95.30		155	4.70		3298	4.01
Christie Downs		1008	47.84		59	2.80		120	5.70		3	0.14		617	29.28		2	0.09		2	0.09		1	0.05		292	13.86		3	0.14		2107	94.02		134	5.98		2241	2.72
Christies Beach		947	42.28		95	4.24		113	5.04		3	0.13		809	36.12		0	0.00		0	0.00		4	0.18		268	11.96		1	0.04		2240	95.16		114	4.84		2354	2.86
Christies North		163	38.44		23	5.42		26	6.13		1	0.24		151	35.61		0	0.00		0	0.00		0	0.00		58	13.68		2	0.47		424	98.38		7	1.62		431	0.52
Hackham		995	47.84		51	2.45		127	6.11		2	0.10		630	30.29		2	0.10		2	0.10		3	0.14		263	12.64		5	0.24		2080	94.89		112	5.11		2192	2.66
Hackham East		1249	36.89		102	3.01		172	5.08		2	0.06		1373	40.55		3	0.09		2	0.06		7	0.21		473	13.97		3	0.09		3386	96.69		116	3.31		3502	4.26
Hackham South		728	46.61		51	3.27		79	5.06		2	0.13		495	31.69		1	0.06		0	0.00		4	0.26		202	12.93		0	0.00		1562	96.36		59	3.64		1621	1.97
Hallett Cove		926	32.24		83	2.89		100	3.48		2	0.07		1315	45.79		3	0.10		2	0.07		5	0.17		434	15.11		2	0.07		2872	96.83		94	3.17		2966	3.60
Happy Valley (Kingston)		352	25.77		46	3.37		29	2.12		1	0.07		705	51.61		1	0.07		0	0.00		4	0.29		228	16.69		0	0.00		1366	97.57		34	2.43		1400	1.70
Karrara		1160	32.73		75	2.12		122	3.44		0	0.00		1673	47.21		2	0.06		1	0.03		6	0.17		502	14.16		3	0.08		3544	97.79		80	2.21		3624	4.40
Lonsdale		409	46.21		28	3.16		70	7.91		0	0.00		254	28.70		1	0.11		3	0.34		0	0.00		120	13.56		0	0.00		885	96.41		33	3.59		918	1.12
Maslin Beach		201	36.81		40	7.33		24	4.40		0	0.00		179	32.78		1	0.18		0	0.00		1	0.18		99	18.13		1	0.18		546	96.64		19	3.36		565	0.69
Moana		880	38.16		64	2.78		119	5.16		2	0.09		894	38.77		1	0.04		0	0.00		3	0.13		342	14.83		1	0.04		2306	95.96		97	4.04		2403	2.92
Morphett Vale		1535	43.20		87	2.45		183	5.15		4	0.11		1233	34.70		3	0.08		1	0.03		9	0.25		496	13.96		2	0.06		3553	96.76		119	3.24		3672	4.46
Morphett Vale East		963	37.28		64	2.48		109	4.22		2	0.08		1054	40.81		4	0.15		5	0.19		5	0.19		374	14.48		3	0.12		2583	97.29		72	2.71		2655	3.23
Morphett Vale North		601	38.95		40	2.59		72	4.67		1	0.06		613	39.73		0	0.00		1	0.06		2	0.13		209	13.55		4	0.26		1543	95.90		66	4.10		1609	1.96
