Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Makin (88248)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adelaide (Makin)		45	31.47		4	2.80		6	4.20		0	0.00		65	45.45		0	0.00		0	0.00		1	0.70		22	15.38		0	0.00		143	95.97		6	4.03		149	0.17
Banksia Park		645	28.55		64	2.83		104	4.60		3	0.13		1108	49.05		1	0.04		3	0.13		4	0.18		325	14.39		2	0.09		2259	97.20		65	2.80		2324	2.72
Enfield North (Makin)		272	45.03		7	1.16		38	6.29		0	0.00		222	36.75		0	0.00		0	0.00		1	0.17		63	10.43		1	0.17		604	97.26		17	2.74		621	0.73
Fairview Park		439	24.40		31	1.72		65	3.61		1	0.06		995	55.31		0	0.00		1	0.06		0	0.00		265	14.73		2	0.11		1799	97.24		51	2.76		1850	2.17
Golden Grove		103	23.04		6	1.34		33	7.38		0	0.00		252	56.38		0	0.00		0	0.00		0	0.00		53	11.86		0	0.00		447	97.17		13	2.83		460	0.54
Golden Grove Central		841	34.30		34	1.39		68	2.77		3	0.12		1185	48.33		1	0.04		2	0.08		4	0.16		311	12.68		3	0.12		2452	97.42		65	2.58		2517	2.95
Golden Grove East		612	31.48		25	1.29		59	3.03		1	0.05		1003	51.59		7	0.36		0	0.00		0	0.00		236	12.14		1	0.05		1944	98.83		23	1.17		1967	2.31
Greenwith		1366	31.71		74	1.72		112	2.60		4	0.09		2188	50.79		11	0.26		1	0.02		9	0.21		542	12.58		1	0.02		4308	98.24		77	1.76		4385	5.14
Holden Hill North		509	36.12		34	2.41		53	3.76		1	0.07		645	45.78		1	0.07		0	0.00		2	0.14		162	11.50		2	0.14		1409	95.92		60	4.08		1469	1.72
Hope Valley		430	34.96		33	2.68		45	3.66		1	0.08		548	44.55		0	0.00		0	0.00		2	0.16		168	13.66		3	0.24		1230	96.09		50	3.91		1280	1.50
Ingle Farm		1798	45.39		75	1.89		208	5.25		2	0.05		1382	34.89		4	0.10		2	0.05		6	0.15		475	11.99		9	0.23		3961	96.66		137	3.34		4098	4.80
Ingle Farm North		506	49.32		19	1.85		57	5.56		1	0.10		299	29.14		0	0.00		0	0.00		3	0.29		140	13.65		1	0.10		1026	97.07		31	2.93		1057	1.24
Modbury Central		742	34.62		58	2.71		103	4.81		1	0.05		949	44.28		2	0.09		1	0.05		3	0.14		281	13.11		3	0.14		2143	97.06		65	2.94		2208	2.59
Modbury Heights		1121	33.63		86	2.58		122	3.66		2	0.06		1537	46.11		1	0.03		1	0.03		8	0.24		451	13.53		4	0.12		3333	97.51		85	2.49		3418	4.01
Modbury North		934	34.67		64	2.38		127	4.71		3	0.11		1215	45.10		2	0.07		0	0.00		0	0.00		347	12.88		2	0.07		2694	97.36		73	2.64		2767	3.24
Modbury West		1067	35.60		66	2.20		124	4.14		4	0.13		1316	43.91		4	0.13		3	0.10		3	0.10		408	13.61		2	0.07		2997	97.21		86	2.79		3083	3.61
Para Hills		1448	39.39		97	2.64		170	4.62		1	0.03		1496	40.70		4	0.11		0	0.00		7	0.19		448	12.19		5	0.14		3676	96.28		142	3.72		3818	4.47
