Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Mayo (86319)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Aberfoyle Park		967	27.05		107	2.99		108	3.02		4	0.11		1738	48.62		2	0.06		5	0.14		3	0.08		637	17.82		4	0.11		3575	97.78		81	2.22		3656	4.39
Aberfoyle Park North (Mayo)		524	24.36		46	2.14		50	2.32		1	0.05		1156	53.74		3	0.14		3	0.14		1	0.05		365	16.97		2	0.09		2151	97.95		45	2.05		2196	2.64
Aberfoyle Park South		250	26.80		18	1.93		29	3.11		0	0.00		462	49.52		0	0.00		0	0.00		4	0.43		169	18.11		1	0.11		933	97.59		23	2.41		956	1.15
Adelaide (Mayo)		23	21.50		6	5.61		2	1.87		0	0.00		44	41.12		0	0.00		0	0.00		2	1.87		30	28.04		0	0.00		107	98.17		2	1.83		109	0.13
Aldgate		395	20.09		214	10.89		38	1.93		4	0.20		886	45.07		0	0.00		1	0.05		4	0.20		422	21.46		2	0.10		1966	98.40		32	1.60		1998	2.40
Athelstone		1104	28.88		104	2.72		88	2.30		2	0.05		1878	49.12		6	0.16		3	0.08		12	0.31		621	16.24		5	0.13		3823	97.03		117	2.97		3940	4.74
Athelstone West		1161	34.12		72	2.12		61	1.79		1	0.03		1640	48.19		5	0.15		5	0.15		10	0.29		447	13.14		1	0.03		3403	95.67		154	4.33		3557	4.28
Balhannah		264	18.22		62	4.28		49	3.38		1	0.07		837	57.76		0	0.00		1	0.07		3	0.21		231	15.94		1	0.07		1449	98.37		24	1.63		1473	1.77
Basket Range		19	14.73		13	10.08		5	3.88		0	0.00		59	45.74		0	0.00		0	0.00		0	0.00		33	25.58		0	0.00		129	98.47		2	1.53		131	0.16
Bridgewater		332	20.17		132	8.02		44	2.67		0	0.00		768	46.66		0	0.00		0	0.00		3	0.18		366	22.24		1	0.06		1646	97.74		38	2.26		1684	2.02
Brukunga		43	23.37		10	5.43		18	9.78		0	0.00		87	47.28		0	0.00		0	0.00		0	0.00		26	14.13		0	0.00		184	95.34		9	4.66		193	0.23
Callington		60	20.07		18	6.02		19	6.35		0	0.00		154	51.51		0	0.00		0	0.00		0	0.00		48	16.05		0	0.00		299	99.01		3	0.99		302	0.36
Charleston		39	15.92		4	1.63		23	9.39		0	0.00		158	64.49		0	0.00		0	0.00		0	0.00		21	8.57		0	0.00		245	96.46		9	3.54		254	0.31
Cherry Gardens		86	15.55		27	4.88		27	4.88		2	0.36		323	58.41		0	0.00		0	0.00		0	0.00		87	15.73		1	0.18		553	97.19		16	2.81		569	0.68
Clarendon		89	19.56		17	3.74		12	2.64		1	0.22		247	54.29		0	0.00		1	0.22		1	0.22		87	19.12		0	0.00		455	97.64		11	2.36		466	0.56
Coromandel Valley (Mayo)		204	17.36		62	5.28		14	1.19		3	0.26		638	54.30		1	0.09		0	0.00		2	0.17		250	21.28		1	0.09		1175	97.75		27	2.25		1202	1.44
Crafers		264	19.21		106	7.71		34	2.47		2	0.15		690	50.22		1	0.07		1	0.07		5	0.36		268	19.51		3	0.22		1374	98.49		21	1.51		1395	1.68
