Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Port Adelaide (86297)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adelaide (Port Adelaide)		41	36.94		9	8.11		3	2.70		0	0.00		34	30.63		0	0.00		0	0.00		0	0.00		24	21.62		0	0.00		111	97.37		3	2.63		114	0.14
Albert Park		426	45.13		32	3.39		33	3.50		0	0.00		339	35.91		1	0.11		0	0.00		0	0.00		112	11.86		1	0.11		944	95.35		46	4.65		990	1.20
Allenby Gardens		633	49.30		72	5.61		41	3.19		5	0.39		360	28.04		1	0.08		2	0.16		2	0.16		167	13.01		1	0.08		1284	97.57		32	2.43		1316	1.60
Beverley		338	54.87		18	2.92		29	4.71		0	0.00		156	25.32		0	0.00		0	0.00		3	0.49		71	11.53		1	0.16		616	96.86		20	3.14		636	0.77
Birkenhead		1059	53.51		107	5.41		76	3.84		1	0.05		426	21.53		0	0.00		0	0.00		9	0.45		299	15.11		2	0.10		1979	96.35		75	3.65		2054	2.49
Cheltenham		628	43.76		63	4.39		64	4.46		0	0.00		469	32.68		2	0.14		1	0.07		6	0.42		201	14.01		1	0.07		1435	95.99		60	4.01		1495	1.81
Croydon (Port Adelaide)		490	51.58		62	6.53		15	1.58		0	0.00		256	26.95		0	0.00		0	0.00		2	0.21		125	13.16		0	0.00		950	97.44		25	2.56		975	1.18
Croydon Park West (Port Adelaide)		193	53.91		11	3.07		21	5.87		1	0.28		88	24.58		2	0.56		1	0.28		1	0.28		40	11.17		0	0.00		358	94.71		20	5.29		378	0.46
Ethelton		468	50.11		39	4.18		30	3.21		2	0.21		281	30.09		2	0.21		0	0.00		2	0.21		109	11.67		1	0.11		934	96.49		34	3.51		968	1.17
Ferryden Park		663	65.06		23	2.26		44	4.32		2	0.20		190	18.65		0	0.00		1	0.10		0	0.00		94	9.22		2	0.20		1019	95.50		48	4.50		1067	1.29
Findon		882	51.16		46	2.67		57	3.31		3	0.17		577	33.47		2	0.12		0	0.00		5	0.29		150	8.70		2	0.12		1724	93.80		114	6.20		1838	2.23
Findon North		514	47.77		22	2.04		36	3.35		3	0.28		362	33.64		1	0.09		0	0.00		1	0.09		135	12.55		2	0.19		1076	94.30		65	5.70		1141	1.38
Grange		1145	34.60		156	4.71		92	2.78		1	0.03		1460	44.12		3	0.09		1	0.03		2	0.06		449	13.57		0	0.00		3309	97.38		89	2.62		3398	4.12
Kilkenny		525	50.77		46	4.45		38	3.68		3	0.29		307	29.69		2	0.19		0	0.00		2	0.19		109	10.54		2	0.19		1034	95.39		50	4.61		1084	1.32
Largs Bay		1541	47.39		132	4.06		157	4.83		4	0.12		1003	30.84		0	0.00		2	0.06		9	0.28		402	12.36		2	0.06		3252	97.16		95	2.84		3347	4.06
Largs Bay Central		359	42.64		39	4.63		32	3.80		0	0.00		303	35.99		2	0.24		1	0.12		2	0.24		104	12.35		0	0.00		842	97.34		23	2.66		865	1.05
Mansfield Park		1250	70.62		31	1.75		80	4.52		1	0.06		277	15.65		4	0.23		2	0.11		4	0.23		120	6.78		1	0.06		1770	95.37		86	4.63		1856	2.25
