Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Sturt (86359)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Adelaide (Sturt)		34	25.56		7	5.26		1	0.75		1	0.75		52	39.10		0	0.00		0	0.00		0	0.00		38	28.57		0	0.00		133	99.25		1	0.75		134	0.16
Beaumont		328	14.62		82	3.65		31	1.38		4	0.18		1531	68.23		3	0.13		0	0.00		6	0.27		256	11.41		3	0.13		2244	97.86		49	2.14		2293	2.77
Beulah Park		468	29.25		101	6.31		36	2.25		4	0.25		697	43.56		2	0.13		0	0.00		0	0.00		291	18.19		1	0.06		1600	96.85		52	3.15		1652	2.00
Burnside		599	16.82		141	3.96		68	1.91		2	0.06		2347	65.89		3	0.08		2	0.06		5	0.14		388	10.89		7	0.20		3562	97.03		109	2.97		3671	4.44
Campbelltown		1188	40.34		104	3.53		89	3.02		5	0.17		1176	39.93		1	0.03		5	0.17		5	0.17		369	12.53		3	0.10		2945	94.85		160	5.15		3105	3.76
Dernancourt		507	28.71		51	2.89		48	2.72		1	0.06		887	50.23		0	0.00		1	0.06		1	0.06		270	15.29		0	0.00		1766	96.45		65	3.55		1831	2.21
Felixstow		468	36.56		44	3.44		30	2.34		2	0.16		537	41.95		0	0.00		1	0.08		2	0.16		194	15.16		2	0.16		1280	92.29		107	7.71		1387	1.68
Gilles Plains		253	35.84		10	1.42		22	3.12		3	0.42		312	44.19		2	0.28		0	0.00		0	0.00		103	14.59		1	0.14		706	96.98		22	3.02		728	0.88
Gilles Plains East		569	41.50		44	3.21		90	6.56		4	0.29		502	36.62		2	0.15		0	0.00		4	0.29		156	11.38		0	0.00		1371	95.87		59	4.13		1430	1.73
Glen Osmond		131	15.80		30	3.62		19	2.29		0	0.00		544	65.62		0	0.00		0	0.00		1	0.12		104	12.55		0	0.00		829	97.41		22	2.59		851	1.03
Glenunga		225	16.94		44	3.31		20	1.51		0	0.00		857	64.53		2	0.15		0	0.00		1	0.08		179	13.48		0	0.00		1328	97.29		37	2.71		1365	1.65
Glenunga North		314	22.30		42	2.98		17	1.21		0	0.00		850	60.37		0	0.00		0	0.00		7	0.50		176	12.50		2	0.14		1408	96.17		56	3.83		1464	1.77
Glynde		614	39.11		57	3.63		37	2.36		7	0.45		624	39.75		1	0.06		2	0.13		4	0.25		223	14.20		1	0.06		1570	94.18		97	5.82		1667	2.02
Hectorville North		948	44.22		61	2.85		64	2.99		2	0.09		776	36.19		1	0.05		0	0.00		8	0.37		284	13.25		0	0.00		2144	92.37		177	7.63		2321	2.81
Highbury East		433	27.90		39	2.51		57	3.67		2	0.13		756	48.71		0	0.00		2	0.13		4	0.26		259	16.69		0	0.00		1552	97.92		33	2.08		1585	1.92
Highbury South (Sturt)		535	30.26		51	2.88		72	4.07		5	0.28		845	47.79		2	0.11		2	0.11		3	0.17		248	14.03		5	0.28		1768	97.30		49	2.70		1817	2.20
Hillcrest		973	39.68		58	2.37		103	4.20		2	0.08		934	38.09		0	0.00		1	0.04		10	0.41		369	15.05		2	0.08		2452	96.27		95	3.73		2547	3.08
