Senate - 2001 Election: South Australia																																							
First Preference Votes by Group 																																							
By Polling Place																																							

Wakefield (86378)																																							
		Group A Total			Group B Total			Group C Total			Group D Total			Group E Total			Group F Total			Group G Total			Group H Total			Group I Total			Ungrouped Total 			FORMAL 			INFORMAL 			TOTAL 	
		ALP			GRN			HAN			Unendorsed			LP			Unendorsed			Unendorsed			RPA			DEM			Independent & CEC										
Polling Places		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%
Alford		17	13.28		1	0.78		16	12.50		0	0.00		92	71.88		0	0.00		0	0.00		0	0.00		2	1.56		0	0.00		128	96.97		4	3.03		132	0.16
Angaston		363	22.93		56	3.54		98	6.19		0	0.00		858	54.20		1	0.06		1	0.06		5	0.32		198	12.51		3	0.19		1583	96.88		51	3.12		1634	1.96
Ardrossan		307	28.06		19	1.74		93	8.50		2	0.18		603	55.12		0	0.00		0	0.00		0	0.00		70	6.40		0	0.00		1094	95.96		46	4.04		1140	1.37
Arthurton		11	6.47		5	2.94		14	8.24		0	0.00		133	78.24		0	0.00		1	0.59		0	0.00		4	2.35		2	1.18		170	97.14		5	2.86		175	0.21
Balaklava		248	17.96		27	1.96		104	7.53		2	0.14		909	65.82		3	0.22		3	0.22		1	0.07		83	6.01		1	0.07		1381	96.30		53	3.70		1434	1.72
Barmera		582	27.65		49	2.33		181	8.60		4	0.19		1165	55.34		0	0.00		0	0.00		3	0.14		121	5.75		0	0.00		2105	95.81		92	4.19		2197	2.63
Berri		673	25.83		76	2.92		182	6.98		5	0.19		1428	54.80		1	0.04		0	0.00		3	0.12		237	9.09		1	0.04		2606	95.84		113	4.16		2719	3.26
Birdwood		152	20.21		36	4.79		46	6.12		0	0.00		406	53.99		0	0.00		0	0.00		3	0.40		107	14.23		2	0.27		752	97.79		17	2.21		769	0.92
Blanchetown		61	24.40		1	0.40		18	7.20		0	0.00		151	60.40		0	0.00		0	0.00		0	0.00		19	7.60		0	0.00		250	96.15		10	3.85		260	0.31
Bute		59	17.66		7	2.10		15	4.49		0	0.00		237	70.96		0	0.00		0	0.00		1	0.30		15	4.49		0	0.00		334	97.09		10	2.91		344	0.41
Cadell		44	19.21		4	1.75		16	6.99		0	0.00		148	64.63		0	0.00		0	0.00		1	0.44		16	6.99		0	0.00		229	97.03		7	2.97		236	0.28
Cobdogla		88	23.34		3	0.80		37	9.81		2	0.53		219	58.09		0	0.00		0	0.00		0	0.00		25	6.63		3	0.80		377	98.69		5	1.31		382	0.46
Coobowie		83	33.88		2	0.82		17	6.94		0	0.00		126	51.43		0	0.00		0	0.00		0	0.00		17	6.94		0	0.00		245	94.59		14	5.41		259	0.31
Corny Point		24	19.67		2	1.64		11	9.02		0	0.00		72	59.02		0	0.00		0	0.00		1	0.82		12	9.84		0	0.00		122	98.39		2	1.61		124	0.15
Curramulka		31	13.19		6	2.55		17	7.23		0	0.00		166	70.64		0	0.00		0	0.00		0	0.00		14	5.96		1	0.43		235	97.51		6	2.49		241	0.29
Dublin		131	28.05		6	1.28		48	10.28		0	0.00		239	51.18		0	0.00		1	0.21		0	0.00		42	8.99		0	0.00		467	95.50		22	4.50		489	0.59
Eden Valley		42	18.75		16	7.14		24	10.71		0	0.00		123	54.91		0	0.00		0	0.00		0	0.00		19	8.48		0	0.00		224	97.39		6	2.61		230	0.28
