House of Representatives - 2001 Election: Tasmania														
First Preference Votes and TCP														
By Candidate By Vote Type By Division														



Bass (65927)														

			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"COLLINS, Denis"	HAN	1574	3.01	77	3.26	28	3.76	81	3.21	76	2.78	1836	3.03
	"DOCKRAY, Margy"	LFF	806	1.54	47	1.99	16	2.15	62	2.45	35	1.28	966	1.59
	"BOOTH, Kim"	GRN	3173	6.06	241	10.21	45	6.05	207	8.19	122	4.47	3788	6.24
	"LARNER, Caroline"	CEC	130	0.25	11	0.47	3	0.40	12	0.48	3	0.11	159	0.26
	"BENNEWORTH, Tony"	LP	21746	41.56	946	40.07	205	27.55	1103	43.67	1156	42.31	25156	41.45
#	"O'BYRNE, Michelle"	ALP	22515	43.03	906	38.37	399	53.63	925	36.62	1242	45.46	25987	42.82
	"COLGRAVE, Sancia"	DEM	1862	3.56	105	4.45	36	4.84	100	3.96	75	2.75	2178	3.59
	"HARDMAN, Ian"	TFP	522	1.00	28	1.19	12	1.61	36	1.43	23	0.84	621	1.02
		FORMAL	52328	95.43	2361	96.84	744	94.90	2526	98.17	2732	98.70	60691	95.73
		INFORMAL	2506	4.57	77	3.16	40	5.10	47	1.83	36	1.30	2706	4.27
		TOTAL	54834	86.49	2438	3.85	784	1.24	2573	4.06	2768	4.37	63397	96.16
Two Candidate Preferred														
	"BENNEWORTH, Tony"	LP	25051	47.87	1161	49.17	268	36.02	1309	51.82	1304	47.73	29093	47.94
#	"O'BYRNE, Michelle"	ALP	27277	52.13	1200	50.83	476	63.98	1217	48.18	1428	52.27	31598	52.06



Braddon (67749)														

			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
#	"SIDEBOTTOM, Sid"	ALP	27276	48.85	942	44.52	346	64.07	1080	43.05	928	42.84	30572	48.40
	"PATTISON, Alan"	LP	21815	39.07	798	37.71	127	23.52	1035	41.25	968	44.69	24743	39.17
	"THOMPSON, Clare"	GRN	2954	5.29	188	8.88	33	6.11	172	6.86	114	5.26	3461	5.48
	"COOPER, Craig"	DEM	1476	2.64	104	4.91	22	4.07	103	4.11	68	3.14	1773	2.81
	"PICKFORD, Steve"	HAN	2312	4.14	84	3.97	12	2.22	119	4.74	88	4.06	2615	4.14
		FORMAL	55833	96.53	2116	97.92	540	93.26	2509	97.78	2166	98.68	63164	96.67
		INFORMAL	2008	3.47	45	2.08	39	6.74	57	2.22	29	1.32	2178	3.33
		TOTAL	57841	88.52	2161	3.31	579	0.89	2566	3.93	2195	3.36	65342	96.45
Two Candidate Preferred														
#	"SIDEBOTTOM, Sid"	ALP	31402	56.24	1168	55.20	382	70.74	1302	51.89	1091	50.37	35345	55.96
	"PATTISON, Alan"	LP	24431	43.76	948	44.80	158	29.26	1207	48.11	1075	49.63	27819	44.04



Denison (67938)														

			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
#	"KERR, Duncan"	ALP	27807	51.96	1472	48.34	314	53.22	1239	43.34	1572	51.32	32404	51.38
	"EDWARDS, Penny"	DEM	3471	6.49	233	7.65	63	10.68	258	9.02	129	4.21	4154	6.59
	"HAMPSON, Brenda"	GRN	5439	10.16	401	13.17	102	17.29	424	14.83	226	7.38	6592	10.45
	"STEVEN, Tony"	LP	16799	31.39	939	30.84	111	18.81	938	32.81	1136	37.09	19923	31.59
		FORMAL	53516	96.95	3045	97.13	590	95.47	2859	98.28	3063	98.74	63073	97.09
		INFORMAL	1682	3.05	90	2.87	28	4.53	50	1.72	39	1.26	1889	2.91
		TOTAL	55198	84.97	3135	4.83	618	0.95	2909	4.48	3102	4.78	64962	95.62
Two Candidate Preferred														
#	"KERR, Duncan"	ALP	34564	64.59	1936	63.58	438	74.24	1765	61.73	1827	59.65	40530	64.26
	"STEVEN, Tony"	LP	18952	35.41	1109	36.42	152	25.76	1094	38.27	1236	40.35	22543	35.74



Franklin (67119)														

			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"BASTICK, Patricia"	GRN	5140	9.52	461	13.27	57	12.42	264	12.57	176	6.63	6098	9.73
	"MANSKEY, Karen"	DEM	2506	4.64	255	7.34	27	5.88	151	7.19	111	4.18	3050	4.86
#	"QUICK, Harry"	ALP	25033	46.35	1446	41.64	243	52.94	785	37.36	1239	46.70	28746	45.85
	"MULLOY, Art"	HAN	1077	1.99	67	1.93	10	2.18	39	1.86	62	2.34	1255	2.00
	"HODGMAN, Peter"	LP	20255	37.50	1244	35.82	122	26.58	862	41.03	1065	40.14	23548	37.56
		FORMAL	54011	96.89	3473	96.74	459	95.82	2101	98.50	2653	98.81	62697	97.00
		INFORMAL	1736	3.11	117	3.26	20	4.18	32	1.50	32	1.19	1937	3.00
		TOTAL	55747	86.25	3590	5.55	479	0.74	2133	3.30	2685	4.15	64634	96.30
Two Candidate Preferred														
#	"QUICK, Harry"	ALP	31467	58.26	2020	58.16	316	68.85	1108	52.74	1479	55.75	36390	58.04
	"HODGMAN, Peter"	LP	22544	41.74	1453	41.84	143	31.15	993	47.26	1174	44.25	26307	41.96



Lyons (62942)														

			Ordinary		Absent		Provisional		Pre Poll		Postal		Total	
Candidates		Party	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%	Votes	%
	"BATCHELOR, Neil"	HAN	2654	5.29	195	5.27	22	7.33	94	6.18	176	6.61	3141	5.38
#	"ADAMS, Dick"	ALP	24026	47.86	1607	43.40	174	58.00	583	38.33	1206	45.27	27596	47.26
	"MORRIS, Tim"	GRN	3369	6.71	393	10.61	23	7.67	159	10.45	169	6.34	4113	7.04
	"PAGE, Geoff"	LP	17983	35.82	1259	34.00	65	21.67	585	38.46	1021	38.33	20913	35.81
	"ANDERSON, Sonia"	DEM	2173	4.33	249	6.72	16	5.33	100	6.57	92	3.45	2630	4.50
