House of Representatives - 2001 Election: Tasmania							
Swing to ALP							
By Division by Polling Place							

Bass							
							
Polling Place	Formal	O'BYRNE		BENNEWORTH		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Blessington Upper	67	29	43.28	38	56.72	-9.88	
Branxholm	201	112	55.72	89	44.28	5.93	
Bridport	1144	524	45.80	620	54.20	1.84	
Cape Barren Island	30	22	73.33	8	26.67	9.05	
Cosgrove Park	338	159	47.04	179	52.96	-7.91	
Derby	135	70	51.85	65	48.15	-4.75	
Dilston	658	315	47.87	343	52.13	3.81	
East Launceston	1303	600	46.05	703	53.95	4.40	
Elphin	610	319	52.30	291	47.70	4.23	
Emita	46	17	36.96	29	63.04	9.56	
Five Ways	1660	868	52.29	792	47.71	2.23	
General Hospital	488	275	56.35	213	43.65	-0.63	
George Town	1886	1267	67.18	619	32.82	1.09	
George Town South	883	571	64.67	312	35.33	1.68	
Gladstone	168	100	59.52	68	40.48	-0.76	
Hillwood	379	185	48.81	194	51.19	-1.32	
Inveresk	1067	742	69.54	325	30.46	5.12	
Invermay	878	528	60.14	350	39.86	1.46	
Karoola	258	123	47.67	135	52.33	-0.35	
Kings Meadows	1591	846	53.17	745	46.83	1.56	
Lady Barron	125	61	48.80	64	51.20	5.94	
Launceston	726	400	55.10	326	44.90	0.96	
Launceston Central	1013	498	49.16	515	50.84	-1.52	
Lebrina	215	113	52.56	102	47.44	2.95	
Legana (Bass)	1338	567	42.38	771	57.62	5.81	
Lilydale	644	362	56.21	282	43.79	-0.09	
Mowbray	1566	1001	63.92	565	36.08	2.74	
Myrtle Park	47	32	68.08	15	31.91	2.87	
Nabowla	81	41	50.62	40	49.38	16.94	
Newnham	2665	1572	58.99	1093	41.01	0.86	
Newstead	1692	757	44.74	935	55.26	6.84	
Norwood	2368	856	36.15	1512	63.85	2.20	
Nunamara	222	126	56.76	96	43.24	-7.46	
Pioneer	62	41	66.13	21	33.87	8.16	
Pipers River	270	131	48.52	139	51.48	1.39	
Prospect	1615	772	47.80	843	52.20	-1.24	
Prospect Vale	1045	408	39.04	637	60.96	0.81	
Ravenswood	2086	1505	72.15	581	27.85	0.97	
Ringarooma	405	180	44.44	225	55.56	-0.73	
Riverside	2646	1076	40.67	1570	59.33	3.45	
Riverside West	960	416	43.33	544	56.67	-2.66	
Rocherlea	1227	854	69.60	373	30.40	0.59	
Scottsdale	1830	834	45.57	996	54.43	5.30	
South Launceston	992	564	56.85	428	43.15	2.57	
Special Hospital Team 1	195	73	37.44	122	62.56	-12.64	
Special Hospital Team 2	150	54	36.00	96	64.00	-	
Special Hospital Team 3	67	28	41.79	39	58.21	-	
Special Hospital Team 4	288	111	38.54	177	61.46	-	
St Leonards	1070	536	50.09	534	49.91	-0.87	
Summerhill	3403	1737	51.04	1666	48.96	2.73	
Trevallyn	2018	930	46.09	1088	53.91	3.81	
Waverley	864	624	72.22	240	27.78	4.71	
West Launceston	1718	927	53.96	791	46.04	4.61	
Weymouth	117	46	39.32	71	60.68	-1.53	
Whitemark	317	140	44.16	177	55.84	5.05	
Windmill Hill	663	275	41.48	388	58.52	6.85	
Winnaleah	214	69	32.24	145	67.76	-4.94	
Young Town	1614	888	55.02	726	44.98	1.63	
ABSENT	2361	1200	50.83	1161	49.17	-	
POSTAL	2732	1428	52.27	1304	47.73	-	
PRE POLL	2526	1217	48.18	1309	51.82	-	
PROVISIONAL	744	476	63.98	268	36.02	-	
Division Total	60691	31598	52.06	29093	47.94	1.88	
							
							
Braddon							
							
Polling Place	Formal	SIDEBOTTOM		PATTISON		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Abbotsham	136	61	44.85	75	55.15	9.85	
Acton	1817	1407	77.44	410	22.56	1.57	
Addison Street	828	519	62.68	309	37.32	5.25	
Ambleside	541	250	46.21	291	53.79	-5.11	
Blythe Heads	215	151	70.23	64	29.77	3.90	
Boat Harbour	312	127	40.71	185	59.29	-5.05	
Brooklyn	609	379	62.23	230	37.77	0.22	
Burnie	1338	772	57.70	566	42.30	2.91	
Calder	92	47	51.09	45	48.91	2.94	
Cooee	889	461	51.86	428	48.14	-3.76	
Cuprona	118	59	50.00	59	50.00	5.04	
Currie	768	342	44.53	426	55.47	5.30	
Devonport Central	2188	1145	52.33	1043	47.67	2.79	
Devonport North	722	350	48.48	372	51.52	-0.74	
Don	591	303	51.27	288	48.73	6.64	
East Devonport	2305	1551	67.29	754	32.71	1.21	
Edith Creek	189	96	50.79	93	49.21	5.62	
Elliott	230	120	52.17	110	47.83	3.85	
Forest	392	160	40.82	232	59.18	1.02	
Forth	765	385	50.33	380	49.67	9.25	
Gawler	384	165	42.97	219	57.03	2.28	
Grassy	119	59	49.58	60	50.42	9.74	
Gunns Plains	80	35	43.75	45	56.25	-5.77	
Havenview	564	395	70.04	169	29.96	2.40	
Highclere	156	88	56.41	68	43.59	-0.02	
Irishtown	295	136	46.10	159	53.90	3.41	
Latrobe	2325	1453	62.49	872	37.51	0.76	
Marrawah	231	98	42.42	133	57.58	5.05	
Mawbanna	56	20	35.71	36	64.29	11.15	
Melrose	136	67	49.26	69	50.74	2.21	
Miandetta	418	210	50.24	208	49.76	-9.54	
Montagu	147	68	46.26	79	53.74	17.58	
Montello	1350	962	71.26	388	28.74	2.27	
Moorleah	162	95	58.64	67	41.36	1.03	
Moriarty	249	89	35.74	160	64.26	-2.93	
Natone	181	103	56.91	78	43.09	9.48	
Nietta	61	34	55.74	27	44.26	-11.87	
Nixon Street	2719	1519	55.87	1200	44.13	4.91	
North Motton	223	100	44.84	123	55.16	-1.19	
Penguin	2094	1208	57.69	886	42.31	1.12	
Port Sorell	1768	920	52.04	848	47.96	-1.40	
Preston	74	35	47.30	39	52.70	5.63	
Reekara	93	34	36.56	59	63.44	13.26	
Riana	221	109	49.32	112	50.68	6.62	
Ridgley	680	372	54.71	308	45.29	2.41	
Rocky Cape	379	206	54.35	173	45.65	3.47	
Sassafras	247	85	34.41	162	65.59	7.68	
Savage River	52	36	69.23	16	30.77	-6.86	
Shorewell Park	1089	575	52.80	514	47.20	3.24	
Sisters Beach	201	123	61.19	78	38.81	9.36	
Sisters Creek	176	91	51.70	85	48.30	8.35	
Smithton	2433	1256	51.62	1177	48.38	1.12	
Somerset	2275	1359	59.74	916	40.26	0.32	
South Burnie	350	204	58.29	146	41.71	0.74	
South Riana	173	75	43.35	98	56.65	3.24	
Special Hospital Team 1	52	26	50.00	26	50.00	0.00	
Special Hospital Team 2	165	95	57.58	70	42.42	-	
Special Hospital Team 3	133	73	54.89	60	45.11	-	
Special Hospital Team 4	214	92	42.99	122	57.01	-	
Sprent	195	102	52.31	93	47.69	5.19	
Spreyton	1259	674	53.53	585	46.47	1.30	
Stanley	417	262	62.83	155	37.17	2.20	
Stowport	220	107	48.64	113	51.36	-4.23	
Sulphur Creek	370	181	48.92	189	51.08	0.61	
Togari	83	38	45.78	45	54.22	7.81	
Turners Beach	808	394	48.76	414	51.24	-1.44	
Ulverstone Central	1277	679	53.17	598	46.83	6.39	
Ulverstone East	1011	511	50.54	500	49.46	4.33	
Ulverstone South	2094	1184	56.54	910	43.46	0.54	
Ulverstone West	1932	1116	57.76	816	42.24	1.98	
Upper Burnie	1348	801	59.42	547	40.58	-1.16	
Valley Road	2240	1262	56.34	978	43.66	2.93	
Waratah	138	96	69.57	42	30.43	-6.56	
Wesley Vale	339	128	37.76	211	62.24	-1.84	
Wivenhoe	346	197	56.94	149	43.06	2.69	
Wynyard Central	2041	1142	55.95	899	44.05	2.80	
Wynyard East	526	371	70.53	155	29.47	2.86	
Wynyard West	1013	581	57.35	432	42.65	-3.68	
Yolla	406	221	54.43	185	45.57	3.61	
ABSENT	2116	1168	55.20	948	44.80	-	
POSTAL	2166	1091	50.37	1075	49.63	-	
PRE POLL	2509	1302	51.89	1207	48.11	-	
PROVISIONAL	540	382	70.74	158	29.26	-	
Division Total	63164	35345	55.96	27819	44.04	1.67	
							
							
Denison							
							
Polling Place	Formal	KERR		STEVEN		Swing	
	Votes	(ALP)	%	(LP)	%	%	
Abbotsfield	1681	1267	75.37	414	24.63	-2.31	
Albuera	616	371	60.23	245	39.77	6.56	
Austins Ferry	1498	956	63.82	542	36.18	-5.30	
Battery Point	1227	653	53.22	574	46.78	-0.88	
Bowen Road	1608	1198	74.50	410	25.50	2.40	
Brent Street	888	597	67.23	291	32.77	-5.77	
Cascades	599	425	70.95	174	29.05	0.10	
Chigwell	1802	1309	72.64	493	27.36	-5.90	
Claremont	1419	988	69.63	431	30.37	-2.68	
Collinsvale	354	275	77.68	79	22.32	2.75	
Cornelian Bay	566	336	59.36	230	40.64	-4.57	
Cosgrove	797	568	71.27	229	28.73	-1.90	
Creek Road	1336	773	57.86	563	42.14	-2.23	
