General Information - 2001 Election: Tasmania				
Polling Places				
				
Bass				
Polling Place Name	Premises	Address	Suburb	
Blessington Upper	North Esk Memorial Hall	Blessington Rd	UPPER BLESSINGTON	
Branxholm	Branxholm Primary School	Albert St	BRANXHOLM	
Bridport	"Exhibition Room, Bridport Hall"	Main St	BRIDPORT	
Cape Barren Island	Cape Barren Island School		CAPE BARREN ISLAND	
Cosgrove Park	Cosgrove Park	Off Waveney St	SOUTH LAUNCESTON	
Derby	Derby Online Centre	Main St	DERBY	
Dilston	Dilston War Memorial Hall	East Tamar Hwy	DILSTON	
East Launceston	East Launceston Primary School	Abbott St	EAST LAUNCESTON	
Elphin	Newstead College	30 Cypress St	NEWSTEAD	
Emita	Furneaux Hall	Palana Rd	EMITA	
Five Ways	St Marks Church Hall	6 Hobart Rd	SOUTH LAUNCESTON	
General Hospital	Launceston General Hospital	Charles St	LAUNCESTON
George Town	George Town Memorial Hall	Macquarie St	GEORGE TOWN
George Town South	George Town South Primary School	Victoria St	GEORGE TOWN
Gladstone	Gladstone Hall	Carr St	GLADSTONE
Hillwood	Hillwood Memorial Hall	Jetty Rd	HILLWOOD
Inveresk	Playgroup Association Hall	35 Holbrook St	INVERMAY
Invermay	White City	Goodman Ct	INVERMAY
Karoola	Football Club Rooms	Pipers River Rd	KAROOLA
Kings Meadows	Y.M.C.A. Centre	Off Blaydon St	KINGS MEADOWS
Lady Barron	Lady Barron Memorial Hall	Main Rd	LADY BARRON
Launceston	Pilgrim Hall	36 Paterson St	LAUNCESTON
Launceston Central	St Johns Parish Centre	157 St John St	LAUNCESTON
Lebrina	Lebrina Memorial Hall	Golconda Rd	LEBRINA
Legana (Bass)	Legana Memorial Hall	Fulton St	LEGANA
Lilydale	Lilydale Memorial Hall	Main Rd	LILYDALE
Mowbray	Mowbray Heights Primary School	Cadorna St	MOWBRAY
Myrtle Park	Myrtle Park Hall	Tasman Hwy	TARGA
Nabowla	Nabowla Memorial Hall	Lisle Rd	NABOWLA
Newnham	St Barnabas Hall	Alanvale Rd	NEWNHAM
