House of Representatives - 2001 Election: Tasmania												
Two Candidate Preferred Preference Flow Result												
By Polling Place												
												
Braddon (67749)												
		Candidate		                  	"SIDEBOTTOM, Sid"		            	"PATTISON, Alan"		             	Total	
				                           	ALP		                        	LP		                         		
				                           	Votes	%	                     	Votes	%	                     		
	Abbotsham											
			1st Prefs		48	42.11		66	57.89		114	
		"THOMPSON, Clare (GRN)"	9		6	66.67		3	33.33		9	
		"COOPER, Craig (DEM)"	4		2	50.00		2	50.00		4	
		"PICKFORD, Steve (HAN)"	9		5	55.56		4	44.44		9	
		Total	22		61	44.85		75	55.15		136	

	Acton											
			1st Prefs		1292	79.02		343	20.98		1635	
		"THOMPSON, Clare (GRN)"	72		47	65.28		25	34.72		72	
		"COOPER, Craig (DEM)"	49		33	67.35		16	32.65		49	
		"PICKFORD, Steve (HAN)"	61		35	57.38		26	42.62		61	
		Total	182		1407	77.44		410	22.56		1817	

	Addison Street											
			1st Prefs		467	62.68		278	37.32		745	
		"THOMPSON, Clare (GRN)"	37		25	67.57		12	32.43		37	
		"COOPER, Craig (DEM)"	24		16	66.67		8	33.33		24	
		"PICKFORD, Steve (HAN)"	22		11	50.00		11	50.00		22	
		Total	83		519	62.68		309	37.32		828	

	Ambleside											
			1st Prefs		226	45.47		271	54.53		497	
		"THOMPSON, Clare (GRN)"	19		10	52.63		9	47.37		19	
		"COOPER, Craig (DEM)"	10		4	40.00		6	60.00		10	
		"PICKFORD, Steve (HAN)"	15		10	66.67		5	33.33		15	
		Total	44		250	46.21		291	53.79		541	

	Blythe Heads											
			1st Prefs		118	70.66		49	29.34		167	
		"THOMPSON, Clare (GRN)"	15		15	100.00		0	0.00		15	
		"COOPER, Craig (DEM)"	4		3	75.00		1	25.00		4	
		"PICKFORD, Steve (HAN)"	29		15	51.72		14	48.28		29	
		Total	48		151	70.23		64	29.77		215	

	Boat Harbour											
			1st Prefs		89	34.63		168	65.37		257	
		"THOMPSON, Clare (GRN)"	39		29	74.36		10	25.64		39	
		"COOPER, Craig (DEM)"	7		3	42.86		4	57.14		7	
		"PICKFORD, Steve (HAN)"	9		6	66.67		3	33.33		9	
		Total	55		127	40.71		185	59.29		312	

	Brooklyn											
			1st Prefs		344	63.94		194	36.06		538	
		"THOMPSON, Clare (GRN)"	33		22	66.67		11	33.33		33	
		"COOPER, Craig (DEM)"	14		7	50.00		7	50.00		14	
		"PICKFORD, Steve (HAN)"	24		6	25.00		18	75.00		24	
		Total	71		379	62.23		230	37.77		609	

	Burnie											
			1st Prefs		647	56.07		507	43.93		1154	
		"THOMPSON, Clare (GRN)"	98		75	76.53		23	23.47		98	
		"COOPER, Craig (DEM)"	40		26	65.00		14	35.00		40	
		"PICKFORD, Steve (HAN)"	46		24	52.17		22	47.83		46	
		Total	184		772	57.70		566	42.30		1338	

	Calder											
			1st Prefs		32	45.07		39	54.93		71	
		"THOMPSON, Clare (GRN)"	12		11	91.67		1	8.33		12	
		"COOPER, Craig (DEM)"	4		2	50.00		2	50.00		4	
		"PICKFORD, Steve (HAN)"	5		2	40.00		3	60.00		5	
		Total	21		47	51.09		45	48.91		92	

	Cooee											
			1st Prefs		399	50.32		394	49.68		793	
		"THOMPSON, Clare (GRN)"	44		29	65.91		15	34.09		44	
		"COOPER, Craig (DEM)"	28		24	85.71		4	14.29		28	
		"PICKFORD, Steve (HAN)"	24		9	37.50		15	62.50		24	
