House of Representatives - 2001 Election: Tasmania												
Two Candidate Preferred Preference Flow Result												
By Polling Place by Division												
												
Lyons (62942)												
		Candidate		                  	"ADAMS, Dick"		                	"PAGE, Geoff"		                	Total	
				                           	ALP		                        	LP		                         		
				                           	Votes	%	                     	Votes	%	                     		
	Avoca											
			1st Prefs		136	72.73		51	27.27		187	
		"BATCHELOR, Neil (HAN)"	13		8	61.54		5	38.46		13	
		"MORRIS, Tim (GRN)"	5		2	40.00		3	60.00		5	
		"ANDERSON, Sonia (DEM)"	5		0	0.00		5	100.00		5	
		Total	23		146	69.52		64	30.48		210	

	Bagdad											
			1st Prefs		329	64.26		183	35.74		512	
		"BATCHELOR, Neil (HAN)"	46		25	54.35		21	45.65		46	
		"MORRIS, Tim (GRN)"	30		25	83.33		5	16.67		30	
		"ANDERSON, Sonia (DEM)"	44		24	54.55		20	45.45		44	
		Total	120		403	63.77		229	36.23		632	

	Beaconsfield											
			1st Prefs		528	68.66		241	31.34		769	
		"BATCHELOR, Neil (HAN)"	47		23	48.94		24	51.06		47	
		"MORRIS, Tim (GRN)"	58		50	86.21		8	13.79		58	
		"ANDERSON, Sonia (DEM)"	37		22	59.46		15	40.54		37	
		Total	142		623	68.39		288	31.61		911	

	Beauty Point											
			1st Prefs		378	63.74		215	36.26		593	
		"BATCHELOR, Neil (HAN)"	30		17	56.67		13	43.33		30	
		"MORRIS, Tim (GRN)"	25		17	68.00		8	32.00		25	
		"ANDERSON, Sonia (DEM)"	41		25	60.98		16	39.02		41	
		Total	96		437	63.43		252	36.57		689	

	Bicheno											
			1st Prefs		236	50.75		229	49.25		465	
		"BATCHELOR, Neil (HAN)"	33		17	51.52		16	48.48		33	
		"MORRIS, Tim (GRN)"	40		35	87.50		5	12.50		40	
		"ANDERSON, Sonia (DEM)"	29		19	65.52		10	34.48		29	
		Total	102		307	54.14		260	45.86		567	

	Bishopsbourne											
			1st Prefs		26	31.71		56	68.29		82	
		"BATCHELOR, Neil (HAN)"	4		1	25.00		3	75.00		4	
		"MORRIS, Tim (GRN)"	0		0	0.00		0	0.00		0	
		"ANDERSON, Sonia (DEM)"	6		1	16.67		5	83.33		6	
		Total	10		28	30.43		64	69.57		92	

	Bothwell											
			1st Prefs		164	55.22		133	44.78		297	
		"BATCHELOR, Neil (HAN)"	29		12	41.38		17	58.62		29	
		"MORRIS, Tim (GRN)"	6		5	83.33		1	16.67		6	
		"ANDERSON, Sonia (DEM)"	9		6	66.67		3	33.33		9	
		Total	44		187	54.84		154	45.16		341	

	Bracknell											
			1st Prefs		168	50.15		167	49.85		335	
		"BATCHELOR, Neil (HAN)"	22		13	59.09		9	40.91		22	
		"MORRIS, Tim (GRN)"	46		33	71.74		13	28.26		46	
		"ANDERSON, Sonia (DEM)"	13		6	46.15		7	53.85		13	
		Total	81		220	52.88		196	47.12		416	

	Brighton											
			1st Prefs		801	64.08		449	35.92		1250	
		"BATCHELOR, Neil (HAN)"	68		34	50.00		34	50.00		68	
		"MORRIS, Tim (GRN)"	50		38	76.00		12	24.00		50	
		"ANDERSON, Sonia (DEM)"	63		30	47.62		33	52.38		63	
		Total	181		903	63.10		528	36.90		1431	

	Broadmarsh											
			1st Prefs		55	41.67		77	58.33		132	
		"BATCHELOR, Neil (HAN)"	16		5	31.25		11	68.75		16	
		"MORRIS, Tim (GRN)"	14		11	78.57		3	21.43		14	
