House of Representatives - 2001 Election: Tasmania																																													
First Preference Votes and TCP																																													
By Candidate by Polling Place																																													

Bass (65927)																																													
	COLLINS			DOCKRAY			BOOTH			LARNER			BENNEWORTH			# O'BYRNE			COLGRAVE			HARDMAN			FORMAL			INFORMAL			TOTAL			Two Candidate Preferred											
	Denis			Margy			Kim			Caroline			Tony			Michelle			Sancia			Ian												BENNEWORTH			# O'BYRNE								
	HAN			LFF			GRN			CEC			LP			ALP			DEM			TFP												LP			ALP								
Polling Places	Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%		Vote	%							
Blessington Upper	6	8.96		5	7.46		8	11.94		0	0.00		24	35.82		18	26.87		5	7.46		1	1.49		67	91.78		6	8.22		73	0.12		38	56.72		29	43.28							
Branxholm	12	5.97		4	1.99		8	3.98		0	0.00		71	35.32		97	48.26		6	2.99		3	1.49		201	96.63		7	3.37		208	0.33		89	44.28		112	55.72							
Bridport	35	3.06		20	1.75		61	5.33		1	0.09		554	48.43		432	37.76		27	2.36		14	1.22		1144	95.17		58	4.83		1202	1.90		620	54.20		524	45.80							
Cape Barren Island	1	3.33		1	3.33		2	6.67		1	3.33		5	16.67		19	63.33		0	0.00		1	3.33		30	90.91		3	9.09		33	0.05		8	26.67		22	73.33							
Cosgrove Park	7	2.07		4	1.18		11	3.25		0	0.00		161	47.63		138	40.83		12	3.55		5	1.48		338	94.15		21	5.85		359	0.57		179	52.96		159	47.04							
Derby	7	5.19		3	2.22		9	6.67		0	0.00		56	41.48		56	41.48		2	1.48		2	1.48		135	96.43		5	3.57		140	0.22		65	48.15		70	51.85							
Dilston	28	4.26		12	1.82		63	9.57		3	0.46		291	44.22		234	35.56		18	2.74		9	1.37		658	94.68		37	5.32		695	1.10		343	52.13		315	47.87							
East Launceston	16	1.23		21	1.61		159	12.20		2	0.15		608	46.66		433	33.23		59	4.53		5	0.38		1303	97.46		34	2.54		1337	2.11		703	53.95		600	46.05
Elphin	18	2.95		12	1.97		60	9.84		2	0.33		245	40.16		243	39.84		23	3.77		7	1.15		610	95.31		30	4.69		640	1.01		291	47.70		319	52.30
Emita	8	17.39		1	2.17		2	4.35		0	0.00		20	43.48		11	23.91		4	8.70		0	0.00		46	97.87		1	2.13		47	0.07		29	63.04		17	36.96
Five Ways	39	2.35		22	1.33		105	6.33		5	0.30		692	41.69		721	43.43		58	3.49		18	1.08		1660	95.40		80	4.60		1740	2.74		792	47.71		868	52.29
General Hospital	10	2.05		7	1.43		58	11.89		1	0.20		176	36.07		209	42.83		20	4.10		7	1.43		488	93.67		33	6.33		521	0.82		213	43.65		275	56.35
George Town	97	5.14		15	0.80		80	4.24		6	0.32		500	26.51		1130	59.92		45	2.39		13	0.69		1886	92.54		152	7.46		2038	3.21		619	32.82		1267	67.18
George Town South	27	3.06		9	1.02		35	3.96		1	0.11		267	30.24		522	59.12		17	1.93		5	0.57		883	95.15		45	4.85		928	1.46		312	35.33		571	64.67
Gladstone	5	2.98		3	1.79		3	1.79		0	0.00		55	32.74		88	52.38		3	1.79		11	6.55		168	96.55		6	3.45		174	0.27		68	40.48		100	59.52
Hillwood	16	4.22		7	1.85		26	6.86		1	0.26		166	43.80		143	37.73		13	3.43		7	1.85		379	95.95		16	4.05		395	0.62		194	51.19		185	48.81
Inveresk	41	3.84		11	1.03		78	7.31		5	0.47		247	23.15		634	59.42		32	3.00		19	1.78		1067	92.78		83	7.22		1150	1.81		325	30.46		742	69.54
Invermay	29	3.30		15	1.71		56	6.38		3	0.34		280	31.89		448	51.03		34	3.87		13	1.48		878	93.40		62	6.60		940	1.48		350	39.86		528	60.14
Karoola	5	1.94		16	6.20		7	2.71		0	0.00		116	44.96		104	40.31		5	1.94		5	1.94		258	93.82		17	6.18		275	0.43		135	52.33		123	47.67
Kings Meadows	43	2.70		15	0.94		72	4.53		3	0.19		662	41.61		731	45.95		51	3.21		14	0.88		1591	95.16		81	4.84		1672	2.64		745	46.83		846	53.17
Lady Barron	14	11.20		1	0.80		10	8.00		2	1.60		51	40.80		43	34.40		3	2.40		1	0.80		125	96.15		5	3.85		130	0.21		64	51.20		61	48.80
Launceston	17	2.34		12	1.65		90	12.40		1	0.14		269	37.05		276	38.02		52	7.16		9	1.24		726	96.54		26	3.46		752	1.19		326	44.90		400	55.10
Launceston Central	11	1.09		26	2.57		136	13.43		4	0.39		437	43.14		326	32.18		63	6.22		10	0.99		1013	96.20		40	3.80		1053	1.66		515	50.84		498	49.16
Lebrina	6	2.79		9	4.19		22	10.23		1	0.47		80	37.21		88	40.93		3	1.40		6	2.79		215	98.62		3	1.38		218	0.34		102	47.44		113	52.56
Legana (Bass)	31	2.32		25	1.87		85	6.35		2	0.15		676	50.52		428	31.99		73	5.46		18	1.35		1338	95.98		56	4.02		1394	2.20		771	57.62		567	42.38
Lilydale	35	5.43		66	10.25		65	10.09		0	0.00		210	32.61		239	37.11		22	3.42		7	1.09		644	96.41		24	3.59		668	1.05		282	43.79		362	56.21
Mowbray	54	3.45		16	1.02		71	4.53		7	0.45		486	31.03		859	54.85		62	3.96		11	0.70		1566	94.62		89	5.38		1655	2.61		565	36.08		1001	63.92
Myrtle Park	4	8.51		2	4.26		4	8.51		0	0.00		12	25.53		22	46.81		1	2.13		2	4.26		47	90.38		5	9.62		52	0.08		15	31.91		32	68.09
Nabowla	5	6.17		2	2.47		7	8.64		0	0.00		33	40.74		31	38.27		2	2.47		1	1.23		81	96.43		3	3.57		84	0.13		40	49.38		41	50.62
Newnham	88	3.30		38	1.43		111	4.17		7	0.26		937	35.16		1361	51.07		99	3.71		24	0.90		2665	95.69		120	4.31		2785	4.39		1093	41.01		1572	58.99
Newstead	37	2.19		23	1.36		99	5.85		1	0.06		861	50.89		594	35.11		62	3.66		15	0.89		1692	97.75		39	2.25		1731	2.73		935	55.26		757	44.74
Norwood	61	2.58		26	1.10		101	4.27		2	0.08		1374	58.02		708	29.90		82	3.46		14	0.59		2368	97.05		72	2.95		2440	3.85		1512	63.85		856	36.15
Nunamara	9	4.05		7	3.15		27	12.16		2	0.90		73	32.88		91	40.99		8	3.60		5	2.25		222	95.69		10	4.31		232	0.37		96	43.24		126	56.76
Pioneer	7	11.29		0	0.00		3	4.84		0	0.00		18	29.03		33	53.23		0	0.00		1	1.61		62	92.54		5	7.46		67	0.11		21	33.87		41	66.13
Pipers River	16	5.93		14	5.19		21	7.78		2	0.74		108	40.00		101	37.41		7	2.59		1	0.37		270	95.41		13	4.59		283	0.45		139	51.48		131	48.52
Prospect	37	2.29		22	1.36		43	2.66		2	0.12		756	46.81		678	41.98		65	4.02		12	0.74		1615	95.56		75	4.44		1690	2.67		843	52.20		772	47.80
Prospect Vale	17	1.63		17	1.63		40	3.83		1	0.10		579	55.41		360	34.45		22	2.11		9	0.86		1045	96.85		34	3.15		1079	1.70		637	60.96		408	39.04
